Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 

9899  ,     01  , 001  , 3  , 6  , Autauga County  , 179  , 179  , 11492764  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 96  , 3000000  , 179  , 179  , 11492764  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 96  , 3000000
9899  ,     01  , 003  , 3  , 6  , Baldwin County  , 1639  , 1639  , 198432078  , 33  , 66  , 5204967  , 2  , 7  , 818000  , 20  , 947  , 95216544  , 1639  , 1639  , 198432078  , 33  , 66  , 5204967  , 2  , 7  , 818000  , 20  , 947  , 95216544
9899  ,     01  , 005  , 3  , 6  , Barbour County  , 49  , 49  , 4685340  , 7  , 14  , 650250  , 0  , 0  , 0  , 0  , 0  , 0  , 49  , 49  , 4685340  , 7  , 14  , 650250  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 007  , 3  , 6  , Bibb County  , 4  , 4  , 220000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 009  , 3  , 6  , Blount County  , 28  , 28  , 3314900  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 28  , 28  , 3314900  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 011  , 3  , 6  , Bullock County  , 3  , 3  , 281000  , 0  , 0  , 0  , 8  , 32  , 1403999  , 0  , 0  , 0  , 3  , 3  , 281000  , 0  , 0  , 0  , 8  , 32  , 1403999  , 0  , 0  , 0
9899  ,     01  , 013  , 3  , 6  , Butler County  , 11  , 11  , 1168800  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 11  , 11  , 1168800  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 015  , 3  , 6  , Calhoun County  , 166  , 166  , 14727374  , 3  , 6  , 140000  , 2  , 8  , 200000  , 14  , 87  , 3910797  , 65  , 65  , 5017600  , 3  , 6  , 140000  , 2  , 8  , 200000  , 1  , 5  , 155000
9899  ,     01  , 017  , 3  , 6  , Chambers County  , 26  , 26  , 1991997  , 0  , 0  , 0  , 0  , 0  , 0  , 8  , 64  , 2500060  , 26  , 26  , 1991997  , 0  , 0  , 0  , 0  , 0  , 0  , 8  , 64  , 2500060
9899  ,     01  , 019  , 3  , 6  , Cherokee County  , 15  , 15  , 1100000  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 36  , 1492683  , 7  , 7  , 450000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 021  , 3  , 6  , Chilton County  , 45  , 45  , 5196000  , 0  , 0  , 0  , 0  , 0  , 0  , 8  , 56  , 2433000  , 45  , 45  , 5196000  , 0  , 0  , 0  , 0  , 0  , 0  , 8  , 56  , 2433000
9899  ,     01  , 023  , 3  , 6  , Choctaw County  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 025  , 3  , 6  , Clarke County  , 43  , 43  , 3807868  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 13  , 13  , 1535000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 027  , 3  , 6  , Clay County  , 13  , 13  , 663000  , 0  , 0  , 0  , 0  , 0  , 0  , 6  , 40  , 1789400  , 13  , 13  , 663000  , 0  , 0  , 0  , 0  , 0  , 0  , 6  , 40  , 1789400
9899  ,     01  , 029  , 3  , 6  , Cleburne County  , 7  , 7  , 532600  , 2  , 4  , 66000  , 0  , 0  , 0  , 0  , 0  , 0  , 7  , 7  , 532600  , 2  , 4  , 66000  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 031  , 3  , 6  , Coffee County  , 115  , 115  , 9086085  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 115  , 115  , 9086085  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 033  , 3  , 6  , Colbert County  , 126  , 126  , 7654132  , 0  , 0  , 0  , 2  , 8  , 218000  , 2  , 13  , 312000  , 126  , 126  , 7654132  , 0  , 0  , 0  , 2  , 8  , 218000  , 2  , 13  , 312000
9899  ,     01  , 035  , 3  , 6  , Conecuh County  , 3  , 3  , 199634  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 32  , 1543810  , 3  , 3  , 199634  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 32  , 1543810
9899  ,     01  , 037  , 3  , 6  , Coosa County  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 039  , 3  , 6  , Covington County  , 20  , 20  , 1391000  , 1  , 2  , 42000  , 0  , 0  , 0  , 0  , 0  , 0  , 19  , 19  , 1311000  , 1  , 2  , 42000  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 041  , 3  , 6  , Crenshaw County  , 4  , 4  , 316500  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 4  , 316500  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 043  , 3  , 6  , Cullman County  , 94  , 94  , 8534286  , 1  , 2  , 40000  , 0  , 0  , 0  , 4  , 21  , 865715  , 94  , 94  , 8534286  , 1  , 2  , 40000  , 0  , 0  , 0  , 4  , 21  , 865715
9899  ,     01  , 045  , 3  , 6  , Dale County  , 31  , 31  , 3659785  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 30  , 30  , 3569785  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 047  , 3  , 6  , Dallas County  , 9  , 9  , 1324400  , 3  , 6  , 170000  , 0  , 0  , 0  , 0  , 0  , 0  , 9  , 9  , 1324400  , 3  , 6  , 170000  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 049  , 3  , 6  , DeKalb County  , 75  , 75  , 6897773  , 0  , 0  , 0  , 0  , 0  , 0  , 7  , 64  , 1267000  , 73  , 73  , 6810773  , 0  , 0  , 0  , 0  , 0  , 0  , 7  , 64  , 1267000
9899  ,     01  , 051  , 3  , 6  , Elmore County  , 267  , 267  , 23043503  , 2  , 4  , 201600  , 0  , 0  , 0  , 0  , 0  , 0  , 267  , 267  , 23043503  , 2  , 4  , 201600  , 0  , 0  , 0  , 0  , 0  , 0
9899  ,     01  , 053  , 3  , 6  , Escambia County  , 32  , 32  , 3242400  , 1  , 2  , 50000  , 6  , 24  , 998800  , 5  , 40  , 2000000  , 32  , 32  , 3242400  , 1  , 2  , 50000  , 6  , 24  , 998800  , 5  , 40  , 2000000
9899  ,     01  , 055  , 3  , 6  , Etowah County  , 218  , 218  , 21069490  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 22  , 851000  , 213  , 213  , 21019490  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 22  , 851000
9899  ,     01  , 057  , 3  , 6  , Fayette County  , 9  , 9  , 625000  , 0  , 0  , 0  , 0  , 0  , 0  , 6  , 44  , 1883884  , 9  , 9  , 625000  , 0  , 0  , 0  , 0  , 0  , 0  , 6  , 44  , 1883884
9899  ,     01  , 059  , 3  , 6  , Franklin County  , 30  , 30  , 888853  , 0  , 0  , 0  , 1  , 4  , 65000  , 0  , 0  , 0  , 30  , 30  , 888853  , 0  , 0  , 0  , 1  , 4  , 65000  , 0  , 0  , 0
