Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2014,01,001,3,6,Autauga County                ,131,131,34659564,0,0,0,0,0,0,0,0,0,131,131,34659564,0,0,0,0,0,0,0,0,0
2014,01,003,3,6,Baldwin County                ,1364,1364,263359053,8,16,958050,1,4,608912,0,0,0,1197,1197,224277614,8,16,958050,1,4,608912,0,0,0
2014,01,005,3,6,Barbour County                ,6,6,1437500,1,2,170000,0,0,0,0,0,0,6,6,1437500,1,2,170000,0,0,0,0,0,0
2014,01,007,3,6,Bibb County                   ,19,19,3358212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,01,009,3,6,Blount County                 ,3,3,420594,0,0,0,0,0,0,0,0,0,3,3,420594,0,0,0,0,0,0,0,0,0
2014,01,011,3,6,Bullock County                ,1,1,94000,0,0,0,0,0,0,0,0,0,1,1,94000,0,0,0,0,0,0,0,0,0
2014,01,013,3,6,Butler County                 ,2,2,320000,0,0,0,0,0,0,0,0,0,2,2,320000,0,0,0,0,0,0,0,0,0
2014,01,015,3,6,Calhoun County                ,102,102,14121575,0,0,0,0,0,0,1,12,400000,98,98,13852031,0,0,0,0,0,0,1,12,400000
2014,01,017,3,6,Chambers County               ,8,8,943000,0,0,0,0,0,0,0,0,0,6,6,518000,0,0,0,0,0,0,0,0,0
2014,01,019,3,6,Cherokee County               ,2,2,186000,0,0,0,0,0,0,0,0,0,1,1,86000,0,0,0,0,0,0,0,0,0
2014,01,021,3,6,Chilton County                ,14,14,1174850,0,0,0,14,56,4947600,1,8,368300,14,14,1174850,0,0,0,14,56,4947600,1,8,368300
2014,01,023,3,6,Choctaw County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,01,025,3,6,Clarke County                 ,11,11,1556466,0,0,0,0,0,0,0,0,0,11,11,1556466,0,0,0,0,0,0,0,0,0
2014,01,027,3,6,Clay County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,01,029,3,6,Cleburne County               ,1,1,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,01,031,3,6,Coffee County                 ,58,58,9955500,0,0,0,0,0,0,0,0,0,58,58,9955500,0,0,0,0,0,0,0,0,0
2014,01,033,3,6,Colbert County                ,120,120,16154852,0,0,0,0,0,0,4,23,1175000,8,8,2668000,0,0,0,0,0,0,2,11,850000
2014,01,035,3,6,Conecuh County                ,3,3,598025,0,0,0,0,0,0,0,0,0,3,3,598025,0,0,0,0,0,0,0,0,0
2014,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,01,039,3,6,Covington County              ,8,8,1455000,0,0,0,0,0,0,0,0,0,8,8,1455000,0,0,0,0,0,0,0,0,0
2014,01,041,3,6,Crenshaw County               ,2,2,620000,0,0,0,0,0,0,0,0,0,2,2,620000,0,0,0,0,0,0,0,0,0
2014,01,043,3,6,Cullman County                ,71,71,9767091,3,6,340000,0,0,0,0,0,0,53,53,8785780,3,6,340000,0,0,0,0,0,0
2014,01,045,3,6,Dale County                   ,17,17,879160,0,0,0,0,0,0,0,0,0,10,10,704160,0,0,0,0,0,0,0,0,0
