Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8299,0040,9999, ,ABILENE SMSA,788,788,53100,27,54,2539,4,14,505,61,1280,26975,754,754,51675,27,54,2539,4,14,505,61,1280,26975
8299,0080,9999, ,AKRON SMSA,503,503,29392,22,44,1386,40,150,5594,34,425,11221,503,503,29392,22,44,1386,40,150,5594,34,425,11221
8299,0120,9999, ,ALBANY SMSA,259,259,8309,27,54,886,3,11,182,34,172,3184,259,259,8309,27,54,886,3,11,182,34,172,3184
8299,0160,9999, ,ALBANY-SCHENECTADY-TROY SMSA,805,805,42078,76,152,3842,27,107,1235,26,359,10020,795,795,41581,76,152,3842,27,107,1235,26,359,10020
8299,0200,9999, ,ALBUQUERQUE SMSA,1417,1417,76937,1,2,25,32,128,2954,9,556,8464,1417,1417,76937,1,2,25,32,128,2954,9,556,8464
8299,0220,9999, ,ALEXANDRIA SMSA,96,96,3714,9,18,502,4,13,225,1,104,3871,96,96,3714,9,18,502,4,13,225,1,104,3871
8299,0240,9999, ,ALLENTOWN-BETHLEHEM-EASTON,1143,1143,53927,20,40,1321,22,85,3501,11,140,3574,1140,1140,53756,20,40,1321,22,85,3501,11,140,3574
8299,0280,9999, ,ALTOONA SMSA,110,110,4160,1,2,60,0,0,0,1,51,1300,110,110,4160,1,2,60,0,0,0,1,51,1300
8299,0320,9999, ,AMARILLO SMSA,497,497,44737,12,24,679,5,17,334,18,1001,22490,497,497,44737,12,24,679,5,17,334,18,1001,22490
8299,0360,9999, ,ANAHEIM-SANTA ANA-GARDEN GR. SMSA,2868,2868,231545,60,120,7097,68,250,11838,228,2156,76600,2851,2851,230623,60,120,7097,68,250,11838,227,2148,76382
8299,0380,9999, ,ANCHORAGE SMSA,3234,3234,246948,252,504,24226,122,462,21846,164,2158,90918,3017,3017,228114,241,482,22872,118,446,20949,158,2101,88457
8299,0400,9999, ,ANDERSON SMSA,41,41,2261,0,0,0,0,0,0,7,44,458,41,41,2261,0,0,0,0,0,0,7,44,458
8299,0405,9999, ,ANDERSON SMSA,375,375,13656,2,4,46,2,7,212,29,202,3232,375,375,13656,2,4,46,2,7,212,29,202,3232
8299,0440,9999, ,ANN ARBOR SMSA,142,142,12733,4,8,388,1,4,240,2,60,5465,142,142,12733,4,8,388,1,4,240,2,60,5465
8299,0450,9999, ,ANNISTON SMSA,89,89,4089,3,6,90,0,0,0,0,0,0,89,89,4089,3,6,90,0,0,0,0,0,0
8299,0460,9999, ,APPLETON-OSHKOSH SMSA,598,598,29065,52,104,3250,14,56,1463,20,228,5893,598,598,29065,52,104,3250,14,56,1463,20,228,5893
8299,0480,9999, ,ASHEVILLE SMSA,587,587,20424,4,8,96,6,23,580,10,96,4839,587,587,20424,4,8,96,6,23,580,10,96,4839
8299,0500,9999, ,ATHENS SMSA,355,355,15091,127,254,4293,30,109,2559,6,62,1154,355,355,15091,127,254,4293,30,109,2559,6,62,1154
8299,0520,9999, ,ATLANTA SMSA,17241,17241,737184,404,808,25879,201,738,19220,375,5228,149641,17206,17206,735876,400,800,25689,201,738,19220,366,5178,149162
8299,0560,9999, ,ATLANTIC CITY SMSA,611,611,22297,11,22,708,5,20,469,18,427,25963,610,610,22274,11,22,708,5,20,469,18,427,25963
8299,0600,9999, ,AUGUSTA GA.-S.C. SMSA,1336,1336,48881,85,170,2706,36,141,2158,44,611,11671,1336,1336,48881,85,170,2706,36,141,2158,44,611,11671
8299,0640,9999, ,AUSTIN SMSA,4427,4427,308808,787,1574,65268,178,688,28398,185,4782,136505,4390,4390,306693,787,1574,65268,178,688,28398,185,4782,136505
8299,0680,9999, ,BAKERSFIELD SMSA,3084,3084,168153,138,276,11438,130,476,15367,68,586,14760,2894,2894,158367,129,258,11017,123,450,14662,68,586,14760
8299,0720,9999, ,BALTIMORE SMSA,6323,6323,308285,8,16,435,1,4,80,77,2195,71657,6323,6323,308285,8,16,435,1,4,80,77,2195,71657
8299,0730,9999, ,BANGOR SMSA,74,74,2955,1,2,60,2,7,372,9,59,2171,74,74,2955,1,2,60,2,7,372,9,59,2171
8299,0760,9999, ,BATON ROUGE SMSA,2021,2021,53939,38,76,1426,139,552,13599,98,1456,33789,2021,2021,53939,38,76,1426,139,552,13599,98,1456,33789
8299,0780,9999, ,BATTLE CREEK SMSA,170,170,5843,0,0,0,0,0,0,1,6,45,152,152,5167,0,0,0,0,0,0,1,6,45
8299,0800,9999, ,BAY CITY SMSA,53,53,1929,1,2,38,0,0,0,3,16,350,53,53,1929,1,2,38,0,0,0,3,16,350
8299,0840,9999, ,BEAUMONT-PORT ARTHUR-ORANGE SMSA,999,999,50325,41,82,2096,5,17,228,41,362,9815,901,901,45496,41,82,2096,5,17,228,41,362,9815
