Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201699,104,10580,C,Albany-Schenectady-Troy  NY ,1380,1380,361454,39,78,10605,72,275,26585,70,1120,113414,1234,1234,329874,38,76,10395,71,272,26298,44,937,88989
201699,104,24020, ,Glens Falls  NY ,216,216,42631,0,0,0,3,11,1344,8,132,17999,138,138,36184,0,0,0,3,11,1344,7,54,1340
201699,106,10740,C,Albuquerque  NM ,1931,1931,402756,3,6,829,7,28,2348,42,500,47326,1018,1018,233320,1,2,262,0,0,0,27,384,39776
201699,106,42140,C,Santa Fe  NM ,117,117,29198,0,0,0,0,0,0,0,0,0,45,45,11769,0,0,0,0,0,0,0,0,0
201699,108,11100, ,Amarillo  TX ,718,718,177233,11,22,2802,0,0,0,0,0,0,718,718,177233,11,22,2802,0,0,0,0,0,0
201699,118,11540, ,Appleton  WI ,549,549,137251,24,48,5436,0,0,0,10,146,15108,541,541,134941,24,48,5436,0,0,0,10,146,15108
201699,118,36780, ,Oshkosh-Neenah  WI ,322,322,88464,9,18,2407,0,0,0,5,71,10186,322,322,88464,9,18,2407,0,0,0,5,71,10186
201699,120,11700, ,Asheville  NC ,1919,1919,492337,5,10,682,0,0,0,56,1274,81022,1559,1559,414337,5,10,682,0,0,0,43,1206,62008
201699,122,12020, ,Athens-Clarke County  GA ,523,523,118689,7,14,2188,4,16,2310,6,31,2368,474,474,115053,7,14,2188,4,16,2310,6,31,2368
201699,122,12060, ,Atlanta-Sandy Springs-Roswell  GA ,23100,23100,4949674,24,48,5830,29,102,19710,201,13107,1493109,22622,22622,4841381,24,48,5830,29,102,19710,188,12826,1463348
201699,122,23580, ,Gainesville  GA ,1033,1033,203040,0,0,0,5,15,1605,19,530,45989,1033,1033,203040,0,0,0,0,0,0,19,530,45989
201699,140,13460, ,Bend-Redmond  OR ,1817,1817,432489,20,40,7101,18,59,4345,14,358,39641,1744,1744,427831,20,40,7101,18,59,4345,14,358,39641
201699,142,13820,C,Birmingham-Hoover  AL ,2730,2730,645696,0,0,0,2,8,1714,26,574,78058,2564,2564,610862,0,0,0,2,8,1714,26,574,78058
201699,144,14020,C,Bloomington  IN ,292,292,69480,15,30,3573,1,4,493,7,175,20131,206,206,48580,15,30,3573,1,4,493,3,120,14512
201699,145,14010, ,Bloomington  IL ,214,214,36017,2,4,312,0,0,0,7,124,8311,212,212,35917,2,4,312,0,0,0,7,124,8311
201699,146,14100,C,Bloomsburg-Berwick  PA ,111,111,26883,1,2,237,1,3,387,4,34,4411,111,111,26883,1,2,237,1,3,387,3,29,3628
201699,147,14260,C,Boise City  ID ,5383,5383,1200339,11,22,3602,77,308,23372,57,1045,108949,5336,5336,1194022,11,22,3602,77,308,23372,57,1045,108949
201699,148,12700, ,Barnstable Town  MA ,495,495,201887,5,10,625,0,0,0,0,0,0,281,281,138703,0,0,0,0,0,0,0,0,0
201699,148,14460,C,Boston-Cambridge-Newton  MA-NH ,5243,5243,1565019,258,516,82265,94,318,60209,246,7170,1350892,4564,4564,1399484,227,454,71564,91,309,58246,146,6410,1242525
201699,148,31700, ,Manchester-Nashua  NH ,701,701,136941,19,38,4914,0,0,0,10,358,46324,636,636,121880,19,38,4914,0,0,0,10,358,46324
201699,148,39300,C,Providence-Warwick  RI-MA ,1662,1662,374076,45,90,9002,39,129,11161,25,683,56750,1554,1554,354887,45,90,9002,35,117,9061,25,683,56750
201699,148,49340, ,Worcester  MA-CT ,1323,1323,289496,21,42,5778,0,0,0,8,258,25483,978,978,213063,17,34,4256,0,0,0,8,258,25483
201699,150,14540, ,Bowling Green  KY ,580,580,116749,25,50,1542,25,84,5107,50,631,40270,578,578,116449,23,46,1242,24,80,4807,50,631,40270
201699,154,15180, ,Brownsville-Harlingen  TX ,1217,1217,162270,6,12,610,27,92,4396,19,248,21046,1122,1122,154278,5,10,515,27,92,4396,18,243,20881
201699,160,15380,C,Buffalo-Cheektowaga-Niagara Falls  NY ,931,931,249024,7,14,1775,4,14,1267,68,1005,139116,878,878,239180,7,14,1775,4,14,1267,66,995,137643
201699,162,15980,C,Cape Coral-Fort Myers  FL ,4092,4092,1010897,61,122,12214,60,240,43836,54,963,193093,4092,4092,1010897,61,122,12214,60,240,43836,54,963,193093
201699,162,34940, ,Naples-Immokalee-Marco Island  FL ,2892,2892,950523,2,4,990,61,230,45515,49,703,96092,2892,2892,950523,2,4,990,61,230,45515,49,703,96092
201699,164,16020, ,Cape Girardeau  MO-IL ,132,132,30608,4,8,920,0,0,0,4,32,1600,51,51,11941,4,8,920,0,0,0,4,32,1600
201699,168,16300, ,Cedar Rapids  IA ,555,555,74570,65,130,10405,20,67,6699,1,35,1854,551,551,74130,65,130,10405,20,67,6699,1,35,1854
201699,168,26980, ,Iowa City  IA ,595,595,146548,33,66,9835,18,65,9577,27,1195,154630,516,516,130596,2,4,667,8,28,4837,23,1155,151386
201699,170,16620, ,Charleston  WV ,70,70,12279,9,18,1947,6,21,1406,7,76,4836,32,32,5173,2,4,90,0,0,0,0,0,0
201699,170,26580, ,Huntington-Ashland  WV-KY-OH ,196,196,39109,3,6,492,4,16,411,2,32,1527,137,137,29906,3,6,492,4,16,411,2,32,1527
201699,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,14041,14041,3505600,44,88,8991,5,17,2777,164,6428,547731,13602,13602,3391634,44,88,8991,5,17,2777,152,6247,530606
201699,174,16860, ,Chattanooga  TN-GA ,1725,1725,316605,29,58,5290,6,22,3742,19,682,54150,1649,1649,300912,26,52,4575,4,14,2192,19,682,54150
