Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9899,09,001000,013,3280,9999,1,1,12,,Andover town,24,24,2395160,0,0,0,0,0,0,0,0,0,24,24,2395160,0,0,0,0,0,0,0,0,0
9899,09,005000,009,5602,1160,1,1,12,,Ansonia,26,26,1833600,1,2,37500,0,0,0,1,5,300000,26,26,1833600,1,2,37500,0,0,0,1,5,300000
9899,09,009000,015,3280,9999,1,1,12,,Ashford town,32,32,2708497,0,0,0,0,0,0,0,0,0,32,32,2708497,0,0,0,0,0,0,0,0,0
9899,09,013000,003,3280,9999,1,1,12,,Avon town,143,143,30214178,0,0,0,4,16,918000,4,29,1645000,143,143,30214178,0,0,0,4,16,918000,4,29,1645000
9899,09,017000,005,9999,9999,1,1,12,,Bantam borough,2,2,197000,0,0,0,0,0,0,0,0,0,2,2,197000,0,0,0,0,0,0,0,0,0
9899,09,021000,005,3280,9999,1,1,12,,Barkhamsted town,26,26,3937334,0,0,0,0,0,0,0,0,0,26,26,3937334,0,0,0,0,0,0,0,0,0
9899,09,025000,009,5602,1160,1,1,12,,Beacon Falls town,24,24,1555000,0,0,0,0,0,0,0,0,0,24,24,1555000,0,0,0,0,0,0,0,0,0
9899,09,029000,003,3280,9999,1,1,12,,Berlin town,89,89,9882684,0,0,0,0,0,0,0,0,0,89,89,9882684,0,0,0,0,0,0,0,0,0
9899,09,033000,009,5602,5480,1,1,12,,Bethany town,29,29,6648520,0,0,0,0,0,0,0,0,0,29,29,6648520,0,0,0,0,0,0,0,0,0
9899,09,037000,001,5602,1930,1,1,12,,Bethel town,41,41,7079839,0,0,0,0,0,0,0,0,0,41,41,7079839,0,0,0,0,0,0,0,0,0
9899,09,041000,005,5602,8880,1,1,12,,Bethlehem town,14,14,1756000,0,0,0,0,0,0,0,0,0,14,14,1756000,0,0,0,0,0,0,0,0,0
9899,09,045000,003,3280,9999,1,1,12,,Bloomfield town,37,37,2857080,0,0,0,0,0,0,0,0,0,37,37,2857080,0,0,0,0,0,0,0,0,0
9899,09,049000,013,3280,9999,1,1,12,,Bolton town,26,26,5236176,0,0,0,0,0,0,0,0,0,26,26,5236176,0,0,0,0,0,0,0,0,0
9899,09,053000,011,5520,9999,1,1,12,,Bozrah town,6,6,555000,0,0,0,0,0,0,0,0,0,6,6,555000,0,0,0,0,0,0,0,0,0
9899,09,057000,009,5602,5480,1,1,12,,Branford town,39,39,4488900,0,0,0,0,0,0,0,0,0,39,39,4488900,0,0,0,0,0,0,0,0,0
9899,09,061000,001,5602,1160,1,1,12,,Bridgeport,79,79,4468800,27,54,2161900,1,3,191600,0,0,0,79,79,4468800,27,54,2161900,1,3,191600,0,0,0
9899,09,065000,005,5602,1930,1,1,12,,Bridgewater town,14,14,3162609,0,0,0,0,0,0,0,0,0,14,14,3162609,0,0,0,0,0,0,0,0,0
9899,09,069000,003,3280,9999,1,1,12,,Bristol,93,93,7856000,0,0,0,0,0,0,0,0,0,93,93,7856000,0,0,0,0,0,0,0,0,0
9899,09,077000,001,5602,1930,1,1,12,,Brookfield town,50,50,7791950,0,0,0,0,0,0,0,0,0,50,50,7791950,0,0,0,0,0,0,0,0,0
9899,09,081000,015,9999,9999,1,1,12,,Brooklyn town,16,16,1798000,0,0,0,0,0,0,1,80,7875000,16,16,1798000,0,0,0,0,0,0,1,80,7875000
9899,09,085000,003,3280,9999,1,1,12,,Burlington town,51,51,8307776,0,0,0,0,0,0,0,0,0,51,51,8307776,0,0,0,0,0,0,0,0,0
9899,09,089000,005,9999,9999,1,1,12,,Canaan town,3,3,658000,0,0,0,0,0,0,0,0,0,3,3,658000,0,0,0,0,0,0,0,0,0
9899,09,093000,015,5520,9999,1,1,12,,Canterbury town,21,21,1857000,0,0,0,0,0,0,0,0,0,21,21,1857000,0,0,0,0,0,0,0,0,0
9899,09,097000,003,3280,9999,1,1,12,,Canton town,44,44,6151107,0,0,0,0,0,0,0,0,0,44,44,6151107,0,0,0,0,0,0,0,0,0
9899,09,101000,015,3280,9999,1,1,0,,Chaplin town,16,16,867184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9899,09,105000,009,5602,5480,1,1,12,,Cheshire town,99,99,12704475,0,0,0,0,0,0,0,0,0,99,99,12704475,0,0,0,0,0,0,0,0,0
9899,09,109000,007,9999,9999,1,1,12,,Chester town,9,9,1596800,0,0,0,0,0,0,0,0,0,9,9,1596800,0,0,0,0,0,0,0,0,0
9899,09,113000,007,5602,5480,1,1,12,,Clinton town,74,74,6794520,0,0,0,0,0,0,0,0,0,74,74,6794520,0,0,0,0,0,0,0,0,0
9899,09,121000,011,3280,9999,1,1,12,,Colchester town,102,102,9482000,0,0,0,0,0,0,0,0,0,102,102,9482000,0,0,0,0,0,0,0,0,0
9899,09,125000,005,9999,9999,1,1,12,,Colebrook town,11,11,990050,0,0,0,0,0,0,0,0,0,11,11,990050,0,0,0,0,0,0,0,0,0
9899,09,129000,013,3280,9999,1,1,12,,Columbia town,31,31,3861055,0,0,0,0,0,0,0,0,0,31,31,3861055,0,0,0,0,0,0,0,0,0
9899,09,133000,005,9999,9999,1,1,12,,Cornwall town,5,5,574614,0,0,0,0,0,0,0,0,0,5,5,574614,0,0,0,0,0,0,0,0,0
9899,09,137000,013,3280,9999,1,1,12,,Coventry town,65,65,6709265,0,0,0,0,0,0,0,0,0,65,65,6709265,0,0,0,0,0,0,0,0,0
9899,09,141000,007,3280,9999,1,1,12,,Cromwell town,64,64,7276463,0,0,0,16,64,2586384,0,0,0,64,64,7276463,0,0,0,16,64,2586384,0,0,0
9899,09,145000,001,5602,1930,1,1,12,,Danbury,109,109,12622431,1,2,123759,7,24,1519087,44,791,42070917,109,109,12622431,1,2,123759,7,24,1519087,44,791,42070917
9899,09,157000,001,5602,8040,1,1,12,,Darien town,26,26,14968000,0,0,0,0,0,0,0,0,0,26,26,14968000,0,0,0,0,0,0,0,0,0
9899,09,161000,007,9999,9999,1,1,12,,Deep River town,23,23,4509138,0,0,0,0,0,0,0,0,0,23,23,4509138,0,0,0,0,0,0,0,0,0
9899,09,165000,009,5602,1160,1,1,12,,Derby,26,26,2912340,0,0,0,0,0,0,0,0,0,26,26,2912340,0,0,0,0,0,0,0,0,0
9899,09,169000,007,3280,9999,1,1,12,,Durham town,43,43,4882925,0,0,0,0,0,0,0,0,0,43,43,4882925,0,0,0,0,0,0,0,0,0
9899,09,173000,003,3280,9999,1,1,12,,East Granby town,24,24,3918700,0,0,0,0,0,0,0,0,0,24,24,3918700,0,0,0,0,0,0,0,0,0
9899,09,177000,007,3280,9999,1,1,11,,East Haddam town,68,68,7820082,0,0,0,3,12,406920,0,0,0,62,62,6977120,0,0,0,3,12,406920,0,0,0
9899,09,181000,007,3280,9999,1,1,12,,East Hampton town,49,49,3938799,0,0,0,0,0,0,0,0,0,49,49,3938799,0,0,0,0,0,0,0,0,0
9899,09,185000,003,3280,9999,1,1,12,,East Hartford town,4,4,391000,0,0,0,0,0,0,0,0,0,4,4,391000,0,0,0,0,0,0,0,0,0
9899,09,189000,009,5602,5480,1,1,12,,East Haven town,56,56,4315500,0,0,0,0,0,0,3,19,1100000,56,56,4315500,0,0,0,0,0,0,3,19,1100000
9899,09,193000,011,5520,9999,1,1,12,,East Lyme town,80,80,9784627,0,0,0,0,0,0,1,60,2800000,80,80,9784627,0,0,0,0,0,0,1,60,2800000
9899,09,197000,003,3280,9999,1,1,12,,East Windsor town,28,28,2648312,0,0,0,0,0,0,0,0,0,28,28,2648312,0,0,0,0,0,0,0,0,0
9899,09,201000,015,9999,9999,1,1,12,,Eastford town,5,5,523020,0,0,0,0,0,0,0,0,0,5,5,523020,0,0,0,0,0,0,0,0,0
9899,09,205000,001,5602,1160,1,1,12,,Easton town,46,46,12460190,0,0,0,0,0,0,0,0,0,46,46,12460190,0,0,0,0,0,0,0,0,0
9899,09,209000,013,3280,9999,1,1,12,,Ellington town,50,50,8036542,0,0,0,2,8,450000,13,104,5590850,50,50,8036542,0,0,0,2,8,450000,13,104,5590850
9899,09,213000,003,3280,9999,1,1,12,,Enfield town,86,86,6305842,0,0,0,0,0,0,0,0,0,86,86,6305842,0,0,0,0,0,0,0,0,0
9899,09,217000,007,9999,9999,1,1,12,,Essex town,48,48,8550802,0,0,0,0,0,0,0,0,0,48,48,8550802,0,0,0,0,0,0,0,0,0
9899,09,221000,001,5602,1160,1,1,12,,Fairfield town,134,134,16858459,3,6,430000,0,0,0,0,0,0,134,134,16858459,3,6,430000,0,0,0,0,0,0
9899,09,225000,003,3280,9999,1,1,11,,Farmington town,147,147,18309732,0,0,0,0,0,0,3,19,1000560,138,138,17094180,0,0,0,0,0,0,2,11,670000
9899,09,229000,007,9999,9999,1,1,12,,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9899,09,233000,011,5520,9999,1,1,11,,Franklin town,2,2,210000,0,0,0,0,0,0,0,0,0,2,2,210000,0,0,0,0,0,0,0,0,0
9899,09,237000,003,3280,9999,1,1,12,,Glastonbury town,246,246,33784802,0,0,0,0,0,0,0,0,0,246,246,33784802,0,0,0,0,0,0,0,0,0
9899,09,241000,005,9999,9999,1,1,12,,Goshen town,15,15,2500000,0,0,0,0,0,0,0,0,0,15,15,2500000,0,0,0,0,0,0,0,0,0
9899,09,245000,003,3280,9999,1,1,12,,Granby town,46,46,6173980,0,0,0,0,0,0,0,0,0,46,46,6173980,0,0,0,0,0,0,0,0,0
9899,09,249000,001,5602,8040,1,1,11,,Greenwich town,88,88,57910590,9,18,1712075,1,3,370000,1,5,465474,81,81,52808290,8,16,1368000,1,3,370000,0,0,0
9899,09,253000,011,5520,9999,1,1,12,,Griswold town,49,49,4145600,0,0,0,0,0,0,0,0,0,49,49,4145600,0,0,0,0,0,0,0,0,0
9899,09,257000,011,9999,9999,1,1,12,,Groton,4,4,255000,0,0,0,0,0,0,0,0,0,4,4,255000,0,0,0,0,0,0,0,0,0
9899,09,261000,011,9999,9999,1,1,12,,Groton Long Point borough,9,9,2877500,0,0,0,0,0,0,0,0,0,9,9,2877500,0,0,0,0,0,0,0,0,0
9899,09,265000,011,5520,9999,1,1,12,,Groton town,122,122,9396430,1,2,75000,0,0,0,0,0,0,122,122,9396430,1,2,75000,0,0,0,0,0,0
9899,09,269000,009,5602,5480,1,1,12,,Guilford town,139,139,23146043,0,0,0,0,0,0,0,0,0,139,139,23146043,0,0,0,0,0,0,0,0,0
9899,09,273000,007,3280,9999,1,1,12,,Haddam town,27,27,2851522,0,0,0,0,0,0,0,0,0,27,27,2851522,0,0,0,0,0,0,0,0,0
9899,09,277000,009,5602,5480,1,1,7,,Hamden town,62,62,5162661,0,0,0,0,0,0,18,396,11505943,41,41,3377000,0,0,0,0,0,0,16,386,11022313
9899,09,281000,015,9999,9999,1,1,0,,Hampton town,16,16,1651501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9899,09,285000,003,3280,9999,1,1,12,,Hartford,64,64,4108400,12,24,1149136,0,0,0,0,0,0,64,64,4108400,12,24,1149136,0,0,0,0,0,0
9899,09,289000,003,9999,9999,1,1,12,,Hartland town,5,5,610000,0,0,0,0,0,0,0,0,0,5,5,610000,0,0,0,0,0,0,0,0,0
9899,09,293000,005,3280,9999,1,1,12,,Harwinton town,22,22,3594000,0,0,0,0,0,0,0,0,0,22,22,3594000,0,0,0,0,0,0,0,0,0
9899,09,297000,013,3280,9999,1,1,0,,Hebron town,78,78,7813728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9899,09,305000,005,9999,9999,1,1,0,,Kent town,12,12,2111400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9899,09,309000,015,9999,9999,1,1,12,,Killingly town,26,26,2112159,0,0,0,0,0,0,0,0,0,26,26,2112159,0,0,0,0,0,0,0,0,0
9899,09,313000,007,5602,5480,1,1,12,,Killingworth town,59,59,8309800,0,0,0,0,0,0,0,0,0,59,59,8309800,0,0,0,0,0,0,0,0,0
9899,09,317000,011,3280,9999,1,1,12,,Lebanon town,28,28,2337387,0,0,0,0,0,0,0,0,0,28,28,2337387,0,0,0,0,0,0,0,0,0
9899,09,321000,011,5520,9999,1,1,12,,Ledyard town,64,64,5681874,1,2,109780,1,4,150000,0,0,0,64,64,5681874,1,2,109780,1,4,150000,0,0,0
9899,09,325000,011,5520,9999,1,1,0,,Lisbon town,24,24,2075337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9899,09,333000,005,9999,9999,1,1,12,,Litchfield town,31,31,4576000,0,0,0,0,0,0,0,0,0,31,31,4576000,0,0,0,0,0,0,0,0,0
9899,09,337000,011,9999,9999,1,1,11,,Lyme town,13,13,5404299,0,0,0,0,0,0,0,0,0,12,12,5177146,0,0,0,0,0,0,0,0,0
9899,09,341000,009,5602,5480,1,1,12,,Madison town,100,100,19692762,0,0,0,0,0,0,0,0,0,100,100,19692762,0,0,0,0,0,0,0,0,0
9899,09,345000,003,3280,9999,1,1,12,,Manchester town,74,74,7685044,12,24,1011984,0,0,0,16,385,13807329,74,74,7685044,12,24,1011984,0,0,0,16,385,13807329
9899,09,349000,013,3280,9999,1,1,12,,Mansfield town,55,55,5773816,0,0,0,1,3,234795,0,0,0,55,55,5773816,0,0,0,1,3,234795,0,0,0
9899,09,353000,003,3280,9999,1,1,12,,Marlborough town,30,30,4925300,0,0,0,0,0,0,1,5,342873,30,30,4925300,0,0,0,0,0,0,1,5,342873
9899,09,357000,009,5602,5480,1,1,12,,Meriden,53,53,3875150,0,0,0,0,0,0,0,0,0,53,53,3875150,0,0,0,0,0,0,0,0,0
9899,09,361000,009,5602,8880,1,1,12,,Middlebury town,32,32,7940000,0,0,0,0,0,0,0,0,0,32,32,7940000,0,0,0,0,0,0,0,0,0
