Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,09,001000,013,    ,3280,9999, ,06232      ,1,1,12,,Andover town,16,16,2473000,0,0,0,0,0,0,0,0,0,16,16,2473000,0,0,0,0,0,0,0,0,0
2002,09,005000,009,0020,5602,1160, ,06401      ,1,1,12,,Ansonia,18,18,1594000,2,4,270000,0,0,0,0,0,0,18,18,1594000,2,4,270000,0,0,0,0,0,0
2002,09,009000,015,    ,3280,9999, ,06278      ,1,1,12,,Ashford town,28,28,3348234,0,0,0,0,0,0,0,0,0,28,28,3348234,0,0,0,0,0,0,0,0,0
2002,09,013000,003,    ,3280,9999, ,06001      ,1,1,12,,Avon town,141,141,26734060,7,14,1801000,1,3,381000,0,0,0,141,141,26734060,7,14,1801000,1,3,381000,0,0,0
2002,09,017000,005,0070,9999,9999, ,06759      ,1,1,12,,Bantam borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,021000,005,    ,3280,9999, ,06063      ,1,1,12,,Barkhamsted town,23,23,3083886,0,0,0,0,0,0,0,0,0,23,23,3083886,0,0,0,0,0,0,0,0,0
2002,09,025000,009,    ,5602,1160, ,06403      ,1,1,12,,Beacon Falls town,14,14,1120000,0,0,0,0,0,0,0,0,0,14,14,1120000,0,0,0,0,0,0,0,0,0
2002,09,029000,003,    ,3280,9999, ,06037      ,1,1,12,,Berlin town,89,89,9355166,1,2,131721,0,0,0,0,0,0,89,89,9355166,1,2,131721,0,0,0,0,0,0
2002,09,033000,009,    ,5602,5480, ,06524      ,1,1,12,,Bethany town,42,42,14060220,0,0,0,0,0,0,0,0,0,42,42,14060220,0,0,0,0,0,0,0,0,0
2002,09,037000,001,    ,5602,1930, ,06801      ,1,1,12,,Bethel town,61,61,9604634,0,0,0,0,0,0,0,0,0,61,61,9604634,0,0,0,0,0,0,0,0,0
2002,09,041000,005,    ,5602,8880, ,06751      ,1,1,12,,Bethlehem town,18,18,3136000,1,2,200000,0,0,0,0,0,0,18,18,3136000,1,2,200000,0,0,0,0,0,0
2002,09,045000,003,    ,3280,9999, ,06002      ,1,1,12,,Bloomfield town,61,61,6719878,0,0,0,0,0,0,0,0,0,61,61,6719878,0,0,0,0,0,0,0,0,0
2002,09,049000,013,    ,3280,9999, ,06043      ,1,1,12,,Bolton town,11,11,2136180,0,0,0,0,0,0,0,0,0,11,11,2136180,0,0,0,0,0,0,0,0,0
2002,09,053000,011,    ,5520,9999, ,06334      ,1,1,12,,Bozrah town,9,9,1360000,0,0,0,0,0,0,0,0,0,9,9,1360000,0,0,0,0,0,0,0,0,0
2002,09,057000,009,    ,5602,5480, ,06405      ,1,1,12,,Branford town,58,58,13146535,1,2,110000,0,0,0,0,0,0,58,58,13146535,1,2,110000,0,0,0,0,0,0
2002,09,061000,001,0200,5602,1160,1,06604      ,1,1,12,,Bridgeport,60,60,4297994,2,4,120000,0,0,0,0,0,0,60,60,4297994,2,4,120000,0,0,0,0,0,0
2002,09,065000,005,    ,5602,1930, ,06752      ,1,1,12,,Bridgewater town,9,9,2866925,0,0,0,0,0,0,0,0,0,9,9,2866925,0,0,0,0,0,0,0,0,0
2002,09,069000,003,0230,3280,9999, ,06010      ,1,1,12,,Bristol,118,118,16847000,2,4,127000,0,0,0,0,0,0,118,118,16847000,2,4,127000,0,0,0,0,0,0
2002,09,077000,001,    ,5602,1930, ,06804      ,1,1,12,,Brookfield town,45,45,8891910,0,0,0,0,0,0,1,10,400000,45,45,8891910,0,0,0,0,0,0,1,10,400000
2002,09,081000,015,    ,9999,9999, ,06234      ,1,1,12,,Brooklyn town,53,53,7047000,0,0,0,0,0,0,0,0,0,53,53,7047000,0,0,0,0,0,0,0,0,0
2002,09,085000,003,    ,3280,9999, ,06013      ,1,1,12,,Burlington town,64,64,11264217,0,0,0,0,0,0,0,0,0,64,64,11264217,0,0,0,0,0,0,0,0,0
2002,09,089000,005,    ,9999,9999, ,06031      ,1,1,12,,Canaan town,4,4,416000,0,0,0,0,0,0,0,0,0,4,4,416000,0,0,0,0,0,0,0,0,0
2002,09,093000,015,    ,5520,9999, ,06331      ,1,1,12,,Canterbury town,35,35,4334000,0,0,0,0,0,0,0,0,0,35,35,4334000,0,0,0,0,0,0,0,0,0
2002,09,097000,003,    ,3280,9999, ,06022      ,1,1,12,,Canton town,56,56,10341143,0,0,0,0,0,0,5,98,3739500,56,56,10341143,0,0,0,0,0,0,5,98,3739500
2002,09,101000,015,    ,3280,9999, ,06235      ,1,1,0,,Chaplin town,16,16,867184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,105000,009,    ,5602,5480, ,06410      ,1,1,12,,Cheshire town,52,52,7677486,0,0,0,0,0,0,0,0,0,52,52,7677486,0,0,0,0,0,0,0,0,0
2002,09,109000,007,    ,9999,9999, ,06412      ,1,1,12,,Chester town,11,11,1939760,0,0,0,0,0,0,0,0,0,11,11,1939760,0,0,0,0,0,0,0,0,0
2002,09,113000,007,    ,5602,5480, ,06413      ,1,1,12,,Clinton town,64,64,10264709,0,0,0,0,0,0,2,40,2475000,64,64,10264709,0,0,0,0,0,0,2,40,2475000
2002,09,121000,011,    ,3280,9999, ,06415      ,1,1,12,,Colchester town,75,75,10076000,0,0,0,0,0,0,0,0,0,75,75,10076000,0,0,0,0,0,0,0,0,0
2002,09,125000,005,    ,9999,9999, ,06021      ,1,1,12,,Colebrook town,7,7,1013300,0,0,0,0,0,0,0,0,0,7,7,1013300,0,0,0,0,0,0,0,0,0
2002,09,129000,013,    ,3280,9999, ,06237      ,1,1,12,,Columbia town,25,25,3709433,0,0,0,0,0,0,0,0,0,25,25,3709433,0,0,0,0,0,0,0,0,0
2002,09,133000,005,    ,9999,9999, ,06069      ,1,1,12,,Cornwall town,10,10,1443617,0,0,0,0,0,0,0,0,0,10,10,1443617,0,0,0,0,0,0,0,0,0
2002,09,137000,013,    ,3280,9999, ,06238      ,1,1,12,,Coventry town,52,52,6708608,0,0,0,0,0,0,0,0,0,52,52,6708608,0,0,0,0,0,0,0,0,0
2002,09,141000,007,    ,3280,9999, ,06416      ,1,1,12,,Cromwell town,50,50,7783703,0,0,0,0,0,0,0,0,0,50,50,7783703,0,0,0,0,0,0,0,0,0
