Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,09,001000,013,    ,278,25540, ,06232      ,1,1,12,,Andover town,13,13,2158000,0,0,0,0,0,0,0,0,0,13,13,2158000,0,0,0,0,0,0,0,0,0
2003,09,005000,009,0020,408,35300, ,06401      ,1,1,12,,Ansonia,19,19,1875000,1,2,80000,0,0,0,0,0,0,19,19,1875000,1,2,80000,0,0,0,0,0,0
2003,09,009000,015,    ,328,99999, ,06278      ,1,1,12,,Ashford town,25,25,3526535,0,0,0,0,0,0,0,0,0,25,25,3526535,0,0,0,0,0,0,0,0,0
2003,09,013000,003,    ,278,25540, ,06001      ,1,1,12,,Avon town,119,119,24231284,10,20,2709000,4,12,1706000,0,0,0,119,119,24231284,10,20,2709000,4,12,1706000,0,0,0
2003,09,017000,005,0070,999,99999, ,06759      ,1,1,4,,Bantam borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,021000,005,    ,328,99999, ,06063      ,1,1,12,,Barkhamsted town,16,16,2576710,0,0,0,0,0,0,0,0,0,16,16,2576710,0,0,0,0,0,0,0,0,0
2003,09,025000,009,    ,408,35300, ,06403      ,1,1,12,,Beacon Falls town,17,17,1343000,0,0,0,0,0,0,0,0,0,17,17,1343000,0,0,0,0,0,0,0,0,0
2003,09,029000,003,    ,278,25540, ,06037      ,1,1,12,,Berlin town,80,80,9931831,0,0,0,0,0,0,0,0,0,80,80,9931831,0,0,0,0,0,0,0,0,0
2003,09,033000,009,    ,408,35300, ,06524      ,1,1,12,,Bethany town,35,35,11228880,0,0,0,0,0,0,0,0,0,35,35,11228880,0,0,0,0,0,0,0,0,0
2003,09,037000,001,    ,408,14860, ,06801      ,1,1,12,,Bethel town,76,76,14937665,0,0,0,0,0,0,0,0,0,76,76,14937665,0,0,0,0,0,0,0,0,0
2003,09,041000,005,    ,560,8880 , ,06751      ,1,1,12,,Bethlehem town,11,11,1637768,0,0,0,0,0,0,0,0,0,11,11,1637768,0,0,0,0,0,0,0,0,0
2003,09,045000,003,    ,278,25540, ,06002      ,1,1,12,,Bloomfield town,63,63,8033610,0,0,0,0,0,0,10,246,12403250,63,63,8033610,0,0,0,0,0,0,10,246,12403250
2003,09,049000,013,    ,278,25540, ,06043      ,1,1,12,,Bolton town,6,6,1308745,0,0,0,0,0,0,0,0,0,6,6,1308745,0,0,0,0,0,0,0,0,0
2003,09,053000,011,    ,999,35980, ,06334      ,1,1,12,,Bozrah town,11,11,1880000,0,0,0,0,0,0,0,0,0,11,11,1880000,0,0,0,0,0,0,0,0,0
2003,09,057000,009,    ,408,35300, ,06405      ,1,1,12,,Branford town,34,34,10465162,0,0,0,0,0,0,0,0,0,34,34,10465162,0,0,0,0,0,0,0,0,0
2003,09,061000,001,0200,408,14860,1,06604      ,1,1,12,,Bridgeport,74,74,5228100,6,12,563000,0,0,0,0,0,0,74,74,5228100,6,12,563000,0,0,0,0,0,0
2003,09,065000,005,    ,560,1930 , ,06752      ,1,1,12,,Bridgewater town,5,5,1265000,0,0,0,0,0,0,0,0,0,5,5,1265000,0,0,0,0,0,0,0,0,0
2003,09,069000,003,0230,278,25540, ,06010      ,1,1,12,,Bristol,140,140,18193500,0,0,0,0,0,0,0,0,0,140,140,18193500,0,0,0,0,0,0,0,0,0
2003,09,077000,001,    ,408,14860, ,06804      ,1,1,12,,Brookfield town,77,77,13960530,0,0,0,0,0,0,0,0,0,77,77,13960530,0,0,0,0,0,0,0,0,0
2003,09,081000,015,    ,999,99999, ,06234      ,1,1,12,,Brooklyn town,44,44,5275000,0,0,0,0,0,0,0,0,0,44,44,5275000,0,0,0,0,0,0,0,0,0
2003,09,085000,003,    ,278,25540, ,06013      ,1,1,12,,Burlington town,65,65,14212089,0,0,0,0,0,0,0,0,0,65,65,14212089,0,0,0,0,0,0,0,0,0
2003,09,089000,005,    ,999,99999, ,06031      ,1,1,12,,Canaan town,3,3,455000,0,0,0,0,0,0,0,0,0,3,3,455000,0,0,0,0,0,0,0,0,0
2003,09,093000,015,    ,552,99999, ,06331      ,1,1,12,,Canterbury town,32,32,4314000,0,0,0,0,0,0,0,0,0,32,32,4314000,0,0,0,0,0,0,0,0,0
2003,09,097000,003,    ,278,25540, ,06022      ,1,1,12,,Canton town,89,89,17045928,0,0,0,0,0,0,0,0,0,89,89,17045928,0,0,0,0,0,0,0,0,0
2003,09,101000,015,    ,328,99999, ,06235      ,1,1,0,,Chaplin town,17,17,921383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,105000,009,    ,408,35300, ,06410      ,1,1,12,,Cheshire town,32,32,5088172,7,14,1357723,0,0,0,1,41,3827300,32,32,5088172,7,14,1357723,0,0,0,1,41,3827300
2003,09,109000,007,    ,278,25540, ,06412      ,1,1,12,,Chester town,12,12,3509789,0,0,0,0,0,0,0,0,0,12,12,3509789,0,0,0,0,0,0,0,0,0
2003,09,113000,007,    ,278,25540, ,06413      ,1,1,11,,Clinton town,39,39,8735066,0,0,0,0,0,0,1,5,309375,33,33,7772750,0,0,0,0,0,0,0,0,0
2003,09,121000,011,    ,999,35980, ,06415      ,1,1,12,,Colchester town,81,81,12127010,1,2,324000,0,0,0,1,6,307000,81,81,12127010,1,2,324000,0,0,0,1,6,307000
2003,09,125000,005,    ,999,99999, ,06021      ,1,1,12,,Colebrook town,4,4,634300,0,0,0,0,0,0,0,0,0,4,4,634300,0,0,0,0,0,0,0,0,0
2003,09,129000,013,    ,278,25540, ,06237      ,1,1,11,,Columbia town,42,42,6283757,0,0,0,0,0,0,0,0,0,40,40,5987002,0,0,0,0,0,0,0,0,0
