Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2018,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,12,Andover town,5,5,973000,0,0,0,0,0,0,0,0,0,5,5,973000,0,0,0,0,0,0,0,0,0
2018,09,005000,009,0010,01150 ,01220 ,19249 ,408,35300,2, ,064011855  ,1,1,12,Ansonia,2,2,300000,1,2,150000,0,0,0,0,0,0,2,2,300000,1,2,150000,0,0,0,0,0,0
2018,09,009000,015,    ,00000 ,01430 ,4317 ,148,49340, , ,06278      ,1,1,12,Ashford town,9,9,1945000,0,0,0,0,0,0,0,0,0,9,9,1945000,0,0,0,0,0,0,0,0,0
2018,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,12,Avon town,13,13,3163450,0,0,0,0,0,0,0,0,0,13,13,3163450,0,0,0,0,0,0,0,0,0
2018,09,021000,005,    ,00000 ,02760 ,3799 ,999,99999, , ,060633340  ,1,1,12,Barkhamsted town,2,2,552000,0,0,0,0,0,0,0,0,0,2,2,552000,0,0,0,0,0,0,0,0,0
2018,09,025000,009,    ,00000 ,03250 ,6049 ,408,35300, , ,06403      ,1,1,0,Beacon Falls town,19,19,2663599,2,4,424000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,12,Berlin town,12,12,2798105,0,0,0,0,0,0,2,14,1906280,12,12,2798105,0,0,0,0,0,0,2,14,1906280
2018,09,033000,009,    ,00000 ,04580 ,5563 ,408,35300, , ,06524      ,1,1,12,Bethany town,4,4,1065528,6,12,895788,6,18,1750688,0,0,0,4,4,1065528,6,12,895788,6,18,1750688,0,0,0
2018,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,12,Bethel town,47,47,14390998,0,0,0,0,0,0,0,0,0,47,47,14390998,0,0,0,0,0,0,0,0,0
2018,09,041000,005,    ,00000 ,04930 ,3607 ,999,99999, , ,067510053  ,1,1,12,Bethlehem town,5,5,510000,0,0,0,0,0,0,0,0,0,5,5,510000,0,0,0,0,0,0,0,0,0
2018,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,11,Bloomfield town,5,5,962018,0,0,0,0,0,0,0,0,0,4,4,773274,0,0,0,0,0,0,0,0,0
2018,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,12,Bolton town,6,6,1211000,0,0,0,0,0,0,0,0,0,6,6,1211000,0,0,0,0,0,0,0,0,0
