Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9099,01,000300,067,9999,9999,3,6,12,12,Abbeville,5,5,441500,0,0,0,0,0,0,0,0,0,5,5,441500,0,0,0,0,0,0,0,0,0
9099,01,000500,073,1000,9999,3,6,12,12,Adamsville,5,5,260000,0,0,0,0,0,0,0,0,0,5,5,260000,0,0,0,0,0,0,0,0,0
9099,01,000700,133,9999,9999,3,6,0,0,Addison town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,000900,117,1000,9999,3,6,12,12,Alabaster,160,160,12734400,0,0,0,0,0,0,0,0,0,160,160,12734400,0,0,0,0,0,0,0,0,0
9099,01,001000,095,9999,9999,3,6,12,12,Albertville,64,64,3568750,0,0,0,8,30,713000,0,0,0,64,64,3568750,0,0,0,8,30,713000,0,0,0
9099,01,001500,123,9999,9999,3,6,12,12,Alexander City,53,53,3200800,0,0,0,0,0,0,1,24,300000,53,53,3200800,0,0,0,0,0,0,1,24,300000
9099,01,001700,107,9999,9999,3,6,11,11,Aliceville,2,2,137000,0,0,0,0,0,0,0,0,0,2,2,137000,0,0,0,0,0,0,0,0,0
9099,01,002000,039,9999,9999,3,6,12,12,Andalusia,27,27,2750608,0,0,0,1,4,65000,0,0,0,27,27,2750608,0,0,0,1,4,65000,0,0,0
9099,01,002500,015,0450,9999,3,6,12,12,Anniston,57,57,3638420,0,0,0,2,8,187000,0,0,0,57,57,3638420,0,0,0,2,8,187000,0,0,0
9099,01,002700,095,9999,9999,3,6,12,12,Arab,44,44,2961900,0,0,0,0,0,0,0,0,0,44,44,2961900,0,0,0,0,0,0,0,0,0
9099,01,002900,045,2180,9999,3,6,0,0,Ariton town,1,1,79590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,003000,069,2180,9999,3,6,12,12,Ashford,8,8,454000,0,0,0,0,0,0,0,0,0,8,8,454000,0,0,0,0,0,0,0,0,0
9099,01,003200,027,9999,9999,3,6,0,0,Ashland town,3,3,202000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,003500,115,1000,9999,3,6,0,0,Ashville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,004000,083,9999,9999,3,6,12,12,Athens,99,99,4850561,0,0,0,0,0,0,0,0,0,99,99,4850561,0,0,0,0,0,0,0,0,0
9099,01,004500,053,9999,9999,3,6,12,12,Atmore,11,11,954500,0,0,0,0,0,0,0,0,0,11,11,954500,0,0,0,0,0,0,0,0,0
9099,01,005000,055,2880,9999,3,6,12,12,Attalla,11,11,477400,0,0,0,0,0,0,0,0,0,11,11,477400,0,0,0,0,0,0,0,0,0
9099,01,005500,081,9999,9999,3,6,12,12,Auburn,111,111,10018071,21,42,1245040,1,4,112000,18,266,7171208,111,111,10018071,21,42,1245040,1,4,112000,18,266,7171208
9099,01,005600,001,5240,9999,3,6,0,0,Autauga County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,005700,069,2180,9999,3,6,12,12,Avon town,3,3,50500,0,0,0,0,0,0,0,0,0,3,3,50500,0,0,0,0,0,0,0,0,0
9099,01,006000,003,5160,9999,3,6,12,12,Bay Minette,7,7,555200,0,0,0,0,0,0,0,0,0,7,7,555200,0,0,0,0,0,0,0,0,0
9099,01,006200,097,5160,9999,3,6,12,12,Bayou La Batre,1,1,5500,0,0,0,0,0,0,0,0,0,1,1,5500,0,0,0,0,0,0,0,0,0
9099,01,006300,085,9999,9999,3,6,0,0,Benton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,006500,073,1000,9999,3,6,12,12,Bessemer,19,19,1039070,0,0,0,0,0,0,0,0,0,19,19,1039070,0,0,0,0,0,0,0,0,0
9099,01,007000,073,1000,9999,3,6,12,12,Birmingham,142,142,9321625,0,0,0,0,0,0,5,165,14708598,142,142,9321625,0,0,0,0,0,0,5,165,14708598
9099,01,007200,095,9999,9999,3,6,12,12,Boaz,30,30,1434500,0,0,0,0,0,0,0,0,0,30,30,1434500,0,0,0,0,0,0,0,0,0
9099,01,007300,041,9999,9999,3,6,12,12,Brantley town,1,1,45000,0,0,0,0,0,0,0,0,0,1,1,45000,0,0,0,0,0,0,0,0,0
9099,01,008000,053,9999,9999,3,6,12,12,Brewton,4,4,267100,0,0,0,0,0,0,0,0,0,4,4,267100,0,0,0,0,0,0,0,0,0
9099,01,008500,071,9999,9999,3,6,12,12,Bridgeport,5,5,195500,0,0,0,0,0,0,0,0,0,5,5,195500,0,0,0,0,0,0,0,0,0
9099,01,008700,073,1000,9999,3,6,12,12,Brighton,1,1,35000,0,0,0,0,0,0,0,0,0,1,1,35000,0,0,0,0,0,0,0,0,0
9099,01,009000,073,1000,9999,3,6,12,12,Brookside town,2,2,54000,0,0,0,0,0,0,0,0,0,2,2,54000,0,0,0,0,0,0,0,0,0
9099,01,009250,023,9999,9999,3,6,12,12,Butler,1,1,68879,0,0,0,0,0,0,0,0,0,1,1,68879,0,0,0,0,0,0,0,0,0
9099,01,009500,117,1000,9999,3,6,12,12,Calera,9,9,669000,1,2,50000,0,0,0,0,0,0,9,9,669000,1,2,50000,0,0,0,0,0,0
9099,01,009700,123,9999,9999,3,6,12,12,Camp Hill town,4,4,130950,0,0,0,0,0,0,0,0,0,4,4,130950,0,0,0,0,0,0,0,0,0
9099,01,010100,019,9999,9999,3,6,12,12,Cedar Bluff town,5,5,208000,2,4,70000,5,20,400000,0,0,0,5,5,208000,2,4,70000,5,20,400000,0,0,0
9099,01,010200,019,9999,9999,3,6,12,12,Centre,6,6,295300,0,0,0,0,0,0,1,50,1354000,6,6,295300,0,0,0,0,0,0,1,50,1354000
9099,01,010300,129,9999,9999,3,6,0,0,Chatom town,1,1,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,010400,033,2650,9999,3,6,0,0,Cherokee town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,010500,097,5160,9999,3,6,12,12,Chickasaw,4,4,58890,0,0,0,0,0,0,0,0,0,4,4,58890,0,0,0,0,0,0,0,0,0
9099,01,011000,121,9999,9999,3,6,12,12,Childersburg,12,12,667500,0,0,0,0,0,0,0,0,0,12,12,667500,0,0,0,0,0,0,0,0,0
9099,01,011500,097,5160,9999,3,6,12,12,Citronelle,8,8,443200,0,0,0,0,0,0,0,0,0,8,8,443200,0,0,0,0,0,0,0,0,0
9099,01,012000,021,9999,9999,3,6,12,12,Clanton,23,23,1124800,0,0,0,0,0,0,2,34,1152000,23,23,1124800,0,0,0,0,0,0,2,34,1152000
9099,01,012200,005,9999,9999,3,6,12,12,Clayton town,1,1,34500,0,0,0,0,0,0,0,0,0,1,1,34500,0,0,0,0,0,0,0,0,0
9099,01,012525,061,9999,9999,3,6,0,0,Coffee Springs town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,012600,049,9999,9999,3,6,12,12,Collinsville town,1,1,35000,0,0,0,0,0,0,0,0,0,1,1,35000,0,0,0,0,0,0,0,0,0
9099,01,013000,117,1000,9999,3,6,2,2,Columbiana,5,5,272798,0,0,0,0,0,0,0,0,0,1,1,53000,0,0,0,0,0,0,0,0,0
9099,01,013225,127,1000,9999,3,6,12,12,Cordova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,013300,069,2180,9999,3,6,12,12,Cottonwood town,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
9099,01,013350,097,5160,9999,3,6,12,12,Creola,13,13,327386,0,0,0,0,0,0,0,0,0,13,13,327386,0,0,0,0,0,0,0,0,0
9099,01,013400,049,9999,9999,3,6,0,0,Crossville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,013500,043,9999,9999,3,6,12,12,Cullman,25,25,1484110,1,2,55500,1,3,56000,0,0,0,25,25,1484110,1,2,55500,1,3,56000,0,0,0
9099,01,014000,003,5160,9999,3,6,12,12,Daphne,118,118,9986500,0,0,0,0,0,0,0,0,0,118,118,9986500,0,0,0,0,0,0,0,0,0
9099,01,014500,103,2030,9999,3,6,12,12,Decatur,354,354,25580097,1,2,40175,7,27,710052,6,62,1160207,354,354,25580097,1,2,40175,7,27,710052,6,62,1160207
9099,01,014800,123,9999,9999,3,6,12,12,Dadeville,10,10,410000,0,0,0,0,0,0,3,24,678336,10,10,410000,0,0,0,0,0,0,3,24,678336
9099,01,014900,045,2180,9999,3,6,12,12,Daleville,12,12,692000,0,0,0,0,0,0,0,0,0,12,12,692000,0,0,0,0,0,0,0,0,0
9099,01,015000,091,9999,9999,3,6,12,12,Demopolis,19,19,1201700,0,0,0,0,0,0,0,0,0,19,19,1201700,0,0,0,0,0,0,0,0,0
9099,01,015300,075,9999,9999,3,6,0,0,Detroit town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,015500,127,1000,9999,3,6,12,12,Dora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,016000,069,2180,9999,3,6,12,12,Dothan,252,252,14732750,6,12,282100,0,0,0,0,0,0,252,252,14732750,6,12,282100,0,0,0,0,0,0
9099,01,016200,133,9999,9999,3,6,12,12,Double Springs town,0,0,0,0,0,0,0,0,0,2,16,200000,0,0,0,0,0,0,0,0,0,2,16,200000
9099,01,016350,053,9999,9999,3,6,0,0,East Brewton,1,1,57500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,016500,051,5240,9999,3,6,12,12,Eclectic town,2,2,78200,0,0,0,0,0,0,0,0,0,2,2,78200,0,0,0,0,0,0,0,0,0
9099,01,017000,031,9999,9999,3,6,0,0,Elba,7,7,273605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,017200,003,5160,9999,3,6,0,0,Elberta town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,017500,031,9999,9999,3,6,12,12,Enterprise,67,67,4426225,0,0,0,0,0,0,0,0,0,67,67,4426225,0,0,0,0,0,0,0,0,0
9099,01,018000,005,9999,9999,3,6,12,12,Eufaula,75,75,3897778,5,10,840474,2,8,460000,0,0,0,75,75,3897778,5,10,840474,2,8,460000,0,0,0
9099,01,018500,063,9999,9999,3,6,12,12,Eutaw,2,2,95000,0,0,0,6,24,1102788,0,0,0,2,2,95000,0,0,0,6,24,1102788,0,0,0
9099,01,019000,035,9999,9999,3,6,12,12,Evergreen,8,8,283900,0,0,0,0,0,0,0,0,0,8,8,283900,0,0,0,0,0,0,0,0,0
9099,01,019500,073,1000,9999,3,6,12,12,Fairfield,16,16,1028000,0,0,0,0,0,0,0,0,0,16,16,1028000,0,0,0,0,0,0,0,0,0
9099,01,020000,003,5160,9999,3,6,12,12,Fairhope,68,68,5029750,0,0,0,0,0,0,0,0,0,68,68,5029750,0,0,0,0,0,0,0,0,0
9099,01,020200,103,2030,9999,3,6,12,12,Falkville town,2,2,94500,0,0,0,0,0,0,0,0,0,2,2,94500,0,0,0,0,0,0,0,0,0
9099,01,020500,057,9999,9999,3,6,0,0,Fayette,6,6,256300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,020700,103,2030,9999,3,6,12,12,Flint City town,7,7,410000,0,0,0,0,0,0,0,0,0,7,7,410000,0,0,0,0,0,0,0,0,0
9099,01,021000,053,9999,9999,3,6,0,0,Flomaton town,2,2,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,021300,039,9999,9999,3,6,12,12,Florala,1,1,62000,0,0,0,0,0,0,0,0,0,1,1,62000,0,0,0,0,0,0,0,0,0
9099,01,021500,077,2650,9999,3,6,12,12,Florence,147,147,8220649,1,2,34575,3,9,161098,10,134,2592676,147,147,8220649,1,2,34575,3,9,161098,10,134,2592676
9099,01,022000,003,5160,9999,3,6,12,12,Foley,31,31,1571400,2,4,90000,0,0,0,0,0,0,31,31,1571400,2,4,90000,0,0,0,0,0,0
9099,01,022200,085,9999,9999,3,6,12,12,Fort Deposit town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,022500,049,9999,9999,3,6,12,12,Fort Payne,37,37,2137400,0,0,0,0,0,0,0,0,0,37,37,2137400,0,0,0,0,0,0,0,0,0
9099,01,023000,099,9999,9999,3,6,12,12,Frisco City town,6,6,413274,0,0,0,0,0,0,0,0,0,6,6,413274,0,0,0,0,0,0,0,0,0
9099,01,023500,073,1000,9999,3,6,12,12,Fultondale,13,13,568216,0,0,0,0,0,0,0,0,0,13,13,568216,0,0,0,0,0,0,0,0,0
9099,01,024000,055,2880,9999,3,6,12,12,Gadsden,15,15,1241964,0,0,0,0,0,0,0,0,0,15,15,1241964,0,0,0,0,0,0,0,0,0
9099,01,024200,043,9999,9999,3,6,12,12,Garden City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,01,024500,073,1000,9999,3,6,12,12,Gardendale,73,73,4790207,0,0,0,0,0,0,0,0,0,73,73,4790207,0,0,0,0,0,0,0,0,0
9099,01,025000,061,9999,9999,3,6,12,12,Geneva,6,6,164000,0,0,0,0,0,0,0,0,0,6,6,164000,0,0,0,0,0,0,0,0,0
9099,01,025200,013,9999,9999,3,6,0,0,Georgiana town,2,2,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
