Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9499,02,009000,013,9999,9999,4,9,2,2,Akutan (N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,013000,270,9999,9999,4,9,0,0,Alakanuk (N)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,041000,020,0380,9999,4,9,12,10,Anchorage Borough,719,719,108141718,6,12,883335,0,0,0,12,130,7144020,719,719,108141718,6,12,883335,0,0,0,12,130,7144020
9499,02,049000,231,9999,9999,4,9,11,11,Angoon (N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,069000,000,9999,9999,4,9,1,1,Balance of State-Part 1 Anchorage (N)#,87,87,15158229,3,6,571186,0,0,0,0,0,0,87,87,15158229,3,6,571186,0,0,0,0,0,0
9499,02,073000,000,9999,9999,4,9,0,0,Balance of State-Part 2 Fairbanks (N)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,077000,000,9999,9999,4,9,0,0,Balance of State-Part 3 Juneau (N)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,081000,185,9999,9999,4,9,0,0,Barrow (N)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,085000,050,9999,9999,4,9,12,12,Bethel (N),26,26,2533661,1,2,132150,1,3,151905,0,0,0,26,26,2533661,1,2,132150,1,3,151905,0,0,0
9499,02,097000,060,9999,9999,4,9,7,7,Bristol Bay Borough (N),6,6,567641,0,0,0,0,0,0,0,0,0,1,1,97586,0,0,0,0,0,0,0,0,0
9499,02,133000,261,9999,9999,4,9,12,12,Cordova,2,2,195172,0,0,0,0,0,0,0,0,0,2,2,195172,0,0,0,0,0,0,0,0,0
9499,02,137000,201,9999,9999,4,9,11,11,Craig (N),14,14,1362629,6,12,796442,0,0,0,0,0,0,14,14,1362629,6,12,796442,0,0,0,0,0,0
9499,02,149000,070,9999,9999,4,9,12,12,Dillingham (N),6,6,585516,1,2,132150,0,0,0,1,100,4336600,6,6,585516,1,2,132150,0,0,0,1,100,4336600
9499,02,177000,090,9999,9999,4,9,0,0,Fairbanks,13,13,1193713,0,0,0,4,12,876212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,181000,090,9999,9999,4,9,9,9,Fairbanks North Star Borough Unincorporated Area,108,108,10374680,5,10,520000,3,9,225000,2,28,1665000,93,93,8936742,4,8,390000,2,6,165000,2,28,1665000
9499,02,209000,100,9999,9999,4,9,12,12,Haines,8,8,586000,0,0,0,0,0,0,0,0,0,8,8,586000,0,0,0,0,0,0,0,0,0
9499,02,221000,122,9999,9999,4,9,12,12,Homer (N),31,31,3620820,0,0,0,0,0,0,0,0,0,31,31,3620820,0,0,0,0,0,0,0,0,0
9499,02,253000,110,9999,9999,4,9,12,12,Juneau Borough,106,106,14791844,7,14,1770348,1,3,348354,2,82,5254209,106,106,14791844,7,14,1770348,1,3,348354,2,82,5254209
9499,02,277000,122,9999,9999,4,9,12,12,Kenai,41,41,4253500,1,2,145000,0,0,0,0,0,0,41,41,4253500,1,2,145000,0,0,0,0,0,0
9499,02,289000,130,9999,9999,4,9,10,10,Ketchikan Gateway Borough,45,45,4315085,8,16,1068317,0,0,0,0,0,0,40,40,3849815,5,10,667834,0,0,0,0,0,0
9499,02,297000,013,9999,9999,4,9,9,9,King Cove (N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,317000,150,9999,9999,4,9,12,12,Kodiak City-Kodiak Island Borough,32,32,3676524,2,4,496562,0,0,0,0,0,0,32,32,3676524,2,4,496562,0,0,0,0,0,0
9499,02,329000,188,9999,9999,4,9,0,0,Kotzebue (N)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,413000,180,9999,9999,4,9,12,12,Nome (N),3,3,166397,0,0,0,1,3,208865,1,12,733340,3,3,166397,0,0,0,1,3,208865,1,12,733340
9499,02,425000,090,9999,9999,4,9,12,12,North Pole (N),6,6,455000,0,0,0,0,0,0,0,0,0,6,6,455000,0,0,0,0,0,0,0,0,0
9499,02,429000,185,9999,9999,4,9,12,12,North Slope Borough Unincorporated Area (N)#,94,94,8971484,0,0,0,0,0,0,0,0,0,94,94,8971484,0,0,0,0,0,0,0,0,0
9499,02,437000,185,9999,9999,4,9,12,12,Nuiqsut (N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,457000,170,9999,9999,4,9,12,12,Palmer,50,50,4107630,0,0,0,0,0,0,1,24,1489000,50,50,4107630,0,0,0,0,0,0,1,24,1489000
9499,02,461000,231,9999,9999,4,9,12,12,Pelican (N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,465000,280,9999,9999,4,9,12,12,Petersburg,9,9,598477,1,2,96960,0,0,0,0,0,0,9,9,598477,1,2,96960,0,0,0,0,0,0
9499,02,505000,013,9999,9999,4,9,12,12,Sand Point (N),1,1,97586,0,0,0,0,0,0,0,0,0,1,1,97586,0,0,0,0,0,0,0,0,0
9499,02,525000,122,9999,9999,4,9,11,11,Seldovia,1,1,60000,0,0,0,0,0,0,0,0,0,1,1,60000,0,0,0,0,0,0,0,0,0
9499,02,529000,122,9999,9999,4,9,12,12,Seward,3,3,433000,0,0,0,0,0,0,0,0,0,3,3,433000,0,0,0,0,0,0,0,0,0
9499,02,557000,220,9999,9999,4,9,0,0,Sitka Borough,32,32,2917703,10,20,1456270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,561000,231,9999,9999,4,9,12,12,Skagway,2,2,79000,1,2,200000,0,0,0,0,0,0,2,2,79000,1,2,200000,0,0,0,0,0,0
9499,02,565000,122,9999,9999,4,9,12,12,Soldotna,28,28,3011500,0,0,0,1,4,180000,0,0,0,28,28,3011500,0,0,0,1,4,180000,0,0,0
9499,02,597000,231,9999,9999,4,9,1,1,Tenakee Springs (N),6,6,448000,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
9499,02,625000,016,9999,9999,4,9,1,1,Unalaska (N),8,8,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,633000,261,9999,9999,4,9,12,12,Valdez,17,17,2368300,0,0,0,0,0,0,0,0,0,17,17,2368300,0,0,0,0,0,0,0,0,0
9499,02,645000,170,9999,9999,4,9,12,12,Wasilla (N),20,20,1871548,0,0,0,0,0,0,0,0,0,20,20,1871548,0,0,0,0,0,0,0,0,0
9499,02,653000,261,9999,9999,4,9,12,12,Whittier (N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,02,657000,280,9999,9999,4,9,12,12,Wrangell,4,4,180000,0,0,0,0,0,0,0,0,0,4,4,180000,0,0,0,0,0,0,0,0,0
9499,02,661000,231,9999,9999,4,9,11,11,Yakutat (N),14,14,1028043,0,0,0,0,0,0,0,0,0,13,13,940000,0,0,0,0,0,0,0,0,0
9499,04,001000,001,9999,9999,4,8,12,12,Apache County Unincorporated Area,37,37,2542215,0,0,0,0,0,0,0,0,0,37,37,2542215,0,0,0,0,0,0,0,0,0
9499,04,009000,021,6200,9999,4,8,12,12,Apache Junction,34,34,1679150,0,0,0,0,0,0,0,0,0,34,34,1679150,0,0,0,0,0,0,0,0,0
9499,04,013000,013,6200,9999,4,8,12,12,Avondale,189,189,16379864,0,0,0,0,0,0,0,0,0,189,189,16379864,0,0,0,0,0,0,0,0,0
9499,04,017000,003,9999,9999,4,8,12,12,Benson,18,18,1141025,0,0,0,0,0,0,0,0,0,18,18,1141025,0,0,0,0,0,0,0,0,0
9499,04,021000,003,9999,9999,4,8,12,12,Bisbee,2,2,170624,0,0,0,0,0,0,0,0,0,2,2,170624,0,0,0,0,0,0,0,0,0
9499,04,025000,013,6200,9999,4,8,12,12,Buckeye town,16,16,1314653,0,0,0,0,0,0,0,0,0,16,16,1314653,0,0,0,0,0,0,0,0,0
9499,04,029000,015,4120,9999,4,8,12,12,Bullhead City,158,158,12602507,1,2,74324,12,48,2049281,11,108,3668116,158,158,12602507,1,2,74324,12,48,2049281,11,108,3668116
9499,04,033000,025,9999,9999,4,8,12,12,Camp Verde town,81,81,5645400,0,0,0,0,0,0,0,0,0,81,81,5645400,0,0,0,0,0,0,0,0,0
9499,04,037000,013,6200,9999,4,8,12,12,Carefree town,70,70,13998995,0,0,0,0,0,0,0,0,0,70,70,13998995,0,0,0,0,0,0,0,0,0
9499,04,041000,021,6200,9999,4,8,12,12,Casa Grande,108,108,7644618,0,0,0,0,0,0,7,140,5312676,108,108,7644618,0,0,0,0,0,0,7,140,5312676
9499,04,045000,013,6200,9999,4,8,12,12,Cave Creek town,74,74,10857564,0,0,0,0,0,0,0,0,0,74,74,10857564,0,0,0,0,0,0,0,0,0
9499,04,049000,013,6200,9999,4,8,12,0,Chandler,3521,3521,399688579,0,0,0,6,18,1107720,14,146,8043642,3521,3521,399688579,0,0,0,6,18,1107720,14,146,8043642
9499,04,053000,025,9999,9999,4,8,12,12,Chino Valley town,68,68,4074633,0,0,0,0,0,0,0,0,0,68,68,4074633,0,0,0,0,0,0,0,0,0
9499,04,057000,025,9999,9999,4,8,12,12,Clarkdale town,52,52,6961511,0,0,0,0,0,0,0,0,0,52,52,6961511,0,0,0,0,0,0,0,0,0
9499,04,061000,011,9999,9999,4,8,12,12,Clifton town,2,2,71860,0,0,0,0,0,0,0,0,0,2,2,71860,0,0,0,0,0,0,0,0,0
9499,04,065000,003,9999,9999,4,8,12,12,Cochise County Unincorporated Area,379,379,25931772,1,2,60000,0,0,0,0,0,0,379,379,25931772,1,2,60000,0,0,0,0,0,0
9499,04,069000,005,9999,9999,4,8,12,12,Coconino County Unincorporated Area,330,330,35673858,2,4,218936,0,0,0,0,0,0,330,330,35673858,2,4,218936,0,0,0,0,0,0
9499,04,073000,015,4120,9999,4,8,12,12,Colorado City town,27,27,1909762,0,0,0,0,0,0,0,0,0,27,27,1909762,0,0,0,0,0,0,0,0,0
9499,04,077000,021,6200,9999,4,8,12,12,Coolidge,2,2,125351,0,0,0,0,0,0,0,0,0,2,2,125351,0,0,0,0,0,0,0,0,0
9499,04,081000,025,9999,9999,4,8,12,12,Cottonwood,69,69,4575180,2,4,173364,0,0,0,0,0,0,69,69,4575180,2,4,173364,0,0,0,0,0,0
9499,04,085000,003,9999,9999,4,8,12,12,Douglas,31,31,1708120,0,0,0,0,0,0,7,36,1195464,31,31,1708120,0,0,0,0,0,0,7,36,1195464
9499,04,089000,011,9999,9999,4,8,12,12,Duncan town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,093000,001,9999,9999,4,8,12,12,Eagar town,8,8,693519,0,0,0,0,0,0,0,0,0,8,8,693519,0,0,0,0,0,0,0,0,0
9499,04,097000,013,6200,9999,4,8,12,12,El Mirage #,7,7,449000,0,0,0,0,0,0,0,0,0,7,7,449000,0,0,0,0,0,0,0,0,0
9499,04,101000,021,6200,9999,4,8,12,12,Eloy,8,8,419314,1,2,94000,0,0,0,4,32,1084449,8,8,419314,1,2,94000,0,0,0,4,32,1084449
9499,04,105000,005,9999,9999,4,8,12,12,Flagstaff,292,292,33516330,20,40,2041900,0,0,0,0,0,0,292,292,33516330,20,40,2041900,0,0,0,0,0,0
9499,04,109000,021,6200,9999,4,8,12,12,Florence town,15,15,1013500,0,0,0,0,0,0,0,0,0,15,15,1013500,0,0,0,0,0,0,0,0,0
9499,04,113000,013,6200,9999,4,8,12,12,Fountain Hills town,507,507,65286356,72,144,9925261,9,36,2961544,0,0,0,507,507,65286356,72,144,9925261,9,36,2961544,0,0,0
9499,04,117000,005,9999,9999,4,8,12,12,Fredonia town,4,4,217000,0,0,0,0,0,0,0,0,0,4,4,217000,0,0,0,0,0,0,0,0,0
9499,04,121000,013,6200,9999,4,8,12,12,Gila Bend town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,125000,007,9999,9999,4,8,12,12,Gila County Unincorporated Area,132,132,10758573,0,0,0,0,0,0,0,0,0,132,132,10758573,0,0,0,0,0,0,0,0,0
9499,04,129000,013,6200,9999,4,8,12,12,Gilbert town,2388,2388,282761029,0,0,0,0,0,0,2,18,1017390,2388,2388,282761029,0,0,0,0,0,0,2,18,1017390
9499,04,133000,013,6200,9999,4,8,12,12,Glendale,2028,2028,192550698,0,0,0,0,0,0,0,0,0,2028,2028,192550698,0,0,0,0,0,0,0,0,0
9499,04,137000,007,9999,9999,4,8,12,12,Globe,17,17,1737051,0,0,0,0,0,0,0,0,0,17,17,1737051,0,0,0,0,0,0,0,0,0
9499,04,141000,013,6200,9999,4,8,12,12,Goodyear,457,457,47388536,0,0,0,0,0,0,0,0,0,457,457,47388536,0,0,0,0,0,0,0,0,0
9499,04,145000,009,9999,9999,4,8,12,12,Graham County Unincorporated Area,30,30,1695600,0,0,0,0,0,0,0,0,0,30,30,1695600,0,0,0,0,0,0,0,0,0
9499,04,149000,011,9999,9999,4,8,12,12,Greenlee County Unincorporated Area,2,2,223000,0,0,0,0,0,0,0,0,0,2,2,223000,0,0,0,0,0,0,0,0,0
9499,04,153000,013,6200,9999,4,8,12,12,Guadalupe town,5,5,162500,0,0,0,0,0,0,0,0,0,5,5,162500,0,0,0,0,0,0,0,0,0
9499,04,157000,007,9999,9999,4,8,4,4,Hayden town,1,1,46500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
