Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,02,009000,013,0070,9999,9999, ,99503      ,4,9,12,,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,041000,020,0140,0380,9999,1,995196650  ,4,9,12,,Municipality of Anchorage,923,923,190964408,339,678,93490123,33,120,10901204,28,267,30610975,923,923,190964408,339,678,93490123,33,120,10901204,28,267,30610975
2002,02,049000,232,0160,9999,9999, ,99820      ,4,9,12,,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,069000,000,    ,9999,9999, ,99519      ,4,9,0,,Balance of State-Part 1 Anchorage,76,76,13241652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,073000,000,    ,9999,9999, ,99707      ,4,9,0,,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,077000,000,    ,9999,9999, ,99801      ,4,9,0,,Balance of State-Part 3 Juneau,73,73,15425577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,085000,050,0310,9999,9999, ,99559      ,4,9,12,,Bethel,42,42,6302740,0,0,0,1,4,600000,0,0,0,42,42,6302740,0,0,0,1,4,600000,0,0,0
2002,02,097000,060,    ,9999,9999, ,99633      ,4,9,11,,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,133000,261,0820,9999,9999, ,99574      ,4,9,12,,Cordova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,137000,201,0830,9999,9999, ,99921      ,4,9,12,,Craig,2,2,130000,0,0,0,0,0,0,0,0,0,2,2,130000,0,0,0,0,0,0,0,0,0
2002,02,177000,090,1080,9999,9999, ,99701      ,4,9,0,,Fairbanks,10,10,918240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,181000,090,    ,9999,9999, ,99707      ,4,9,12,,Fairbanks North Star Borough Unincorporated Area,145,145,19295500,4,8,284000,0,0,0,0,0,0,145,145,19295500,4,8,284000,0,0,0,0,0,0
2002,02,209000,100,1280,9999,9999, ,99827      ,4,9,12,,Haines,6,6,770000,0,0,0,0,0,0,0,0,0,6,6,770000,0,0,0,0,0,0,0,0,0
2002,02,221000,122,1370,9999,9999, ,99603      ,4,9,12,,Homer,29,29,3708180,0,0,0,1,3,750000,0,0,0,29,29,3708180,0,0,0,1,3,750000,0,0,0
2002,02,253000,110,    ,9999,9999, ,99801      ,4,9,12,,Juneau Borough,81,81,17780303,7,14,2288734,0,0,0,1,22,2018987,81,81,17780303,7,14,2288734,0,0,0,1,22,2018987
2002,02,277000,122,1630,9999,9999, ,99611      ,4,9,12,,Kenai,43,43,5894000,1,2,214000,1,3,723000,0,0,0,43,43,5894000,1,2,214000,1,3,723000,0,0,0
2002,02,289000,130,    ,9999,9999, ,99901      ,4,9,11,,Ketchikan Gateway Borough,17,17,2546833,4,8,780472,0,0,0,0,0,0,15,15,2274521,4,8,780472,0,0,0,0,0,0
2002,02,297000,013,1670,9999,9999, ,99612      ,4,9,12,,King Cove,1,1,151370,0,0,0,0,0,0,0,0,0,1,1,151370,0,0,0,0,0,0,0,0,0
2002,02,317000,150,1750,9999,9999, ,99615      ,4,9,12,,Kodiak City-Kodiak Island Borough,40,40,6500961,5,10,1063801,3,12,1168611,0,0,0,40,40,6500961,5,10,1063801,3,12,1168611,0,0,0
2002,02,413000,180,2370,9999,9999, ,99762      ,4,9,12,,Nome,2,2,156257,0,0,0,1,3,139682,0,0,0,2,2,156257,0,0,0,1,3,139682,0,0,0
2002,02,425000,090,2410,9999,9999, ,99705      ,4,9,12,,North Pole,5,5,408000,1,2,141000,0,0,0,0,0,0,5,5,408000,1,2,141000,0,0,0,0,0,0
2002,02,429000,185,    ,9999,9999, ,99723      ,4,9,0,,North Slope Borough Unincorporated Area,19,19,2397127,2,4,325232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,437000,185,2436,9999,9999, ,99789      ,4,9,2,,Nuiqsut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,457000,170,2510,9999,9999, ,996456952  ,4,9,12,,Palmer,35,35,5179262,7,14,1678886,0,0,0,1,6,605955,35,35,5179262,7,14,1678886,0,0,0,1,6,605955
2002,02,461000,232,2550,9999,9999, ,99832      ,4,9,12,,Pelican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,465000,280,2585,9999,9999, ,99833      ,4,9,12,,Petersburg,5,5,1037820,0,0,0,0,0,0,0,0,0,5,5,1037820,0,0,0,0,0,0,0,0,0
2002,02,505000,013,2900,9999,9999, ,99661      ,4,9,12,,Sand Point,1,1,151370,0,0,0,0,0,0,0,0,0,1,1,151370,0,0,0,0,0,0,0,0,0
2002,02,525000,122,2950,9999,9999, ,99663      ,4,9,6,,Seldovia,2,2,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,529000,122,2960,9999,9999, ,99664      ,4,9,12,,Seward,2,2,240000,0,0,0,0,0,0,0,0,0,2,2,240000,0,0,0,0,0,0,0,0,0
2002,02,557000,220,    ,9999,9999, ,99835      ,4,9,1,,Sitka Borough,32,32,3196984,7,14,1019389,0,0,0,0,0,0,4,4,644000,0,0,0,0,0,0,0,0,0
2002,02,561000,232,3050,9999,9999, ,99840      ,4,9,12,,Skagway,14,14,1672000,0,0,0,0,0,0,0,0,0,14,14,1672000,0,0,0,0,0,0,0,0,0
2002,02,565000,122,3070,9999,9999, ,99669      ,4,9,12,,Soldotna,18,18,2759558,0,0,0,0,0,0,0,0,0,18,18,2759558,0,0,0,0,0,0,0,0,0
2002,02,597000,232,3290,9999,9999, ,99841      ,4,9,8,,Tenakee Springs,1,1,152694,0,0,0,0,0,0,0,0,0,1,1,152694,0,0,0,0,0,0,0,0,0
