Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2014,02,009000,013,0070,01090 ,00000 ,1027 ,999,99999, , ,99503      ,4,9,12,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,02,041000,020,0140,03000 ,00000 ,291826 ,999,11260, ,1,995196650  ,4,9,10,Municipality of Anchorage,572,572,179917040,0,0,0,7,22,3775666,19,176,27824818,502,502,158507174,0,0,0,5,16,2683398,19,176,27824818
2014,02,049000,105,0160,03440 ,00000 ,459 ,999,99999, , ,998200189  ,4,9,1,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,02,069000,000,    ,00000 ,00000 ,99999 ,999,99999,2, ,995196650  ,4,9,0,Balance of State-Part 1 Anchorage,64,64,16164640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,02,073000,000,    ,00000 ,00000 ,99999 ,999,99999,2, ,99701      ,4,9,0,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,02,077000,000,    ,00000 ,00000 ,99999 ,999,99999,2, ,99801      ,4,9,0,Balance of State-Part 3 Juneau,13,13,2696993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,02,085000,050,0310,06520 ,00000 ,6080 ,999,99999, , ,99559      ,4,9,12,Bethel,11,11,2450000,0,0,0,0,0,0,0,0,0,11,11,2450000,0,0,0,0,0,0,0,0,0
2014,02,097000,060,    ,99990 ,00000 ,997 ,999,99999, , ,996330189  ,4,9,12,Bristol Bay Borough,2,2,401600,0,0,0,0,0,0,0,0,0,2,2,401600,0,0,0,0,0,0,0,0,0
2014,02,133000,261,0820,17410 ,00000 ,2239 ,999,99999, , ,99574      ,4,9,12,Cordova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,02,137000,198,0830,17740 ,00000 ,1201 ,999,99999, , ,99921      ,4,9,12,Craig,2,2,524308,1,2,329512,0,0,0,0,0,0,2,2,524308,1,2,329512,0,0,0,0,0,0
2014,02,149000,070,0880,18950 ,00000 ,2329 ,999,99999,2, ,99576      ,4,9,12,Dillingham,4,4,961246,0,0,0,0,0,0,0,0,0,4,4,961246,0,0,0,0,0,0,0,0,0
2014,02,173000,270,0900,22910 ,00000 ,762 ,999,99999,2, ,99581      ,4,9,0,Emmonak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
