Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8899,01,3,6,Alabama,9668,9668,548182,85,170,4625,111,430,9839,236,2505,51131,9377,9377,531319,84,168,4555,111,430,9839,216,2377,48463
8899,02,4,9,Alaska,485,485,52482,56,112,9313,55,205,16682,0,0,0,397,397,45202,38,76,6054,26,103,9248,0,0,0
8899,04,4,8,Arizona,23367,23367,2053927,122,244,12694,101,380,12870,570,8887,382549,23355,23355,2053229,122,244,12694,101,380,12870,570,8887,382549
8899,05,3,7,Arkansas,4696,4696,282693,113,226,6036,89,330,7575,89,980,22564,4223,4223,255714,103,206,5468,87,324,7445,76,915,20640
8899,06,4,9,California,160735,160735,18273843,2183,4366,332144,2481,8955,592715,6154,79313,4460747,159829,159829,18188124,2164,4328,330022,2458,8875,588629,6108,78898,4441683
8899,08,4,8,Colorado,9742,9742,852807,115,230,14881,83,309,21786,140,2583,90766,9610,9610,843032,114,228,14481,83,309,21786,138,2568,90019
8899,09,1,1,Connecticut,12759,12759,1145194,301,602,23434,122,442,19595,348,5062,176890,12569,12569,1126038,296,592,23227,122,442,19595,348,5062,176890
8899,10,3,5,Delaware,5885,5885,314066,44,88,3378,41,128,1712,139,1322,34478,5884,5884,313766,44,88,3378,41,128,1712,139,1322,34478
8899,11,3,5,District of Columbia,253,253,16879,16,32,1117,6,21,754,18,546,15956,253,253,16879,16,32,1117,6,21,754,18,546,15956
8899,12,3,5,Florida,110318,110318,7408438,2007,4014,188113,1239,4714,179751,3638,51551,1893539,109802,109802,7375872,1990,3980,186700,1229,4679,177896,3607,50987,1878202
8899,13,3,5,Georgia,42559,42559,3068324,602,1204,37087,237,882,22807,1258,18372,559390,41300,41300,3007679,573,1146,35928,214,801,21082,1215,17994,549108
8899,15,4,9,Hawaii,5740,5740,486729,101,202,13713,79,284,18375,173,2219,138155,5232,5232,456563,97,194,13350,76,275,17647,169,2196,137145
8899,16,4,8,Idaho,2806,2806,213522,17,34,2076,45,167,5325,24,204,4675,2729,2729,207462,16,32,1982,44,163,4589,24,204,4675
8899,17,2,3,Illinois,33936,33936,3385868,636,1272,63427,496,1853,95865,758,12084,512642,31943,31943,3230515,609,1218,61464,467,1760,92400,729,11805,501901
8899,18,2,3,Indiana,19219,19219,1628566,533,1066,45985,156,583,18875,353,4380,131887,18530,18530,1594236,487,974,42854,153,573,18680,325,4187,128365
8899,19,2,4,Iowa,4414,4414,333163,91,182,7979,67,260,9743,79,1929,66317,4335,4335,328915,91,182,7979,67,260,9743,79,1929,66317
8899,20,2,4,Kansas,7286,7286,662262,344,688,38350,99,351,15197,123,1359,42946,7257,7257,660679,342,684,38270,98,348,15152,123,1359,42946
8899,21,3,6,Kentucky,8955,8955,673552,211,422,12671,104,386,10126,321,3600,90362,8274,8274,641237,196,392,11818,85,322,8423,279,3318,82572
8899,22,3,7,Louisiana,5425,5425,353173,131,262,6681,26,95,3182,146,1488,38952,5042,5042,331103,123,246,5782,22,81,2750,76,888,28422
8899,23,1,1,Maine,6839,6839,472440,98,196,8583,62,235,9261,137,1531,57562,5452,5452,401601,94,188,8378,55,213,8443,103,1321,50543
8899,24,3,5,Maryland,33294,33294,2414142,73,146,4963,61,240,8622,371,5888,222686,32960,32960,2397314,69,138,4706,61,240,8622,337,5622,215475
