Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200899,01,3,6,Alabama,12017,12017,1750551,67,134,11063,16,60,5026,302,5253,376902,11306,11306,1644033,67,134,11063,14,52,4776,239,4244,312503
200899,02,4,9,Alaska,667,667,167053,44,88,18536,17,65,11827,10,81,11734,508,508,138267,39,78,17304,17,65,11827,10,81,11734
200899,04,4,8,Arizona,19153,19153,3916705,115,230,25170,116,383,28446,249,6316,512691,18954,18954,3886451,115,230,25170,115,379,28157,248,6311,512322
200899,05,3,7,Arkansas,5219,5219,765076,129,258,14635,62,235,13744,205,3098,200900,4968,4968,738801,125,250,14203,60,228,13564,205,3098,200900
200899,06,4,9,California,32432,32432,8372708,607,1214,173994,390,1393,182633,1224,27642,3571760,30998,30998,8080726,582,1164,169747,359,1294,173149,1114,26646,3472816
200899,08,4,8,Colorado,11147,11147,2904057,145,290,82155,51,181,34130,275,7380,978787,10357,10357,2684066,139,278,69612,39,143,24888,233,7020,938303
200899,09,1,1,Connecticut,3139,3139,868185,85,170,16693,12,41,9496,98,1870,263228,2894,2894,828167,80,160,16030,12,41,9496,55,1370,231700
200899,10,3,5,Delaware,2680,2680,335562,36,72,7757,23,88,14896,46,506,35351,2580,2580,324111,35,70,7543,22,84,14350,34,437,33009
200899,11,3,5,District of Columbia,248,248,40938,2,4,357,1,4,489,21,280,25337,217,217,36666,1,2,172,1,4,489,20,173,14203
200899,12,3,5,Florida,38709,38709,8485245,326,652,71829,251,898,111449,878,20783,2100596,36242,36242,8022441,304,608,67913,240,861,107342,752,19222,1930535
200899,13,3,5,Georgia,24879,24879,4039898,140,280,20965,150,536,41990,339,9673,852054,22405,22405,3670917,112,224,16314,122,449,37676,296,9283,823843
200899,15,4,9,Hawaii,2510,2510,814225,69,138,24290,14,51,6917,96,1416,325532,2316,2316,759431,69,138,24290,8,30,4544,87,1046,276002
200899,16,4,8,Idaho,5673,5673,1049389,95,190,19406,72,280,18404,24,327,42820,5286,5286,989087,68,136,15049,59,231,15372,22,310,38231
200899,17,2,3,Illinois,11827,11827,2661194,211,422,46685,319,1095,104589,320,9184,970693,10713,10713,2461236,196,392,43445,313,1076,103644,253,8481,915155
200899,18,2,3,Indiana,11780,11780,2136514,160,320,28170,59,204,18059,279,4327,287521,10868,10868,2007059,156,312,27417,49,174,17560,257,4209,268214
200899,19,2,4,Iowa,6285,6285,1106875,85,170,19015,63,223,15445,81,1734,177302,6089,6089,1078914,83,166,18527,63,223,15445,80,1729,176717
200899,20,2,4,Kansas,5425,5425,947444,96,192,19604,32,119,13051,156,2452,192805,5258,5258,921008,91,182,18865,32,119,13051,155,2444,192555
200899,21,3,6,Kentucky,6892,6892,1056772,125,250,19000,110,410,30522,174,2942,191805,6147,6147,969997,102,204,16407,85,331,27175,144,2751,183360
200899,22,3,7,Louisiana,11689,11689,1803700,239,478,39071,149,528,80855,237,3610,296252,10233,10233,1585834,212,424,33799,136,487,77075,179,2742,232318
200899,23,1,1,Maine,3099,3099,538958,51,102,12424,13,46,4429,28,368,26379,2445,2445,447722,47,94,11815,10,37,3799,10,224,18786
200899,24,3,5,Maryland,8927,8927,1743648,30,60,5740,13,49,9458,117,3982,470837,8510,8510,1679542,30,60,5740,13,49,9458,104,3841,451653
