Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 

9099  ,     01  , 001  , 3  , 6  , Autauga County  , 87  , 87  , 4491772  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 87  , 87  , 4491772  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 003  , 3  , 6  , Baldwin County  , 316  , 316  , 23385172  , 6  , 12  , 480000  , 0  , 0  , 0  , 0  , 0  , 0  , 316  , 316  , 23385172  , 6  , 12  , 480000  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 005  , 3  , 6  , Barbour County  , 76  , 76  , 3932278  , 5  , 10  , 840474  , 2  , 8  , 460000  , 0  , 0  , 0  , 76  , 76  , 3932278  , 5  , 10  , 840474  , 2  , 8  , 460000  , 0  , 0  , 0
9099  ,     01  , 009  , 3  , 6  , Blount County  , 20  , 20  , 1362000  , 1  , 2  , 60000  , 0  , 0  , 0  , 0  , 0  , 0  , 20  , 20  , 1362000  , 1  , 2  , 60000  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 011  , 3  , 6  , Bullock County  , 8  , 8  , 146459  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 013  , 3  , 6  , Butler County  , 10  , 10  , 444190  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 8  , 8  , 368190  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 015  , 3  , 6  , Calhoun County  , 163  , 163  , 9204037  , 3  , 6  , 90000  , 5  , 19  , 362000  , 7  , 43  , 656000  , 157  , 157  , 8963161  , 3  , 6  , 90000  , 5  , 19  , 362000  , 7  , 43  , 656000
9099  ,     01  , 017  , 3  , 6  , Chambers County  , 15  , 15  , 1308466  , 1  , 2  , 90000  , 0  , 0  , 0  , 0  , 0  , 0  , 3  , 3  , 145390  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 019  , 3  , 6  , Cherokee County  , 11  , 11  , 503300  , 2  , 4  , 70000  , 5  , 20  , 400000  , 1  , 50  , 1354000  , 11  , 11  , 503300  , 2  , 4  , 70000  , 5  , 20  , 400000  , 1  , 50  , 1354000
9099  ,     01  , 021  , 3  , 6  , Chilton County  , 27  , 27  , 1344800  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 34  , 1152000  , 27  , 27  , 1344800  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 34  , 1152000
9099  ,     01  , 023  , 3  , 6  , Choctaw County  , 1  , 1  , 68879  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 1  , 68879  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 025  , 3  , 6  , Clarke County  , 21  , 21  , 1337254  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 91  , 2670212  , 5  , 5  , 343954  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 47  , 1500000
9099  ,     01  , 027  , 3  , 6  , Clay County  , 3  , 3  , 202000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 029  , 3  , 6  , Cleburne County  , 10  , 10  , 414000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 10  , 10  , 414000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 031  , 3  , 6  , Coffee County  , 79  , 79  , 4798330  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 72  , 72  , 4524725  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 033  , 3  , 6  , Colbert County  , 50  , 50  , 2980752  , 4  , 8  , 137000  , 1  , 4  , 156000  , 1  , 12  , 200000  , 33  , 33  , 2383900  , 4  , 8  , 137000  , 1  , 4  , 156000  , 1  , 12  , 200000
9099  ,     01  , 035  , 3  , 6  , Conecuh County  , 8  , 8  , 283900  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 8  , 8  , 283900  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 037  , 3  , 6  , Coosa County  , 3  , 3  , 121340  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 3  , 3  , 121340  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 039  , 3  , 6  , Covington County  , 36  , 36  , 3256608  , 0  , 0  , 0  , 1  , 4  , 65000  , 0  , 0  , 0  , 36  , 36  , 3256608  , 0  , 0  , 0  , 1  , 4  , 65000  , 0  , 0  , 0
