Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2015,01,001,3,6,Autauga County                ,158,158,39749354,0,0,0,0,0,0,0,0,0,158,158,39749354,0,0,0,0,0,0,0,0,0
2015,01,003,3,6,Baldwin County                ,1622,1622,302576607,11,22,2232258,29,109,12724884,31,450,43856188,1336,1336,238194418,11,22,2232258,29,109,12724884,31,450,43856188
2015,01,005,3,6,Barbour County                ,10,10,3292300,0,0,0,0,0,0,0,0,0,10,10,3292300,0,0,0,0,0,0,0,0,0
2015,01,007,3,6,Bibb County                   ,9,9,2222180,0,0,0,0,0,0,0,0,0,8,8,2108180,0,0,0,0,0,0,0,0,0
2015,01,009,3,6,Blount County                 ,9,9,1573173,0,0,0,0,0,0,2,40,3831302,9,9,1573173,0,0,0,0,0,0,2,40,3831302
2015,01,011,3,6,Bullock County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,01,013,3,6,Butler County                 ,3,3,990000,0,0,0,0,0,0,0,0,0,3,3,990000,0,0,0,0,0,0,0,0,0
2015,01,015,3,6,Calhoun County                ,61,61,9098432,0,0,0,0,0,0,0,0,0,59,59,8905112,0,0,0,0,0,0,0,0,0
2015,01,017,3,6,Chambers County               ,4,4,680000,0,0,0,0,0,0,0,0,0,2,2,255000,0,0,0,0,0,0,0,0,0
2015,01,019,3,6,Cherokee County               ,5,5,509000,0,0,0,0,0,0,0,0,0,4,4,409000,0,0,0,0,0,0,0,0,0
2015,01,021,3,6,Chilton County                ,19,19,2086200,0,0,0,0,0,0,0,0,0,19,19,2086200,0,0,0,0,0,0,0,0,0
2015,01,023,3,6,Choctaw County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,01,025,3,6,Clarke County                 ,4,4,632504,0,0,0,0,0,0,0,0,0,2,2,332504,0,0,0,0,0,0,0,0,0
2015,01,027,3,6,Clay County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,01,029,3,6,Cleburne County               ,1,1,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,01,031,3,6,Coffee County                 ,57,57,9738110,0,0,0,0,0,0,0,0,0,56,56,9730110,0,0,0,0,0,0,0,0,0
2015,01,033,3,6,Colbert County                ,124,124,14846092,0,0,0,0,0,0,0,0,0,2,2,120000,0,0,0,0,0,0,0,0,0
2015,01,035,3,6,Conecuh County                ,4,4,687880,0,0,0,0,0,0,0,0,0,4,4,687880,0,0,0,0,0,0,0,0,0
2015,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,01,039,3,6,Covington County              ,8,8,1485259,0,0,0,0,0,0,0,0,0,8,8,1485259,0,0,0,0,0,0,0,0,0
2015,01,041,3,6,Crenshaw County               ,1,1,90000,0,0,0,0,0,0,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0
2015,01,043,3,6,Cullman County                ,62,62,8158245,4,8,418000,1,3,165000,0,0,0,42,42,7067900,4,8,418000,1,3,165000,0,0,0
2015,01,045,3,6,Dale County                   ,11,11,1245000,0,0,0,0,0,0,0,0,0,11,11,1245000,0,0,0,0,0,0,0,0,0
