Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202308,01,001,3,6,Autauga County                                              ,168,168,62111661,0,0,0,0,0,0,0,0,0,168,168,62111661,0,0,0,0,0,0,0,0,0
202308,01,003,3,6,Baldwin County                                              ,2083,2083,626398526,6,12,1887900,3,12,2538773,21,429,46832055,1843,1843,572694092,6,12,1887900,3,12,2538773,21,429,46832055
202308,01,005,3,6,Barbour County                                              ,23,23,6079400,20,40,3552700,0,0,0,0,0,0,23,23,6079400,20,40,3552700,0,0,0,0,0,0
202308,01,007,3,6,Bibb County                                                 ,1,1,384000,0,0,0,0,0,0,0,0,0,1,1,384000,0,0,0,0,0,0,0,0,0
202308,01,009,3,6,Blount County                                               ,11,11,1812144,1,2,75000,0,0,0,0,0,0,8,8,1098999,1,2,75000,0,0,0,0,0,0
202308,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,015,3,6,Calhoun County                                              ,50,50,7330055,0,0,0,0,0,0,0,0,0,44,44,6726530,0,0,0,0,0,0,0,0,0
202308,01,017,3,6,Chambers County                                             ,22,22,3297157,0,0,0,0,0,0,0,0,0,18,18,2807157,0,0,0,0,0,0,0,0,0
202308,01,019,3,6,Cherokee County                                             ,5,5,953300,0,0,0,0,0,0,0,0,0,4,4,741000,0,0,0,0,0,0,0,0,0
202308,01,021,3,6,Chilton County                                              ,17,17,5111775,0,0,0,0,0,0,0,0,0,17,17,5111775,0,0,0,0,0,0,0,0,0
202308,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,025,3,6,Clarke County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,027,3,6,Clay County                                                 ,8,8,988002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,029,3,6,Cleburne County                                             ,2,2,340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,031,3,6,Coffee County                                               ,79,79,19384586,0,0,0,0,0,0,0,0,0,53,53,12312230,0,0,0,0,0,0,0,0,0
202308,01,033,3,6,Colbert County                                              ,53,53,7346615,0,0,0,0,0,0,0,0,0,32,32,4376295,0,0,0,0,0,0,0,0,0
202308,01,035,3,6,Conecuh County                                              ,1,1,149500,0,0,0,0,0,0,0,0,0,1,1,149500,0,0,0,0,0,0,0,0,0
202308,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,039,3,6,Covington County                                            ,10,10,2709620,0,0,0,0,0,0,0,0,0,5,5,1760268,0,0,0,0,0,0,0,0,0
202308,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202308,01,043,3,6,Cullman County                                              ,126,126,27436665,7,14,1217000,0,0,0,3,16,4100000,108,108,23695358,7,14,1217000,0,0,0,3,16,4100000
202308,01,045,3,6,Dale County                                                 ,31,31,3898288,0,0,0,0,0,0,0,0,0,28,28,3379100,0,0,0,0,0,0,0,0,0
