Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202207,104,10580,C,Albany-Schenectady-Troy  NY ,813,813,262352,34,68,15450,8,29,4634,37,437,55497,429,429,142786,5,10,1300,2,8,2040,6,161,29195
202207,104,24020,C,Glens Falls  NY ,145,145,40868,2,4,697,3,11,1439,4,22,2855,84,84,26278,2,4,697,3,11,1439,4,22,2855
202207,106,10740,C,Albuquerque  NM ,1393,1393,367620,0,0,0,1,4,400,18,965,94051,1303,1303,345097,0,0,0,1,4,400,7,898,91260
202207,106,42140,C,Santa Fe  NM ,126,126,51728,0,0,0,0,0,0,3,51,5613,0,0,0,0,0,0,0,0,0,0,0,0
202207,107,11020,C,Altoona  PA ,53,53,14050,0,0,0,0,0,0,6,52,7654,24,24,7128,0,0,0,0,0,0,6,52,7654
202207,108,11100,C,Amarillo  TX ,516,516,128591,13,26,3350,0,0,0,3,77,9809,425,425,105739,9,18,2315,0,0,0,0,0,0
202207,118,11540,C,Appleton  WI ,323,323,118667,38,76,14463,0,0,0,15,180,27522,269,269,99868,38,76,14463,0,0,0,5,101,20254
202207,118,36780,C,Oshkosh-Neenah  WI ,185,185,71348,5,10,2013,0,0,0,6,46,4600,169,169,65887,5,10,2013,0,0,0,6,46,4600
202207,120,11700,C,Asheville  NC ,1830,1830,648114,1,2,30,0,0,0,27,476,53940,244,244,96754,0,0,0,0,0,0,0,0,0
202207,122,12020,C,Athens-Clarke County  GA ,537,537,164108,4,8,1193,2,8,897,32,666,76583,418,418,133015,4,8,1193,2,8,897,32,666,76583
202207,122,12060,C,Atlanta-Sandy Springs-Alpharetta  GA ,16851,16851,4088536,36,72,14038,44,161,21274,252,9778,1233673,14606,14606,3552053,36,72,14038,43,158,20318,229,9183,1157432
202207,122,23580,C,Gainesville  GA ,819,819,196755,1,2,198,12,44,4390,17,445,82250,204,204,51842,1,2,198,12,44,4390,17,445,82250
202207,122,40660,C,Rome  GA ,169,169,31915,0,0,0,0,0,0,0,0,0,169,169,31915,0,0,0,0,0,0,0,0,0
202207,140,13460,C,Bend  OR ,760,760,277316,30,60,10618,15,47,7513,19,299,38212,760,760,277316,30,60,10618,15,47,7513,19,299,38212
202207,142,13820,C,Birmingham-Hoover  AL ,2039,2039,658882,1,2,160,0,0,0,7,606,97945,1528,1528,458074,1,2,160,0,0,0,7,606,97945
202207,144,14020,C,Bloomington  IN ,206,206,60581,3,6,852,0,0,0,9,201,24732,204,204,60179,3,6,852,0,0,0,9,201,24732
202207,145,14010,C,Bloomington  IL ,172,172,46023,2,4,292,0,0,0,1,54,7800,101,101,27686,0,0,0,0,0,0,1,54,7800
202207,146,14100,C,Bloomsburg-Berwick  PA ,62,62,17945,0,0,0,0,0,0,4,22,1996,31,31,8824,0,0,0,0,0,0,0,0,0
202207,147,14260,C,Boise City  ID ,4376,4376,1140782,14,28,6248,67,266,31107,160,2912,474136,4203,4203,1096408,14,28,6248,66,262,30057,158,2870,467131
202207,148,12700,C,Barnstable Town  MA ,301,301,183271,8,16,1590,3,9,2200,0,0,0,174,174,108210,8,16,1590,3,9,2200,0,0,0
202207,148,14460,C,Boston-Cambridge-Newton  MA-NH ,2413,2413,926390,117,234,59757,71,236,53520,265,6305,1416636,1272,1272,558284,75,150,37977,49,166,39625,92,4680,1185538
202207,148,31700,C,Manchester-Nashua  NH ,418,418,121191,8,16,3047,4,12,2155,1,40,3835,148,148,53197,0,0,0,0,0,0,1,40,3835
202207,148,39300,C,Providence-Warwick  RI-MA ,949,949,254969,58,116,17330,8,26,3521,12,76,7715,360,360,113380,17,34,5923,1,4,523,1,18,1800
202207,148,49340,C,Worcester  MA-CT ,697,697,192478,32,64,13235,1,3,465,26,838,130324,323,323,87315,14,28,4972,1,3,465,8,568,96699
202207,150,14540,C,Bowling Green  KY ,566,566,139166,3,6,650,6,23,1925,36,314,22817,564,564,138866,3,6,650,5,20,1700,36,314,22817
202207,154,15180,C,Brownsville-Harlingen  TX ,1247,1247,136594,24,48,4217,15,50,6242,14,157,14099,524,524,45637,2,4,202,0,0,0,0,0,0
202207,160,15380,C,Buffalo-Cheektowaga  NY ,584,584,214895,9,18,3382,6,21,4032,17,194,36746,430,430,177750,9,18,3382,5,18,3819,3,21,3266
202207,162,15540,C,Burlington-South Burlington  VT ,274,274,89055,12,24,4104,1,3,145,27,270,27594,138,138,50171,2,4,240,0,0,0,4,76,7452
202207,163,15980,C,Cape Coral-Fort Myers  FL ,6320,6320,1324197,102,204,25793,27,106,13722,92,1725,286993,3807,3807,777973,42,84,10170,23,91,11415,83,1433,264370
202207,163,34940,C,Naples-Marco Island  FL ,2175,2175,953089,9,18,3272,26,104,22793,32,965,162591,2175,2175,953089,9,18,3272,26,104,22793,32,965,162591
202207,164,16020,C,Cape Girardeau  MO-IL ,74,74,21451,2,4,802,2,6,150,3,15,1732,0,0,0,0,0,0,0,0,0,0,0,0
202207,168,16300,C,Cedar Rapids  IA ,276,276,70010,19,38,6764,0,0,0,9,322,31666,257,257,64787,15,30,5327,0,0,0,9,322,31666
202207,168,26980,C,Iowa City  IA ,317,317,101274,20,40,9576,6,23,4718,9,548,108142,210,210,72472,5,10,2775,6,23,4718,5,507,102265
202207,170,16620,C,Charleston  WV ,104,104,14472,1,2,334,1,4,150,0,0,0,63,63,8642,1,2,334,1,4,150,0,0,0
202207,170,26580,C,Huntington-Ashland  WV-KY-OH ,156,156,31652,3,6,300,2,6,280,0,0,0,5,5,1472,3,6,300,2,6,280,0,0,0
