Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8999,17,000500,095,9999,9999,2,3,12,12,Abingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,001000,043,1602,1600,2,3,12,12,Addison village,95,95,12165628,0,0,0,0,0,0,0,0,0,95,95,12165628,0,0,0,0,0,0,0,0,0
8999,17,001500,195,9999,9999,2,3,12,12,Albany village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,001800,027,7040,9999,2,3,12,12,Albers village,2,2,140000,0,0,0,0,0,0,0,0,0,2,2,140000,0,0,0,0,0,0,0,0,0
8999,17,002000,131,9999,9999,2,3,12,12,Aledo,2,2,155000,0,0,0,0,0,0,0,0,0,2,2,155000,0,0,0,0,0,0,0,0,0
8999,17,002300,187,9999,9999,2,3,12,12,Alexis village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,002500,111,1602,1600,2,3,12,12,Algonquin village,368,368,33065265,0,0,0,0,0,0,0,0,0,368,368,33065265,0,0,0,0,0,0,0,0,0
8999,17,002600,119,7040,9999,2,3,12,12,Alhambra village,1,1,85000,0,0,0,0,0,0,0,0,0,1,1,85000,0,0,0,0,0,0,0,0,0
8999,17,002800,139,9999,9999,2,3,0,0,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,002900,183,9999,9999,2,3,0,0,Allerton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,003000,163,7040,9999,2,3,0,0,Alorton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,003200,073,1960,9999,2,3,3,3,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,003500,031,1602,1600,2,3,12,12,Alsip village,116,116,5838500,0,0,0,1,4,100000,0,0,0,116,116,5838500,0,0,0,1,4,100000,0,0,0
8999,17,003800,049,9999,9999,2,3,12,12,Altamont,8,8,495000,0,0,0,0,0,0,0,0,0,8,8,495000,0,0,0,0,0,0,0,0,0
8999,17,004000,119,7040,9999,2,3,12,12,Alton,20,20,845400,2,4,221000,0,0,0,5,30,413000,20,20,845400,2,4,221000,0,0,0,5,30,413000
8999,17,004125,103,9999,9999,2,3,12,12,Amboy,5,5,320000,0,0,0,0,0,0,0,0,0,5,5,320000,0,0,0,0,0,0,0,0,0
8999,17,004200,113,1040,9999,2,3,12,12,Anchor village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,004500,161,1960,9999,2,3,12,12,Andalusia village,1,1,38000,0,0,0,0,0,0,0,0,0,1,1,38000,0,0,0,0,0,0,0,0,0
8999,17,005000,073,1960,9999,2,3,12,12,Andover village,1,1,52000,0,0,0,0,0,0,0,0,0,1,1,52000,0,0,0,0,0,0,0,0,0
8999,17,005500,181,9999,9999,2,3,12,12,Anna,5,5,310200,0,0,0,0,0,0,0,0,0,5,5,310200,0,0,0,0,0,0,0,0,0
8999,17,005700,073,1960,9999,2,3,0,0,Annawan village,1,1,50026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,006000,097,1602,3965,2,3,12,12,Antioch village,49,49,4041404,5,10,332000,3,10,374900,0,0,0,49,49,4041404,5,10,332000,3,10,374900,0,0,0
8999,17,006500,041,9999,9999,2,3,12,12,Arcola,11,11,467580,1,2,68200,0,0,0,0,0,0,11,11,467580,1,2,68200,0,0,0,0,0,0
8999,17,007000,115,2040,9999,2,3,12,12,Argenta village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,007500,031,1602,1600,2,3,12,12,Arlington Heights village,78,78,11035111,8,16,1556400,10,40,3254760,22,302,23976040,78,78,11035111,8,16,1556400,10,40,3254760,22,302,23976040
8999,17,007700,179,6120,9999,2,3,12,12,Armington village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,008000,091,3740,9999,2,3,12,12,Aroma Park village,2,2,200000,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
8999,17,008500,041,9999,9999,2,3,12,12,Arthur village,2,2,118000,0,0,0,0,0,0,0,0,0,2,2,118000,0,0,0,0,0,0,0,0,0
8999,17,008600,075,9999,9999,2,3,12,12,Ashkum village,4,4,294000,0,0,0,0,0,0,0,0,0,4,4,294000,0,0,0,0,0,0,0,0,0
8999,17,008700,029,9999,9999,2,3,5,5,Ashmore village,2,2,105390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,009000,103,9999,9999,2,3,12,12,Ashton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,009200,073,1960,9999,2,3,12,12,Atkinson town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,009300,107,9999,9999,2,3,12,12,Atlanta,5,5,201000,0,0,0,0,0,0,0,0,0,5,5,201000,0,0,0,0,0,0,0,0,0
8999,17,009400,147,9999,9999,2,3,12,12,Atwood village,1,1,60000,0,0,0,0,0,0,0,0,0,1,1,60000,0,0,0,0,0,0,0,0,0
8999,17,009425,167,7880,9999,2,3,12,12,Auburn,19,19,1071500,0,0,0,0,0,0,0,0,0,19,19,1071500,0,0,0,0,0,0,0,0,0
8999,17,009500,089,1602,0620,2,3,12,12,Aurora,534,534,66355265,13,26,1855000,27,107,9675404,12,132,5312960,534,534,66355265,13,26,1855000,27,107,9675404,12,132,5312960
8999,17,009800,057,9999,9999,2,3,12,12,Avon village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,010000,097,1602,3965,2,3,0,0,Bannockburn village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,010500,031,1602,1600,2,3,12,12,Barrington village,56,56,7623833,0,0,0,0,0,0,0,0,0,56,56,7623833,0,0,0,0,0,0,0,0,0
8999,17,011000,031,1602,1600,2,3,12,12,Barrington Hills village,44,44,17226591,0,0,0,0,0,0,0,0,0,44,44,17226591,0,0,0,0,0,0,0,0,0
8999,17,011500,043,1602,1600,2,3,12,12,Bartlett village,369,369,44521205,12,24,611700,3,12,750000,7,56,2075000,369,369,44521205,12,24,611700,3,12,750000,7,56,2075000
8999,17,012000,143,6120,9999,2,3,12,12,Bartonville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,012500,089,1602,0620,2,3,12,12,Batavia,246,246,32509655,2,4,372000,1,3,300000,1,5,540000,246,246,32509655,2,4,372000,1,3,300000,1,5,540000
8999,17,012600,125,9999,9999,2,3,12,12,Bath village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,012700,203,6120,9999,2,3,12,12,Bayview Gardens village,0,0,0,0,0,0,1,4,183216,0,0,0,0,0,0,0,0,0,1,4,183216,0,0,0
8999,17,013000,017,9999,9999,2,3,12,12,Beardstown,3,3,230000,0,0,0,0,0,0,1,8,175000,3,3,230000,0,0,0,0,0,0,1,8,175000
8999,17,013200,075,9999,9999,2,3,12,12,Beaverville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,013500,031,1602,1600,2,3,12,12,Bedford Park village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,014000,197,1602,3690,2,3,12,12,Beecher village,6,6,654200,0,0,0,0,0,0,0,0,0,6,6,654200,0,0,0,0,0,0,0,0,0
8999,17,014500,183,9999,9999,2,3,0,0,Belgium village,1,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,015000,163,7040,9999,2,3,12,12,Belleville,31,31,2134286,3,6,188200,4,15,262000,5,77,1147000,31,31,2134286,3,6,188200,4,15,262000,5,77,1147000
8999,17,015500,143,6120,9999,2,3,12,12,Bellevue village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,016000,031,1602,1600,2,3,12,12,Bellwood village,1,1,77000,0,0,0,0,0,0,0,0,0,1,1,77000,0,0,0,0,0,0,0,0,0
8999,17,016500,007,6880,9999,2,3,12,12,Belvidere,38,38,2202860,2,4,260000,0,0,0,3,24,451000,38,38,2202860,2,4,260000,0,0,0,3,24,451000
8999,17,016700,147,9999,9999,2,3,12,12,Bement village,2,2,48000,0,0,0,0,0,0,0,0,0,2,2,48000,0,0,0,0,0,0,0,0,0
8999,17,017000,043,1602,1600,2,3,12,12,Bensenville village,17,17,1817000,0,0,0,2,6,252000,1,8,416000,17,17,1817000,0,0,0,2,6,252000,1,8,416000
8999,17,017200,203,6120,9999,2,3,12,12,Benson village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,017300,055,9999,9999,2,3,12,12,Benton,7,7,382000,1,2,106000,0,0,0,0,0,0,7,7,382000,1,2,106000,0,0,0,0,0,0
8999,17,017500,031,1602,1600,2,3,12,12,Berkeley village,0,0,0,1,2,150000,0,0,0,0,0,0,0,0,0,1,2,150000,0,0,0,0,0,0
8999,17,018000,031,1602,1600,2,3,12,12,Berwyn,6,6,370000,0,0,0,0,0,0,1,6,235000,6,6,370000,0,0,0,0,0,0,1,6,235000
8999,17,018500,119,7040,9999,2,3,12,12,Bethalto village,41,41,3459500,0,0,0,18,72,990000,0,0,0,41,41,3459500,0,0,0,18,72,990000,0,0,0
8999,17,019000,139,9999,9999,2,3,0,0,Bethany village,3,3,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,019500,071,9999,9999,2,3,12,12,Biggsville village,1,1,250000,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
8999,17,019600,073,1960,9999,2,3,0,0,Bishop Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,019700,051,9999,9999,2,3,0,0,Bingham village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,020000,043,1602,1600,2,3,11,11,Bloomingdale village,319,319,37897933,0,0,0,0,0,0,1,17,603006,302,302,35890140,0,0,0,0,0,0,0,0,0
8999,17,020500,113,1040,9999,2,3,12,12,Bloomington,284,284,18161130,5,10,383000,0,0,0,10,156,3255400,284,284,18161130,5,10,383000,0,0,0,10,156,3255400
8999,17,021000,031,1602,1600,2,3,12,12,Blue Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,021300,115,2040,9999,2,3,12,12,Blue Mound village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,021500,171,9999,9999,2,3,12,12,Bluffs village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,021550,081,9999,9999,2,3,0,0,Bluford village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,021600,197,1602,3690,2,3,12,12,Bolingbrook village,168,168,14697419,0,0,0,0,0,0,0,0,0,168,168,14697419,0,0,0,0,0,0,0,0,0
8999,17,021800,005,9999,9999,2,3,12,12,Bond County Unincorporated Area,13,13,1012500,0,0,0,0,0,0,0,0,0,13,13,1012500,0,0,0,0,0,0,0,0,0
8999,17,021850,019,1400,9999,2,3,12,12,Bondville village,1,1,39900,0,0,0,0,0,0,0,0,0,1,1,39900,0,0,0,0,0,0,0,0,0
8999,17,021900,091,3740,9999,2,3,12,12,Bonfield village,1,1,80000,0,0,0,0,0,0,0,0,0,1,1,80000,0,0,0,0,0,0,0,0,0
8999,17,022000,007,6880,9999,2,3,12,12,Boone County Unincorporated Area,181,181,17649360,0,0,0,0,0,0,1,8,91000,181,181,17649360,0,0,0,0,0,0,1,8,91000
8999,17,022500,091,3740,9999,2,3,12,12,Bourbonnais village,101,101,8681663,4,8,371000,0,0,0,0,0,0,101,101,8681663,4,8,371000,0,0,0,0,0,0
8999,17,023000,091,3740,9999,2,3,12,12,Bradley village,26,26,1760000,1,2,70000,0,0,0,0,0,0,26,26,1760000,1,2,70000,0,0,0,0,0,0
8999,17,023200,197,1602,3690,2,3,12,12,Braidwood,16,16,1025275,0,0,0,0,0,0,0,0,0,16,16,1025275,0,0,0,0,0,0,0,0,0
8999,17,023300,027,7040,9999,2,3,4,4,Breese,17,17,1184664,1,2,116666,0,0,0,2,10,281250,5,5,321000,0,0,0,0,0,0,0,0,0
8999,17,023500,031,1602,1600,2,3,12,12,Bridge View village,21,21,1223000,2,4,250000,0,0,0,0,0,0,21,21,1223000,2,4,250000,0,0,0,0,0,0
8999,17,023600,083,7040,9999,2,3,12,12,Brighton village,6,6,555812,0,0,0,0,0,0,0,0,0,6,6,555812,0,0,0,0,0,0,0,0,0
8999,17,023700,143,6120,9999,2,3,12,12,Brimfield village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,024000,019,1400,9999,2,3,0,0,Broadlands village,2,2,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,17,024500,031,1602,1600,2,3,12,12,Broadview village,2,2,150000,0,0,0,0,0,0,0,0,0,2,2,150000,0,0,0,0,0,0,0,0,0
