Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,17,001000,095,0005,9999,9999, ,61410      ,2,3,12,,Abingdon,2,2,160000,0,0,0,0,0,0,0,0,0,2,2,160000,0,0,0,0,0,0,0,0,0
2002,17,001900,099,    ,9999,9999, ,60531      ,2,3,12,,Adams township,3,3,330000,0,0,0,0,0,0,0,0,0,3,3,330000,0,0,0,0,0,0,0,0,0
2002,17,002800,043,0015,1602,1600, ,60101      ,2,3,12,,Addison village,119,119,17618788,0,0,0,0,0,0,10,136,7930000,119,119,17618788,0,0,0,0,0,0,10,136,7930000
2002,17,004900,195,0025,9999,9999, ,61230      ,2,3,12,,Albany village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,005200,027,0030,7040,9999, ,62215      ,2,3,12,,Albers village,8,8,1232000,0,0,0,0,0,0,0,0,0,8,8,1232000,0,0,0,0,0,0,0,0,0
2002,17,006100,131,0040,9999,9999, ,61231      ,2,3,12,,Aledo,5,5,412000,0,0,0,0,0,0,0,0,0,5,5,412000,0,0,0,0,0,0,0,0,0
2002,17,006400,003,    ,9999,9999, ,62914      ,2,3,0,,Alexander County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,007000,187,0045,9999,9999, ,61412      ,2,3,12,,Alexis village,1,1,52427,0,0,0,0,0,0,0,0,0,1,1,52427,0,0,0,0,0,0,0,0,0
2002,17,007900,111,0050,1602,1600, ,60102      ,2,3,12,,Algonquin village,455,455,73807850,0,0,0,0,0,0,0,0,0,455,455,73807850,0,0,0,0,0,0,0,0,0
2002,17,008500,119,0055,7040,9999, ,62001      ,2,3,12,,Alhambra village,2,2,270000,0,0,0,0,0,0,0,0,0,2,2,270000,0,0,0,0,0,0,0,0,0
2002,17,009400,185,0060,9999,9999, ,62410      ,2,3,12,,Allendale village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,009700,139,0065,9999,9999, ,61951      ,2,3,0,,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,010300,183,0070,9999,9999, ,61810      ,2,3,12,,Allerton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,012100,073,0085,1960,9999, ,61413      ,2,3,12,,Alpha village,1,1,100000,0,0,0,0,0,0,0,0,0,1,1,100000,0,0,0,0,0,0,0,0,0
2002,17,012700,031,0095,1602,1600, ,60658      ,2,3,12,,Alsip village,13,13,1496000,0,0,0,0,0,0,2,20,1066000,13,13,1496000,0,0,0,0,0,0,2,20,1066000
2002,17,013000,049,0100,9999,9999, ,62411      ,2,3,12,,Altamont,3,3,327600,0,0,0,0,0,0,0,0,0,3,3,327600,0,0,0,0,0,0,0,0,0
2002,17,013900,119,0115,7040,9999,1,62002      ,2,3,12,,Alton,7,7,700000,0,0,0,0,0,0,7,42,3400000,7,7,700000,0,0,0,0,0,0,7,42,3400000
2002,17,015100,103,0130,9999,9999, ,61310      ,2,3,12,,Amboy,4,4,572000,0,0,0,0,0,0,0,0,0,4,4,572000,0,0,0,0,0,0,0,0,0
2002,17,016300,113,0133,1040,9999, ,61720      ,2,3,12,,Anchor village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,016900,161,0135,1960,9999, ,61232      ,2,3,0,,Andalusia village,3,3,525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,017800,073,0145,1960,9999, ,61233      ,2,3,12,,Andover village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,018100,181,0150,9999,9999, ,62906      ,2,3,12,,Anna,11,11,998300,0,0,0,0,0,0,0,0,0,11,11,998300,0,0,0,0,0,0,0,0,0
2002,17,018400,073,0155,1960,9999, ,61234      ,2,3,12,,Annawan town,15,15,1800000,0,0,0,0,0,0,0,0,0,15,15,1800000,0,0,0,0,0,0,0,0,0
2002,17,019300,097,0160,1602,1600, ,60002      ,2,3,12,,Antioch village,239,239,38444657,0,0,0,0,0,0,2,13,969970,239,239,38444657,0,0,0,0,0,0,2,13,969970
2002,17,020500,041,0170,9999,9999, ,61910      ,2,3,12,,Arcola,4,4,444700,0,0,0,0,0,0,2,20,920000,4,4,444700,0,0,0,0,0,0,2,20,920000
2002,17,021700,115,0180,2040,9999, ,62501      ,2,3,12,,Argenta village,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2002,17,022300,031,0190,1602,1600, ,60005      ,2,3,12,,Arlington Heights village,39,39,13203000,0,0,0,0,0,0,2,48,6400000,39,39,13203000,0,0,0,0,0,0,2,48,6400000
2002,17,022900,179,0195,6120,9999, ,61721      ,2,3,12,,Armington village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,023200,091,0200,1602,3740, ,60910      ,2,3,12,,Aroma Park village,1,1,120000,0,0,0,0,0,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0
2002,17,024400,113,0205,1040,9999, ,617720101  ,2,3,0,,Arrowsmith village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,025000,041,0210,9999,9999, ,619110139  ,2,3,12,,Arthur village,3,3,295000,0,0,0,0,0,0,0,0,0,3,3,295000,0,0,0,0,0,0,0,0,0
2002,17,026800,075,0215,9999,9999, ,60911      ,2,3,12,,Ashkum village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,027400,017,0220,9999,9999, ,62612      ,2,3,12,,Ashland village,4,4,465370,0,0,0,0,0,0,0,0,0,4,4,465370,0,0,0,0,0,0,0,0,0
2002,17,027700,189,0225,9999,9999, ,62808      ,2,3,12,,Ashley,3,3,350000,0,0,0,0,0,0,0,0,0,3,3,350000,0,0,0,0,0,0,0,0,0
2002,17,028600,029,0230,9999,9999, ,61912      ,2,3,12,,Ashmore village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
