Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,17,001000,095,0005,999,99999, ,61410      ,2,3,12,,Abingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,001900,099,    ,999,99999, ,60531      ,2,3,12,,Adams township,4,4,430000,0,0,0,0,0,0,0,0,0,4,4,430000,0,0,0,0,0,0,0,0,0
2003,17,002800,043,0015,176,16980, ,601012786  ,2,3,12,,Addison village,35,35,7594500,0,0,0,0,0,0,4,70,3580000,35,35,7594500,0,0,0,0,0,0,4,70,3580000
2003,17,004900,195,0025,999,99999, ,61230      ,2,3,12,,Albany village,3,3,376000,0,0,0,0,0,0,0,0,0,3,3,376000,0,0,0,0,0,0,0,0,0
2003,17,005200,027,0030,476,41180, ,62215      ,2,3,12,,Albers village,9,9,1568000,0,0,0,0,0,0,0,0,0,9,9,1568000,0,0,0,0,0,0,0,0,0
2003,17,006100,131,0040,999,19340, ,61231      ,2,3,12,,Aledo,5,5,521000,0,0,0,0,0,0,0,0,0,5,5,521000,0,0,0,0,0,0,0,0,0
2003,17,006400,003,    ,999,99999, ,62914      ,2,3,12,,Alexander County Unincorporated Area,3,3,350000,0,0,0,0,0,0,0,0,0,3,3,350000,0,0,0,0,0,0,0,0,0
2003,17,007000,187,0045,999,99999, ,61412      ,2,3,12,,Alexis village,3,3,140500,0,0,0,0,0,0,0,0,0,3,3,140500,0,0,0,0,0,0,0,0,0
2003,17,007900,111,0050,176,16980, ,60102      ,2,3,12,,Algonquin village,220,220,30475302,0,0,0,0,0,0,0,0,0,220,220,30475302,0,0,0,0,0,0,0,0,0
2003,17,008500,119,0055,476,41180, ,62001      ,2,3,12,,Alhambra village,1,1,120000,0,0,0,0,0,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0
2003,17,009400,185,0060,999,99999, ,62410      ,2,3,12,,Allendale village,1,1,130000,0,0,0,0,0,0,0,0,0,1,1,130000,0,0,0,0,0,0,0,0,0
2003,17,009700,139,0065,999,99999, ,61951      ,2,3,0,,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,010300,183,0070,999,19180, ,61810      ,2,3,12,,Allerton village,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2003,17,012100,073,0085,999,19340, ,61413      ,2,3,12,,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,012700,031,0095,176,16980, ,60658      ,2,3,12,,Alsip village,13,13,1770000,0,0,0,0,0,0,1,6,330396,13,13,1770000,0,0,0,0,0,0,1,6,330396
2003,17,013000,049,0100,999,99999, ,62411      ,2,3,12,,Altamont,5,5,559335,0,0,0,0,0,0,0,0,0,5,5,559335,0,0,0,0,0,0,0,0,0
2003,17,013900,119,0115,476,41180,1,62002      ,2,3,12,,Alton,5,5,493000,0,0,0,0,0,0,2,38,1488000,5,5,493000,0,0,0,0,0,0,2,38,1488000
2003,17,015100,103,0130,999,99999, ,61310      ,2,3,12,,Amboy,3,3,420000,0,0,0,0,0,0,0,0,0,3,3,420000,0,0,0,0,0,0,0,0,0
2003,17,016300,113,0133,999,14060, ,61720      ,2,3,12,,Anchor village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,016900,161,0135,999,19340, ,61232      ,2,3,0,,Andalusia village,4,4,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,017800,073,0145,999,19340, ,61233      ,2,3,0,,Andover village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,018100,181,0150,999,99999, ,62906      ,2,3,12,,Anna,7,7,539000,0,0,0,0,0,0,0,0,0,7,7,539000,0,0,0,0,0,0,0,0,0
2003,17,018400,073,0155,999,19340, ,61234      ,2,3,12,,Annawan town,8,8,800000,0,0,0,0,0,0,0,0,0,8,8,800000,0,0,0,0,0,0,0,0,0
2003,17,019300,097,0160,176,16980, ,60002      ,2,3,12,,Antioch village,270,270,42940351,0,0,0,1,4,570060,0,0,0,270,270,42940351,0,0,0,1,4,570060,0,0,0
2003,17,020500,041,0170,999,99999, ,61910      ,2,3,12,,Arcola,8,8,1029500,0,0,0,0,0,0,0,0,0,8,8,1029500,0,0,0,0,0,0,0,0,0
2003,17,021700,115,0180,999,19500, ,62501      ,2,3,0,,Argenta village,1,1,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,022300,031,0190,176,16980, ,60005      ,2,3,12,,Arlington Heights village,78,78,27779910,5,10,2700000,0,0,0,0,0,0,78,78,27779910,5,10,2700000,0,0,0,0,0,0
2003,17,022900,179,0195,426,37900, ,61721      ,2,3,12,,Armington village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,023200,091,0200,176,28100, ,60910      ,2,3,12,,Aroma Park village,1,1,270000,0,0,0,0,0,0,0,0,0,1,1,270000,0,0,0,0,0,0,0,0,0
2003,17,024400,113,0205,999,14060, ,617720101  ,2,3,0,,Arrowsmith village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,025000,041,0210,999,99999, ,619110139  ,2,3,12,,Arthur village,6,6,725000,0,0,0,0,0,0,0,0,0,6,6,725000,0,0,0,0,0,0,0,0,0
2003,17,026800,075,0215,999,99999, ,60911      ,2,3,12,,Ashkum village,1,1,135000,0,0,0,0,0,0,0,0,0,1,1,135000,0,0,0,0,0,0,0,0,0
