Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2006,17,001000,095,0005,999,99999, , ,61410      ,2,3,0,Abingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,001900,099,    ,999,99999,2, ,60531      ,2,3,0,Adams township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,002800,043,0015,176,16980, , ,601012786  ,2,3,11,Addison village,27,27,8382764,0,0,0,0,0,0,3,52,9019792,21,21,6803653,0,0,0,0,0,0,2,47,8150000
2006,17,004900,195,0025,999,99999, , ,61230      ,2,3,12,Albany village,5,5,576719,0,0,0,0,0,0,0,0,0,5,5,576719,0,0,0,0,0,0,0,0,0
2006,17,005200,027,0030,476,41180, , ,62215      ,2,3,12,Albers village,13,13,2257000,0,0,0,0,0,0,0,0,0,13,13,2257000,0,0,0,0,0,0,0,0,0
2006,17,006100,131,0040,999,19340, , ,61231      ,2,3,12,Aledo,5,5,864000,0,0,0,0,0,0,0,0,0,5,5,864000,0,0,0,0,0,0,0,0,0
2006,17,006400,003,    ,999,99999, , ,62969      ,2,3,12,Alexander County Unincorporated Area,2,2,60000,0,0,0,0,0,0,0,0,0,2,2,60000,0,0,0,0,0,0,0,0,0
2006,17,007000,187,0045,999,99999,2, ,61412      ,2,3,0,Alexis village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,007900,111,0050,176,16980,2, ,60102      ,2,3,10,Algonquin village,119,119,25104568,0,0,0,2,8,589440,0,0,0,88,88,20029245,0,0,0,0,0,0,0,0,0
2006,17,008500,119,0055,476,41180, , ,62001      ,2,3,12,Alhambra village,2,2,260000,0,0,0,0,0,0,0,0,0,2,2,260000,0,0,0,0,0,0,0,0,0
2006,17,009400,185,0060,999,99999, , ,62410      ,2,3,12,Allendale village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,009700,139,0065,999,99999, , ,61951      ,2,3,0,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,010300,183,0070,999,19180,2, ,61810      ,2,3,12,Allerton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,012100,073,0085,999,19340, , ,61413      ,2,3,0,Alpha village,1,1,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,012700,031,0095,176,16980, , ,60658      ,2,3,12,Alsip village,14,14,1811000,0,0,0,0,0,0,0,0,0,14,14,1811000,0,0,0,0,0,0,0,0,0
2006,17,013000,049,0100,999,99999, , ,62411      ,2,3,12,Altamont,8,8,579351,0,0,0,0,0,0,0,0,0,8,8,579351,0,0,0,0,0,0,0,0,0
2006,17,013900,119,0115,476,41180,2, ,62002      ,2,3,12,Alton,11,11,1132000,0,0,0,0,0,0,1,92,5800000,11,11,1132000,0,0,0,0,0,0,1,92,5800000
2006,17,015100,103,0130,999,99999, , ,61310      ,2,3,12,Amboy,1,1,100000,0,0,0,1,4,85000,0,0,0,1,1,100000,0,0,0,1,4,85000,0,0,0
2006,17,016300,113,0133,999,14060, , ,61720      ,2,3,12,Anchor village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
