Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8999,09,000500,013,3282,3280,1,1,12,12,Andover town,17,17,1455778,0,0,0,0,0,0,0,0,0,17,17,1455778,0,0,0,0,0,0,0,0,0
8999,09,001000,009,5602,1160,1,1,0,0,Ansonia town,13,13,389889,3,6,124050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,09,001300,015,9999,9999,1,1,12,12,Ashford town,17,17,1207756,1,2,165000,0,0,0,0,0,0,17,17,1207756,1,2,165000,0,0,0,0,0,0
8999,09,001500,003,3282,3280,1,1,12,12,Avon town,37,37,9014960,0,0,0,0,0,0,0,0,0,37,37,9014960,0,0,0,0,0,0,0,0,0
8999,09,001900,005,9999,9999,1,1,5,5,Bantam borough,2,2,137652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,09,002300,005,3282,3280,1,1,12,12,Barkhamsted town,17,17,1528500,0,0,0,0,0,0,0,0,0,17,17,1528500,0,0,0,0,0,0,0,0,0
8999,09,002500,009,5602,1160,1,1,12,12,Beacon Falls town,13,13,764500,0,0,0,0,0,0,0,0,0,13,13,764500,0,0,0,0,0,0,0,0,0
8999,09,003000,003,3282,5440,1,1,12,12,Berlin town,66,66,7947991,1,2,128852,0,0,0,0,0,0,66,66,7947991,1,2,128852,0,0,0,0,0,0
8999,09,003300,009,5480,9999,1,1,7,7,Bethany town,13,13,1456678,0,0,0,0,0,0,0,0,0,4,4,557000,0,0,0,0,0,0,0,0,0
8999,09,003500,001,5602,1930,1,1,12,12,Bethel town,35,35,2543817,2,4,236158,0,0,0,1,12,320000,35,35,2543817,2,4,236158,0,0,0,1,12,320000
8999,09,004000,005,8880,9999,1,1,12,12,Bethlehem town,22,22,2045000,0,0,0,0,0,0,0,0,0,22,22,2045000,0,0,0,0,0,0,0,0,0
8999,09,004500,003,3282,3280,1,1,12,12,Bloomfield town,14,14,1101501,0,0,0,0,0,0,0,0,0,14,14,1101501,0,0,0,0,0,0,0,0,0
8999,09,005000,013,3282,3280,1,1,12,12,Bolton town,12,12,1149400,0,0,0,0,0,0,0,0,0,12,12,1149400,0,0,0,0,0,0,0,0,0
8999,09,005500,011,5520,9999,1,1,12,12,Bozrah town,12,12,1260000,1,2,65000,0,0,0,0,0,0,12,12,1260000,1,2,65000,0,0,0,0,0,0
8999,09,006000,009,5480,9999,1,1,12,12,Branford town,66,66,5353861,1,2,100000,0,0,0,0,0,0,66,66,5353861,1,2,100000,0,0,0,0,0,0
8999,09,006500,001,5602,1160,1,1,12,12,Bridgeport,164,164,4390500,0,0,0,0,0,0,2,24,590000,164,164,4390500,0,0,0,0,0,0,2,24,590000
8999,09,006700,005,5602,1930,1,1,12,12,Bridgewater town,12,12,1966770,0,0,0,0,0,0,0,0,0,12,12,1966770,0,0,0,0,0,0,0,0,0
8999,09,007000,003,3282,1170,1,1,12,12,Bristol,209,209,14454000,1,2,80000,4,14,640000,18,313,13000000,209,209,14454000,1,2,80000,4,14,640000,18,313,13000000
8999,09,007500,001,5602,1930,1,1,12,12,Brookfield town,51,51,7015600,0,0,0,0,0,0,0,0,0,51,51,7015600,0,0,0,0,0,0,0,0,0
8999,09,008000,015,9999,9999,1,1,12,12,Brooklyn town,54,54,5147500,0,0,0,0,0,0,0,0,0,54,54,5147500,0,0,0,0,0,0,0,0,0
8999,09,008500,003,3282,1170,1,1,12,12,Burlington town,49,49,8700685,0,0,0,0,0,0,0,0,0,49,49,8700685,0,0,0,0,0,0,0,0,0
8999,09,008750,005,9999,9999,1,1,12,12,Canaan town,7,7,627641,0,0,0,0,0,0,0,0,0,7,7,627641,0,0,0,0,0,0,0,0,0
8999,09,008800,015,5520,9999,1,1,12,12,Canterbury town,27,27,2144700,0,0,0,0,0,0,0,0,0,27,27,2144700,0,0,0,0,0,0,0,0,0
8999,09,009000,003,3282,3280,1,1,12,12,Canton town,26,26,3728300,0,0,0,0,0,0,0,0,0,26,26,3728300,0,0,0,0,0,0,0,0,0
8999,09,009300,015,9999,9999,1,1,7,7,Chaplin town,11,11,733321,0,0,0,0,0,0,0,0,0,8,8,532366,0,0,0,0,0,0,0,0,0
8999,09,009500,009,5480,9999,1,1,12,12,Cheshire town,60,60,4918652,1,2,78320,0,0,0,3,107,3079023,60,60,4918652,1,2,78320,0,0,0,3,107,3079023
8999,09,009700,007,9999,9999,1,1,12,12,Chester town,6,6,701200,1,2,102000,0,0,0,12,104,5390000,6,6,701200,1,2,102000,0,0,0,12,104,5390000
8999,09,010000,007,5480,9999,1,1,12,12,Clinton town,33,33,4076390,1,2,171790,1,3,230000,0,0,0,33,33,4076390,1,2,171790,1,3,230000,0,0,0
8999,09,011000,011,3282,3280,1,1,12,12,Colchester town,91,91,5939316,2,4,166220,0,0,0,0,0,0,91,91,5939316,2,4,166220,0,0,0,0,0,0
8999,09,011250,005,9999,9999,1,1,12,12,Colebrook town,8,8,949400,0,0,0,0,0,0,0,0,0,8,8,949400,0,0,0,0,0,0,0,0,0
8999,09,011500,013,3282,3280,1,1,12,12,Columbia town,20,20,2148257,0,0,0,0,0,0,0,0,0,20,20,2148257,0,0,0,0,0,0,0,0,0
8999,09,011700,005,9999,9999,1,1,12,12,Cornwall town,14,14,2412000,0,0,0,0,0,0,0,0,0,14,14,2412000,0,0,0,0,0,0,0,0,0
8999,09,012000,013,3282,3280,1,1,12,12,Coventry town,48,48,5004000,1,2,118000,0,0,0,0,0,0,48,48,5004000,1,2,118000,0,0,0,0,0,0
8999,09,012500,007,3282,5020,1,1,12,12,Cromwell town,33,33,2874821,0,0,0,0,0,0,0,0,0,33,33,2874821,0,0,0,0,0,0,0,0,0
8999,09,013000,001,5602,1930,1,1,12,12,Danbury,122,122,10721875,6,12,501000,9,27,1141295,0,0,0,122,122,10721875,6,12,501000,9,27,1141295,0,0,0
8999,09,014500,001,5602,8040,1,1,12,12,Darien town,16,16,4990000,0,0,0,0,0,0,0,0,0,16,16,4990000,0,0,0,0,0,0,0,0,0
8999,09,015000,007,9999,9999,1,1,12,12,Deep River town,11,11,1078285,0,0,0,0,0,0,0,0,0,11,11,1078285,0,0,0,0,0,0,0,0,0
8999,09,015500,009,5602,1160,1,1,12,12,Derby,19,19,1055000,8,16,706000,0,0,0,0,0,0,19,19,1055000,8,16,706000,0,0,0,0,0,0
8999,09,016000,007,3282,5020,1,1,12,12,Durham town,26,26,2973000,0,0,0,0,0,0,0,0,0,26,26,2973000,0,0,0,0,0,0,0,0,0
8999,09,016300,015,9999,9999,1,1,8,8,Eastford town,26,26,2350222,0,0,0,0,0,0,0,0,0,18,18,1477000,0,0,0,0,0,0,0,0,0
8999,09,016500,003,3282,3280,1,1,12,12,East Granby town,10,10,1303900,0,0,0,0,0,0,0,0,0,10,10,1303900,0,0,0,0,0,0,0,0,0
8999,09,017000,007,3282,3280,1,1,12,12,East Haddam town,62,62,8826414,0,0,0,0,0,0,0,0,0,62,62,8826414,0,0,0,0,0,0,0,0,0
8999,09,017500,007,3282,5020,1,1,12,12,East Hampton town,40,40,2522906,0,0,0,0,0,0,0,0,0,40,40,2522906,0,0,0,0,0,0,0,0,0
8999,09,018000,003,3282,3280,1,1,12,12,East Hartford town,29,29,2246213,0,0,0,0,0,0,0,0,0,29,29,2246213,0,0,0,0,0,0,0,0,0
8999,09,018500,009,5480,9999,1,1,12,12,East Haven town,270,270,25468170,0,0,0,0,0,0,5,42,1152000,270,270,25468170,0,0,0,0,0,0,5,42,1152000
8999,09,019000,011,5520,9999,1,1,12,12,East Lyme town,52,52,6606708,0,0,0,0,0,0,0,0,0,52,52,6606708,0,0,0,0,0,0,0,0,0
8999,09,019500,001,5602,1160,1,1,12,12,Easton town,13,13,3707941,0,0,0,0,0,0,0,0,0,13,13,3707941,0,0,0,0,0,0,0,0,0
8999,09,020000,003,3282,3280,1,1,12,12,East Windsor town,43,43,3373872,0,0,0,0,0,0,0,0,0,43,43,3373872,0,0,0,0,0,0,0,0,0
8999,09,020500,013,3282,3280,1,1,12,12,Ellington town,42,42,5882779,0,0,0,0,0,0,0,0,0,42,42,5882779,0,0,0,0,0,0,0,0,0
8999,09,021000,003,3282,3280,1,1,12,12,Enfield town,93,93,7150795,0,0,0,0,0,0,1,122,5674000,93,93,7150795,0,0,0,0,0,0,1,122,5674000
8999,09,021500,007,9999,9999,1,1,12,12,Essex town,13,13,1829979,1,2,276588,0,0,0,0,0,0,13,13,1829979,1,2,276588,0,0,0,0,0,0
8999,09,022000,001,5602,1160,1,1,12,12,Fairfield town,48,48,5956385,3,6,352760,3,9,370962,0,0,0,48,48,5956385,3,6,352760,3,9,370962,0,0,0
8999,09,022500,003,3282,3280,1,1,12,12,Farmington town,97,97,8605000,0,0,0,0,0,0,0,0,0,97,97,8605000,0,0,0,0,0,0,0,0,0
8999,09,022900,011,5520,9999,1,1,12,12,Franklin town,7,7,607000,0,0,0,0,0,0,0,0,0,7,7,607000,0,0,0,0,0,0,0,0,0
8999,09,023000,003,3282,3280,1,1,12,12,Glastonbury town,59,59,10033108,0,0,0,0,0,0,0,0,0,59,59,10033108,0,0,0,0,0,0,0,0,0
8999,09,023300,005,9999,9999,1,1,12,12,Goshen town,19,19,2437000,0,0,0,0,0,0,0,0,0,19,19,2437000,0,0,0,0,0,0,0,0,0
8999,09,023500,003,3282,3280,1,1,12,12,Granby town,17,17,1986500,0,0,0,0,0,0,0,0,0,17,17,1986500,0,0,0,0,0,0,0,0,0
8999,09,024000,001,5602,8040,1,1,12,12,Greenwich town,54,54,23420000,6,12,971000,0,0,0,2,18,1180000,54,54,23420000,6,12,971000,0,0,0,2,18,1180000
8999,09,024500,011,9999,9999,1,1,12,12,Groton,15,15,767938,0,0,0,0,0,0,1,20,528945,15,15,767938,0,0,0,0,0,0,1,20,528945
8999,09,024700,011,5520,9999,1,1,12,12,Groton Long Point borough,3,3,340000,0,0,0,0,0,0,0,0,0,3,3,340000,0,0,0,0,0,0,0,0,0
8999,09,025000,011,5520,9999,1,1,12,12,Groton town,37,37,3335000,6,12,470000,0,0,0,1,8,306000,37,37,3335000,6,12,470000,0,0,0,1,8,306000
8999,09,025500,009,5480,9999,1,1,12,12,Guilford town,64,64,8520700,0,0,0,0,0,0,3,17,1450000,64,64,8520700,0,0,0,0,0,0,3,17,1450000
8999,09,025700,007,3282,5020,1,1,12,12,Haddam town,19,19,1604425,0,0,0,0,0,0,0,0,0,19,19,1604425,0,0,0,0,0,0,0,0,0
8999,09,026000,009,5480,9999,1,1,12,12,Hamden town,50,50,4316000,4,8,310000,1,3,70000,4,51,780000,50,50,4316000,4,8,310000,1,3,70000,4,51,780000
8999,09,026250,015,9999,9999,1,1,12,12,Hampton town,11,11,1084000,0,0,0,0,0,0,0,0,0,11,11,1084000,0,0,0,0,0,0,0,0,0
8999,09,026500,003,3282,3280,1,1,12,12,Hartford,33,33,1374000,5,10,415000,3,9,580000,5,233,7810044,33,33,1374000,5,10,415000,3,9,580000,5,233,7810044
8999,09,026600,003,9999,9999,1,1,12,12,Hartland town,17,17,1599920,0,0,0,0,0,0,0,0,0,17,17,1599920,0,0,0,0,0,0,0,0,0
8999,09,026700,005,9999,9999,1,1,12,12,Harwinton town,22,22,3560000,0,0,0,0,0,0,0,0,0,22,22,3560000,0,0,0,0,0,0,0,0,0
8999,09,026900,013,3282,3280,1,1,12,12,Hebron town,22,22,2400199,0,0,0,0,0,0,0,0,0,22,22,2400199,0,0,0,0,0,0,0,0,0
8999,09,027000,011,9999,9999,1,1,12,12,Jewett City borough,49,49,4171500,0,0,0,1,3,84000,3,30,972000,49,49,4171500,0,0,0,1,3,84000,3,30,972000
8999,09,027200,005,9999,9999,1,1,12,12,Kent town,21,21,4142000,0,0,0,0,0,0,0,0,0,21,21,4142000,0,0,0,0,0,0,0,0,0
8999,09,027300,015,9999,9999,1,1,12,12,Killingly town,82,82,3724622,0,0,0,0,0,0,0,0,0,82,82,3724622,0,0,0,0,0,0,0,0,0
8999,09,027500,007,5480,9999,1,1,12,12,Killingworth town,32,32,4009000,0,0,0,0,0,0,0,0,0,32,32,4009000,0,0,0,0,0,0,0,0,0
8999,09,027600,011,9999,9999,1,1,12,12,Lebanon town,50,50,2948150,1,2,100000,0,0,0,0,0,0,50,50,2948150,1,2,100000,0,0,0,0,0,0
8999,09,027700,011,5520,9999,1,1,12,12,Ledyard town,35,35,3904347,1,2,40000,0,0,0,0,0,0,35,35,3904347,1,2,40000,0,0,0,0,0,0
8999,09,027800,011,5520,9999,1,1,12,12,Lisbon town,17,17,1419000,0,0,0,0,0,0,0,0,0,17,17,1419000,0,0,0,0,0,0,0,0,0
8999,09,027825,005,9999,9999,1,1,12,12,Litchfield town,25,25,2308500,0,0,0,0,0,0,0,0,0,25,25,2308500,0,0,0,0,0,0,0,0,0
8999,09,027900,011,9999,9999,1,1,12,12,Lyme town,13,13,3343006,0,0,0,0,0,0,0,0,0,13,13,3343006,0,0,0,0,0,0,0,0,0
8999,09,028000,009,5480,9999,1,1,12,12,Madison town,56,56,7824300,0,0,0,0,0,0,2,16,600000,56,56,7824300,0,0,0,0,0,0,2,16,600000
8999,09,028500,003,3282,3280,1,1,12,12,Manchester town,86,86,8476064,5,10,667660,1,3,170000,37,987,15742400,86,86,8476064,5,10,667660,1,3,170000,37,987,15742400
8999,09,029000,013,9999,9999,1,1,12,12,Mansfield town,18,18,2238723,0,0,0,0,0,0,5,35,1750000,18,18,2238723,0,0,0,0,0,0,5,35,1750000
8999,09,029500,003,3282,3280,1,1,12,12,Marlborough town,15,15,1899000,0,0,0,1,4,183000,0,0,0,15,15,1899000,0,0,0,1,4,183000,0,0,0
8999,09,030000,009,5480,9999,1,1,12,12,Meriden,137,137,7530431,1,2,59500,0,0,0,1,34,679680,137,137,7530431,1,2,59500,0,0,0,1,34,679680
