Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
1999,09,001000,013,    ,3280,9999, ,06232      ,1,1,12,,Andover town,20,20,2442300,0,0,0,0,0,0,0,0,0,20,20,2442300,0,0,0,0,0,0,0,0,0
1999,09,005000,009,0020,5602,1160, ,06401      ,1,1,12,,Ansonia,38,38,2615200,1,2,50000,0,0,0,0,0,0,38,38,2615200,1,2,50000,0,0,0,0,0,0
1999,09,009000,015,    ,3280,9999, ,06278      ,1,1,12,,Ashford town,17,17,1625797,0,0,0,0,0,0,0,0,0,17,17,1625797,0,0,0,0,0,0,0,0,0
1999,09,013000,003,    ,3280,9999, ,06001      ,1,1,12,,Avon town,120,120,24589485,0,0,0,0,0,0,3,52,2462558,120,120,24589485,0,0,0,0,0,0,3,52,2462558
1999,09,017000,005,0070,9999,9999, ,06759      ,1,1,12,,Bantam borough,2,2,218386,0,0,0,0,0,0,0,0,0,2,2,218386,0,0,0,0,0,0,0,0,0
1999,09,021000,005,    ,3280,9999, ,06063      ,1,1,12,,Barkhamsted town,19,19,2823130,0,0,0,0,0,0,0,0,0,19,19,2823130,0,0,0,0,0,0,0,0,0
1999,09,025000,009,    ,5602,1160, ,06403      ,1,1,12,,Beacon Falls town,49,49,3346000,0,0,0,0,0,0,0,0,0,49,49,3346000,0,0,0,0,0,0,0,0,0
1999,09,029000,003,    ,3280,9999, ,06037      ,1,1,12,,Berlin town,101,101,11572035,1,2,162000,0,0,0,0,0,0,101,101,11572035,1,2,162000,0,0,0,0,0,0
1999,09,033000,009,    ,5602,5480, ,06524      ,1,1,12,,Bethany town,27,27,6456180,0,0,0,0,0,0,0,0,0,27,27,6456180,0,0,0,0,0,0,0,0,0
1999,09,037000,001,    ,5602,1930, ,06801      ,1,1,12,,Bethel town,46,46,8122321,0,0,0,0,0,0,0,0,0,46,46,8122321,0,0,0,0,0,0,0,0,0
1999,09,041000,005,    ,5602,8880, ,06751      ,1,1,12,,Bethlehem town,20,20,2838000,0,0,0,0,0,0,0,0,0,20,20,2838000,0,0,0,0,0,0,0,0,0
1999,09,045000,003,    ,3280,9999, ,06002      ,1,1,12,,Bloomfield town,40,40,2958850,0,0,0,0,0,0,0,0,0,40,40,2958850,0,0,0,0,0,0,0,0,0
1999,09,049000,013,    ,3280,9999, ,06043      ,1,1,12,,Bolton town,37,37,7790413,0,0,0,0,0,0,0,0,0,37,37,7790413,0,0,0,0,0,0,0,0,0
1999,09,053000,011,    ,5520,9999, ,06334      ,1,1,12,,Bozrah town,15,15,1721000,0,0,0,0,0,0,0,0,0,15,15,1721000,0,0,0,0,0,0,0,0,0
1999,09,057000,009,    ,5602,5480, ,06405      ,1,1,12,,Branford town,48,48,6673050,3,6,244960,0,0,0,0,0,0,48,48,6673050,3,6,244960,0,0,0,0,0,0
1999,09,061000,001,0200,5602,1160,1,06604      ,1,1,12,,Bridgeport,56,56,3401929,2,4,225000,1,3,100000,0,0,0,56,56,3401929,2,4,225000,1,3,100000,0,0,0
1999,09,065000,005,    ,5602,1930, ,06752      ,1,1,12,,Bridgewater town,7,7,2092469,0,0,0,0,0,0,0,0,0,7,7,2092469,0,0,0,0,0,0,0,0,0
1999,09,069000,003,0230,3280,9999, ,06010      ,1,1,12,,Bristol,92,92,10906700,0,0,0,0,0,0,0,0,0,92,92,10906700,0,0,0,0,0,0,0,0,0
1999,09,077000,001,    ,5602,1930, ,06805      ,1,1,12,,Brookfield town,63,63,11177240,0,0,0,0,0,0,0,0,0,63,63,11177240,0,0,0,0,0,0,0,0,0
1999,09,081000,015,    ,9999,9999, ,06234      ,1,1,11,,Brooklyn town,27,27,3186750,0,0,0,0,0,0,1,7,689062,25,25,2962000,0,0,0,0,0,0,0,0,0
1999,09,085000,003,    ,3280,9999, ,06013      ,1,1,12,,Burlington town,71,71,11490688,0,0,0,0,0,0,0,0,0,71,71,11490688,0,0,0,0,0,0,0,0,0
1999,09,089000,005,    ,9999,9999, ,06031      ,1,1,12,,Canaan town,4,4,310500,0,0,0,0,0,0,0,0,0,4,4,310500,0,0,0,0,0,0,0,0,0
1999,09,093000,015,    ,5520,9999, ,06331      ,1,1,12,,Canterbury town,20,20,1687900,0,0,0,0,0,0,0,0,0,20,20,1687900,0,0,0,0,0,0,0,0,0
1999,09,097000,003,    ,3280,9999, ,06022      ,1,1,12,,Canton town,65,65,11054262,0,0,0,0,0,0,0,0,0,65,65,11054262,0,0,0,0,0,0,0,0,0
1999,09,101000,015,    ,3280,9999, ,06235      ,1,1,0,,Chaplin town,17,17,921383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,09,105000,009,    ,5602,5480, ,06410      ,1,1,12,,Cheshire town,71,71,9551129,0,0,0,0,0,0,1,36,3212684,71,71,9551129,0,0,0,0,0,0,1,36,3212684
1999,09,109000,007,    ,9999,9999, ,06412      ,1,1,12,,Chester town,26,26,4386017,0,0,0,0,0,0,0,0,0,26,26,4386017,0,0,0,0,0,0,0,0,0
1999,09,113000,007,    ,5602,5480, ,06413      ,1,1,12,,Clinton town,81,81,7822854,0,0,0,0,0,0,0,0,0,81,81,7822854,0,0,0,0,0,0,0,0,0
1999,09,121000,011,    ,3280,9999, ,06415      ,1,1,11,,Colchester town,107,107,10640686,0,0,0,0,0,0,0,0,0,99,99,9897000,0,0,0,0,0,0,0,0,0
1999,09,125000,005,    ,9999,9999, ,06021      ,1,1,12,,Colebrook town,6,6,757396,0,0,0,0,0,0,0,0,0,6,6,757396,0,0,0,0,0,0,0,0,0
1999,09,129000,013,    ,3280,9999, ,06237      ,1,1,12,,Columbia town,35,35,4447242,0,0,0,0,0,0,0,0,0,35,35,4447242,0,0,0,0,0,0,0,0,0
1999,09,133000,005,    ,9999,9999, ,06069      ,1,1,12,,Cornwall town,8,8,963338,0,0,0,0,0,0,0,0,0,8,8,963338,0,0,0,0,0,0,0,0,0
1999,09,137000,013,    ,3280,9999, ,06238      ,1,1,12,,Coventry town,67,67,6964594,0,0,0,0,0,0,0,0,0,67,67,6964594,0,0,0,0,0,0,0,0,0
1999,09,141000,007,    ,3280,9999, ,06416      ,1,1,12,,Cromwell town,59,59,7795146,0,0,0,0,0,0,0,0,0,59,59,7795146,0,0,0,0,0,0,0,0,0
