Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,09,001000,013,    ,278,25540, , ,06232      ,1,1,12,Andover town,13,13,2715300,0,0,0,0,0,0,0,0,0,13,13,2715300,0,0,0,0,0,0,0,0,0
2005,09,005000,009,0020,408,35300, , ,06401      ,1,1,12,Ansonia,13,13,1513000,0,0,0,0,0,0,0,0,0,13,13,1513000,0,0,0,0,0,0,0,0,0
2005,09,009000,015,    ,999,99999, , ,06278      ,1,1,12,Ashford town,17,17,2314039,0,0,0,0,0,0,0,0,0,17,17,2314039,0,0,0,0,0,0,0,0,0
2005,09,013000,003,    ,278,25540, , ,06001      ,1,1,12,Avon town,85,85,21128522,0,0,0,0,0,0,0,0,0,85,85,21128522,0,0,0,0,0,0,0,0,0
2005,09,021000,005,    ,999,99999, , ,06063      ,1,1,12,Barkhamsted town,8,8,1832995,0,0,0,0,0,0,0,0,0,8,8,1832995,0,0,0,0,0,0,0,0,0
2005,09,025000,009,    ,408,35300, , ,06403      ,1,1,12,Beacon Falls town,59,59,3900000,0,0,0,0,0,0,0,0,0,59,59,3900000,0,0,0,0,0,0,0,0,0
2005,09,029000,003,    ,278,25540, , ,06037      ,1,1,12,Berlin town,63,63,8478387,0,0,0,0,0,0,6,194,9093500,63,63,8478387,0,0,0,0,0,0,6,194,9093500
2005,09,033000,009,    ,408,35300, , ,06524      ,1,1,0,Bethany town,30,30,8850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,037000,001,    ,408,14860, , ,06801      ,1,1,12,Bethel town,14,14,3199458,1,2,350000,0,0,0,0,0,0,14,14,3199458,1,2,350000,0,0,0,0,0,0
2005,09,041000,005,    ,999,99999, , ,06751      ,1,1,0,Bethlehem town,6,6,1258286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,045000,003,    ,278,25540, , ,06002      ,1,1,12,Bloomfield town,71,71,11198621,0,0,0,0,0,0,0,0,0,71,71,11198621,0,0,0,0,0,0,0,0,0
2005,09,049000,013,    ,278,25540, , ,06043      ,1,1,12,Bolton town,8,8,2106003,0,0,0,0,0,0,0,0,0,8,8,2106003,0,0,0,0,0,0,0,0,0
2005,09,053000,011,    ,999,35980, , ,06334      ,1,1,12,Bozrah town,9,9,1547000,0,0,0,0,0,0,0,0,0,9,9,1547000,0,0,0,0,0,0,0,0,0
2005,09,057000,009,    ,408,35300, , ,06405      ,1,1,12,Branford town,48,48,16057515,1,2,141180,0,0,0,1,30,5555000,48,48,16057515,1,2,141180,0,0,0,1,30,5555000
2005,09,061000,001,0200,408,14860, ,1,06604      ,1,1,11,Bridgeport,75,75,6093851,7,14,707000,0,0,0,4,113,6212426,71,71,5765621,7,14,707000,0,0,0,3,105,5934000
2005,09,065000,005,    ,999,99999, , ,06752      ,1,1,12,Bridgewater town,6,6,2437250,0,0,0,0,0,0,0,0,0,6,6,2437250,0,0,0,0,0,0,0,0,0
2005,09,069000,003,0230,278,25540,2, ,06010      ,1,1,12,Bristol,107,107,16831000,2,4,130000,0,0,0,0,0,0,107,107,16831000,2,4,130000,0,0,0,0,0,0
2005,09,077000,001,    ,408,14860, , ,06804      ,1,1,12,Brookfield town,83,83,18172500,0,0,0,0,0,0,0,0,0,83,83,18172500,0,0,0,0,0,0,0,0,0
