Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9799,01,001000,067,9999,9999,3,6,12,,Abbeville,5,5,457800,0,0,0,0,0,0,0,0,0,5,5,457800,0,0,0,0,0,0,0,0,0
9799,01,002000,073,1000,9999,3,6,12,,Adamsville,9,9,1618945,0,0,0,0,0,0,0,0,0,9,9,1618945,0,0,0,0,0,0,0,0,0
9799,01,005000,117,1000,9999,3,6,11,,Alabaster,440,440,36682820,0,0,0,0,0,0,0,0,0,392,392,32829011,0,0,0,0,0,0,0,0,0
9799,01,006000,095,9999,9999,3,6,12,,Albertville,95,95,9949000,0,0,0,4,16,540000,0,0,0,95,95,9949000,0,0,0,4,16,540000,0,0,0
9799,01,007000,123,9999,9999,3,6,12,,Alexander City,52,52,4463193,0,0,0,0,0,0,1,12,200000,52,52,4463193,0,0,0,0,0,0,1,12,200000
9799,01,008000,107,9999,9999,3,6,12,,Aliceville,5,5,1319555,0,0,0,0,0,0,0,0,0,5,5,1319555,0,0,0,0,0,0,0,0,0
9799,01,012000,039,9999,9999,3,6,12,,Andalusia,7,7,665500,0,0,0,0,0,0,0,0,0,7,7,665500,0,0,0,0,0,0,0,0,0
9799,01,014000,015,0450,9999,3,6,11,,Anniston,25,25,1580349,0,0,0,0,0,0,0,0,0,20,20,1306000,0,0,0,0,0,0,0,0,0
9799,01,016000,095,9999,9999,3,6,12,,Arab,36,36,1991301,0,0,0,0,0,0,0,0,0,36,36,1991301,0,0,0,0,0,0,0,0,0
9799,01,017000,083,3440,9999,3,6,12,,Ardmore town,7,7,350000,0,0,0,0,0,0,0,0,0,7,7,350000,0,0,0,0,0,0,0,0,0
9799,01,020000,045,2180,9999,3,6,12,,Ariton town,1,1,90000,0,0,0,0,0,0,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0
9799,01,022000,069,2180,9999,3,6,12,,Ashford,8,8,100000,0,0,0,0,0,0,0,0,0,8,8,100000,0,0,0,0,0,0,0,0,0
9799,01,023000,027,9999,9999,3,6,12,,Ashland,2,2,220000,0,0,0,0,0,0,0,0,0,2,2,220000,0,0,0,0,0,0,0,0,0
9799,01,024000,115,1000,9999,3,6,12,,Ashville town,7,7,393000,0,0,0,0,0,0,0,0,0,7,7,393000,0,0,0,0,0,0,0,0,0
9799,01,025000,083,3440,9999,3,6,12,,Athens,120,120,13075030,2,4,150000,0,0,0,0,0,0,120,120,13075030,2,4,150000,0,0,0,0,0,0
9799,01,026000,053,9999,9999,3,6,12,,Atmore,8,8,1145000,0,0,0,8,32,950000,0,0,0,8,8,1145000,0,0,0,8,32,950000,0,0,0
9799,01,027000,055,2880,9999,3,6,12,,Attalla,9,9,519000,0,0,0,1,3,30000,1,21,30000,9,9,519000,0,0,0,1,3,30000,1,21,30000
9799,01,028000,081,9999,9999,3,6,12,,Auburn,226,226,28321012,65,130,6170328,7,23,1118802,38,297,12836017,226,226,28321012,65,130,6170328,7,23,1118802,38,297,12836017
9799,01,031000,069,2180,9999,3,6,11,,Avon town,2,2,210000,0,0,0,0,0,0,0,0,0,2,2,210000,0,0,0,0,0,0,0,0,0
9799,01,034000,003,5160,9999,3,6,12,,Baldwin County Unincorporated Area,830,830,100188307,23,46,4585918,0,0,0,2,134,16878080,830,830,100188307,23,46,4585918,0,0,0,2,134,16878080
9799,01,037000,003,5160,9999,3,6,12,,Bay Minette,8,8,669403,0,0,0,0,0,0,9,54,2612230,8,8,669403,0,0,0,0,0,0,9,54,2612230
9799,01,038000,097,5160,9999,3,6,12,,Bayou La Batre,3,3,151243,0,0,0,0,0,0,0,0,0,3,3,151243,0,0,0,0,0,0,0,0,0
9799,01,043000,085,9999,9999,3,6,0,,Benton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,045000,073,1000,9999,3,6,12,,Bessemer,79,79,5566722,0,0,0,0,0,0,0,0,0,79,79,5566722,0,0,0,0,0,0,0,0,0
9799,01,048000,073,1000,9999,3,6,12,,Birmingham,128,128,13727421,2,4,98000,1,4,100000,13,152,7103790,128,128,13727421,2,4,98000,1,4,100000,13,152,7103790
9799,01,052000,009,1000,9999,3,6,12,,Blountsville town,3,3,160000,0,0,0,0,0,0,0,0,0,3,3,160000,0,0,0,0,0,0,0,0,0
9799,01,056000,095,9999,9999,3,6,12,,Boaz,14,14,1228000,0,0,0,0,0,0,0,0,0,14,14,1228000,0,0,0,0,0,0,0,0,0
9799,01,059000,115,1000,9999,3,6,0,,Branchville town,8,8,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,060000,041,9999,9999,3,6,12,,Brantley town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,062000,053,9999,9999,3,6,12,,Brewton,13,13,1634395,2,4,300000,0,0,0,0,0,0,13,13,1634395,2,4,300000,0,0,0,0,0,0
9799,01,063000,071,9999,9999,3,6,0,,Bridgeport,7,7,354666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,064000,073,1000,9999,3,6,0,,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,066000,073,1000,9999,3,6,12,,Brookside town,3,3,280000,0,0,0,0,0,0,0,0,0,3,3,280000,0,0,0,0,0,0,0,0,0
9799,01,068000,109,9999,9999,3,6,0,,Brundidge,2,2,134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,070000,023,9999,9999,3,6,12,,Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,072000,117,1000,9999,3,6,12,,Calera,27,27,2144684,0,0,0,0,0,0,0,0,0,27,27,2144684,0,0,0,0,0,0,0,0,0
9799,01,075000,123,9999,9999,3,6,7,,Camp Hill town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,077000,073,1000,9999,3,6,12,,Cardiff town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,081000,019,9999,9999,3,6,12,,Cedar Bluff town,10,10,687000,0,0,0,0,0,0,1,8,309000,10,10,687000,0,0,0,0,0,0,1,8,309000
9799,01,082000,019,9999,9999,3,6,12,,Centre,8,8,650000,0,0,0,0,0,0,1,41,1700000,8,8,650000,0,0,0,0,0,0,1,41,1700000
9799,01,083000,007,9999,9999,3,6,0,,Centreville,4,4,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,085000,129,9999,9999,3,6,12,,Chatom town,4,4,360087,0,0,0,0,0,0,0,0,0,4,4,360087,0,0,0,0,0,0,0,0,0
9799,01,087000,033,2650,9999,3,6,0,,Cherokee town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,088000,097,5160,9999,3,6,12,,Chickasaw,3,3,95000,0,0,0,0,0,0,0,0,0,3,3,95000,0,0,0,0,0,0,0,0,0
9799,01,089000,121,9999,9999,3,6,12,,Childersburg,13,13,1542034,0,0,0,0,0,0,0,0,0,13,13,1542034,0,0,0,0,0,0,0,0,0
9799,01,092000,097,5160,9999,3,6,12,,Citronelle,30,30,405808,0,0,0,0,0,0,0,0,0,30,30,405808,0,0,0,0,0,0,0,0,0
9799,01,093000,021,9999,9999,3,6,12,,Clanton,19,19,1672500,0,0,0,0,0,0,0,0,0,19,19,1672500,0,0,0,0,0,0,0,0,0
9799,01,097000,005,9999,9999,3,6,0,,Clayton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,106000,049,9999,9999,3,6,0,,Collinsville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,112000,051,5240,9999,3,6,12,,Coosada town,7,7,581000,0,0,0,0,0,0,0,0,0,7,7,581000,0,0,0,0,0,0,0,0,0
9799,01,113000,127,9999,9999,3,6,0,,Cordova,1,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,114000,069,2180,9999,3,6,12,,Cottonwood town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,116000,073,1000,9999,3,6,12,,County Line town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,121000,097,5160,9999,3,6,0,,Creola town,17,17,1673463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,122000,049,9999,9999,3,6,0,,Crossville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,124000,043,9999,9999,3,6,12,,Cullman,77,77,7727244,6,12,625000,0,0,0,0,0,0,77,77,7727244,6,12,625000,0,0,0,0,0,0
9799,01,126000,123,9999,9999,3,6,12,,Dadeville,4,4,257000,0,0,0,0,0,0,0,0,0,4,4,257000,0,0,0,0,0,0,0,0,0
9799,01,127000,045,2180,9999,3,6,0,,Dale County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,128000,045,2180,9999,3,6,12,,Daleville,3,3,205000,0,0,0,0,0,0,0,0,0,3,3,205000,0,0,0,0,0,0,0,0,0
9799,01,130000,003,5160,9999,3,6,12,,Daphne,159,159,20355600,0,0,0,0,0,0,0,0,0,159,159,20355600,0,0,0,0,0,0,0,0,0
9799,01,131000,097,5160,9999,3,6,12,,Dauphin Island town,63,63,6096243,4,8,340000,3,9,370000,0,0,0,63,63,6096243,4,8,340000,3,9,370000,0,0,0
9799,01,136000,103,2030,9999,3,6,12,,Decatur,197,197,20430992,0,0,0,7,28,1231000,0,0,0,197,197,20430992,0,0,0,7,28,1231000,0,0,0
9799,01,137000,091,9999,9999,3,6,12,,Demopolis,18,18,1757167,0,0,0,0,0,0,0,0,0,18,18,1757167,0,0,0,0,0,0,0,0,0
9799,01,139000,127,9999,9999,3,6,12,,Dora,3,3,390000,0,0,0,0,0,0,0,0,0,3,3,390000,0,0,0,0,0,0,0,0,0
9799,01,141000,069,2180,9999,3,6,11,,Dothan,299,299,19001695,1,2,69276,0,0,0,9,69,1625300,274,274,17278780,0,0,0,0,0,0,9,69,1625300
9799,01,142000,133,9999,9999,3,6,12,,Double Springs town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,146000,053,9999,9999,3,6,12,,East Brewton,5,5,533000,0,0,0,0,0,0,0,0,0,5,5,533000,0,0,0,0,0,0,0,0,0
9799,01,147000,051,5240,9999,3,6,12,,Eclectic town,2,2,80000,0,0,0,0,0,0,0,0,0,2,2,80000,0,0,0,0,0,0,0,0,0
9799,01,149000,031,9999,9999,3,6,12,,Elba,1,1,55000,0,0,0,0,0,0,0,0,0,1,1,55000,0,0,0,0,0,0,0,0,0
9799,01,150000,003,5160,9999,3,6,0,,Elberta town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,151000,127,9999,9999,3,6,12,,Eldridge town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,155000,031,9999,9999,3,6,12,,Enterprise,128,128,10003335,1,2,90000,0,0,0,0,0,0,128,128,10003335,1,2,90000,0,0,0,0,0,0
9799,01,161000,005,9999,9999,3,6,12,,Eufaula,59,59,5436890,1,2,87360,0,0,0,0,0,0,59,59,5436890,1,2,87360,0,0,0,0,0,0
9799,01,163000,063,9999,9999,3,6,0,,Eutaw,8,8,459369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,165000,035,9999,9999,3,6,12,,Evergreen,5,5,447125,1,2,67000,0,0,0,0,0,0,5,5,447125,1,2,67000,0,0,0,0,0,0
9799,01,166000,099,9999,9999,3,6,12,,Excel town,2,2,105000,0,0,0,0,0,0,0,0,0,2,2,105000,0,0,0,0,0,0,0,0,0
9799,01,167000,073,1000,9999,3,6,12,,Fairfield,3,3,188500,0,0,0,0,0,0,0,0,0,3,3,188500,0,0,0,0,0,0,0,0,0
9799,01,168000,003,5160,9999,3,6,12,,Fairhope,184,184,26907581,0,0,0,0,0,0,0,0,0,184,184,26907581,0,0,0,0,0,0,0,0,0
9799,01,170000,103,2030,9999,3,6,12,,Falkville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,172000,057,9999,9999,3,6,12,,Fayette,9,9,1452000,0,0,0,0,0,0,0,0,0,9,9,1452000,0,0,0,0,0,0,0,0,0
9799,01,176000,053,9999,9999,3,6,0,,Flomaton town,2,2,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,177000,039,9999,9999,3,6,0,,Florala,1,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,178000,077,2650,9999,3,6,12,,Florence,123,123,12668853,2,4,154596,0,0,0,3,32,858288,123,123,12668853,2,4,154596,0,0,0,3,32,858288
9799,01,179000,003,5160,9999,3,6,12,,Foley,158,158,11556629,3,6,260000,0,0,0,1,72,1702600,158,158,11556629,3,6,260000,0,0,0,1,72,1702600
9799,01,181000,085,9999,9999,3,6,12,,Fort Deposit town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,01,182000,049,9999,9999,3,6,12,,Fort Payne,28,28,2672420,0,0,0,0,0,0,0,0,0,28,28,2672420,0,0,0,0,0,0,0,0,0
9799,01,185000,099,9999,9999,3,6,0,,Frisco City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
