Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,01,001000,067,0005,9999,9999, ,36310      ,3,6,12,,Abbeville,2,2,285000,0,0,0,0,0,0,0,0,0,2,2,285000,0,0,0,0,0,0,0,0,0
2001,01,002000,073,0010,1000,9999, ,35005      ,3,6,12,,Adamsville,6,6,737204,0,0,0,0,0,0,0,0,0,6,6,737204,0,0,0,0,0,0,0,0,0
2001,01,005000,117,0025,1000,9999, ,35007      ,3,6,12,,Alabaster,241,241,23378822,0,0,0,0,0,0,0,0,0,241,241,23378822,0,0,0,0,0,0,0,0,0
2001,01,006000,095,0030,9999,9999, ,35950      ,3,6,12,,Albertville,79,79,10852300,1,2,100000,0,0,0,0,0,0,79,79,10852300,1,2,100000,0,0,0,0,0,0
2001,01,007000,123,0035,9999,9999, ,35010      ,3,6,12,,Alexander City,36,36,3408480,0,0,0,0,0,0,0,0,0,36,36,3408480,0,0,0,0,0,0,0,0,0
2001,01,008000,107,0040,9999,9999, ,35442      ,3,6,12,,Aliceville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,012000,039,0055,9999,9999, ,36420      ,3,6,0,,Andalusia,14,14,1538900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,014000,015,0060,0450,9999,1,36202      ,3,6,0,,Anniston,24,24,1536222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,016000,095,0065,9999,9999, ,35016      ,3,6,12,,Arab,25,25,2786000,0,0,0,0,0,0,0,0,0,25,25,2786000,0,0,0,0,0,0,0,0,0
2001,01,017000,083,0070,3440,9999, ,38449      ,3,6,0,,Ardmore town,7,7,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,020000,045,0075,2180,9999, ,36311      ,3,6,12,,Ariton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,022000,069,0080,2180,9999, ,36312      ,3,6,0,,Ashford,7,7,630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,023000,027,0085,9999,9999, ,36251      ,3,6,12,,Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,024000,115,0090,1000,9999, ,35953      ,3,6,12,,Ashville town,7,7,772000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,025000,083,0095,3440,9999, ,35611      ,3,6,12,,Athens,103,103,14834039,0,0,0,0,0,0,0,0,0,103,103,14834039,0,0,0,0,0,0,0,0,0
2001,01,026000,053,0100,9999,9999, ,36504      ,3,6,12,,Atmore,4,4,593000,0,0,0,0,0,0,0,0,0,4,4,593000,0,0,0,0,0,0,0,0,0
2001,01,027000,055,0105,2880,9999, ,35954      ,3,6,12,,Attalla,7,7,785000,0,0,0,0,0,0,0,0,0,7,7,785000,0,0,0,0,0,0,0,0,0
2001,01,028000,081,0110,0580,9999,1,36830      ,3,6,12,,Auburn,285,285,38571505,20,40,2359300,4,13,719170,43,541,26672346,285,285,38571505,20,40,2359300,4,13,719170,43,541,26672346
2001,01,031000,069,0120,2180,9999, ,36312      ,3,6,12,,Avon town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,034000,003,    ,5160,9999, ,36535      ,3,6,12,,Baldwin County Unincorporated Area,786,786,109545242,5,10,1516065,0,0,0,0,0,0,786,786,109545242,5,10,1516065,0,0,0,0,0,0
2001,01,037000,003,0135,5160,9999, ,36507      ,3,6,0,,Bay Minette,12,12,1157090,1,2,138960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,038000,097,0140,5160,9999, ,36509      ,3,6,12,,Bayou La Batre,3,3,402500,0,0,0,0,0,0,1,50,2675254,3,3,402500,0,0,0,0,0,0,1,50,2675254
2001,01,043000,085,0167,9999,9999, ,36785      ,3,6,12,,Benton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,045000,073,0175,1000,9999, ,35020      ,3,6,12,,Bessemer,44,44,4038043,0,0,0,0,0,0,0,0,0,44,44,4038043,0,0,0,0,0,0,0,0,0
2001,01,048000,073,0185,1000,9999,1,35203      ,3,6,12,,Birmingham,108,108,13833579,0,0,0,0,0,0,2,24,1113202,108,108,13833579,0,0,0,0,0,0,2,24,1113202
2001,01,052000,009,0195,1000,9999, ,35031      ,3,6,12,,Blountsville town,1,1,118000,0,0,0,0,0,0,0,0,0,1,1,118000,0,0,0,0,0,0,0,0,0
2001,01,056000,095,0210,9999,9999, ,35957      ,3,6,12,,Boaz,26,26,2058215,0,0,0,0,0,0,0,0,0,26,26,2058215,0,0,0,0,0,0,0,0,0
2001,01,059000,115,0233,1000,9999, ,35120      ,3,6,0,,Branchville town,10,10,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,060000,041,0235,9999,9999, ,36009      ,3,6,12,,Brantley town,2,2,250000,0,0,0,0,0,0,0,0,0,2,2,250000,0,0,0,0,0,0,0,0,0
2001,01,062000,053,0245,9999,9999, ,36427      ,3,6,12,,Brewton,8,8,3470554,0,0,0,0,0,0,0,0,0,8,8,3470554,0,0,0,0,0,0,0,0,0
2001,01,063000,071,0250,9999,9999, ,35740      ,3,6,0,,Bridgeport,6,6,303999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,064000,073,0255,1000,9999, ,35020      ,3,6,12,,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,066000,073,0265,1000,9999, ,35036      ,3,6,12,,Brookside town,7,7,580575,0,0,0,0,0,0,0,0,0,7,7,580575,0,0,0,0,0,0,0,0,0
2001,01,068000,109,0275,9999,9999, ,36010      ,3,6,12,,Brundidge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,070000,023,0280,9999,9999, ,36904      ,3,6,12,,Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
