Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,01,001000,067,0005,222,20020, ,36310      ,3,6,12,,Abbeville,0,0,0,0,0,0,1,4,148044,1,6,222066,0,0,0,0,0,0,1,4,148044,1,6,222066
2003,01,002000,073,0010,142,13820, ,35005      ,3,6,0,,Adamsville,7,7,860071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,004000,065,0020,999,46220, ,35441      ,3,6,0,,Akron town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,005000,117,0025,142,13820, ,35007      ,3,6,12,,Alabaster,349,349,44002675,0,0,0,0,0,0,4,69,5173058,349,349,44002675,0,0,0,0,0,0,4,69,5173058
2003,01,006000,095,0030,999,99999, ,35950      ,3,6,12,,Albertville,87,87,11101000,2,4,320000,5,16,475000,0,0,0,87,87,11101000,2,4,320000,5,16,475000,0,0,0
2003,01,007000,123,0035,999,99999, ,35010      ,3,6,12,,Alexander City,30,30,3853637,0,0,0,0,0,0,0,0,0,30,30,3853637,0,0,0,0,0,0,0,0,0
2003,01,008000,107,0040,999,99999, ,35442      ,3,6,0,,Aliceville,4,4,257333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,012000,039,0055,999,99999, ,36420      ,3,6,12,,Andalusia,8,8,1240440,0,0,0,0,0,0,0,0,0,8,8,1240440,0,0,0,0,0,0,0,0,0
2003,01,014000,015,0060,999,11500,1,36202      ,3,6,3,,Anniston,23,23,1573988,0,0,0,0,0,0,0,0,0,2,2,230000,0,0,0,0,0,0,0,0,0
2003,01,016000,095,0065,999,99999, ,35016      ,3,6,12,,Arab,25,25,2284550,0,0,0,0,0,0,0,0,0,25,25,2284550,0,0,0,0,0,0,0,0,0
2003,01,017000,083,0070,290,26620, ,38449      ,3,6,12,,Ardmore town,3,3,217000,0,0,0,0,0,0,0,0,0,3,3,217000,0,0,0,0,0,0,0,0,0
2003,01,020000,045,0075,218,99999, ,36311      ,3,6,12,,Ariton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,022000,069,0080,222,20020, ,36312      ,3,6,12,,Ashford,8,8,1192760,0,0,0,0,0,0,0,0,0,8,8,1192760,0,0,0,0,0,0,0,0,0
2003,01,023000,027,0085,999,99999, ,36251      ,3,6,12,,Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,024000,115,0090,142,13820, ,35953      ,3,6,12,,Ashville town,12,12,1564345,0,0,0,0,0,0,0,0,0,12,12,1564345,0,0,0,0,0,0,0,0,0
2003,01,025000,083,0095,290,26620, ,35611      ,3,6,12,,Athens,97,97,13453651,0,0,0,3,12,1012500,12,72,4050000,97,97,13453651,0,0,0,3,12,1012500,12,72,4050000
2003,01,026000,053,0100,999,99999, ,36504      ,3,6,12,,Atmore,9,9,896800,0,0,0,0,0,0,0,0,0,9,9,896800,0,0,0,0,0,0,0,0,0
2003,01,027000,055,0105,999,23460, ,35954      ,3,6,12,,Attalla,11,11,1115500,0,0,0,0,0,0,0,0,0,11,11,1115500,0,0,0,0,0,0,0,0,0
2003,01,028000,081,0110,194,12220,1,36830      ,3,6,12,,Auburn,585,585,76555355,40,80,5295622,12,45,2957528,28,375,20001607,585,585,76555355,40,80,5295622,12,45,2957528,28,375,20001607
2003,01,031000,069,0120,222,20020, ,36312      ,3,6,12,,Avon town,1,1,60000,0,0,0,0,0,0,0,0,0,1,1,60000,0,0,0,0,0,0,0,0,0
2003,01,034000,003,    ,516,99999, ,36535      ,3,6,11,,Baldwin County Unincorporated Area,1408,1408,110067599,3,6,385450,0,0,0,0,0,0,1319,1319,98029078,3,6,385450,0,0,0,0,0,0
2003,01,037000,003,0135,516,99999, ,36507      ,3,6,0,,Bay Minette,10,10,1367300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,038000,097,0140,380,33660, ,36509      ,3,6,12,,Bayou La Batre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,043000,085,0167,388,33860, ,36785      ,3,6,0,,Benton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,045000,073,0175,142,13820, ,35020      ,3,6,12,,Bessemer,77,77,7871318,0,0,0,0,0,0,0,0,0,77,77,7871318,0,0,0,0,0,0,0,0,0
2003,01,048000,073,0185,142,13820,1,35203      ,3,6,12,,Birmingham,152,152,23868552,0,0,0,0,0,0,7,238,18180256,152,152,23868552,0,0,0,0,0,0,7,238,18180256
2003,01,052000,009,0195,142,13820, ,35031      ,3,6,12,,Blountsville town,3,3,346400,0,0,0,0,0,0,0,0,0,3,3,346400,0,0,0,0,0,0,0,0,0
2003,01,056000,095,0210,999,99999, ,35957      ,3,6,12,,Boaz,29,29,3308400,0,0,0,0,0,0,0,0,0,29,29,3308400,0,0,0,0,0,0,0,0,0
2003,01,059000,115,0233,142,13820, ,351204410  ,3,6,0,,Branchville town,11,11,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,060000,041,0235,999,99999, ,36009      ,3,6,12,,Brantley town,1,1,275000,0,0,0,0,0,0,0,0,0,1,1,275000,0,0,0,0,0,0,0,0,0
2003,01,062000,053,0245,999,99999, ,36427      ,3,6,12,,Brewton,10,10,904575,1,2,250000,0,0,0,0,0,0,10,10,904575,1,2,250000,0,0,0,0,0,0
2003,01,063000,071,0250,999,99999, ,35740      ,3,6,0,,Bridgeport,7,7,354666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
