Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,01,001000,067,0005,222,20020, , ,36310      ,3,6,12,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,002000,073,0010,142,13820, , ,35005      ,3,6,9,Adamsville,7,7,892996,0,0,0,0,0,0,0,0,0,5,5,612740,0,0,0,0,0,0,0,0,0
2005,01,004000,065,0020,999,46220, , ,35441      ,3,6,0,Akron town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,005000,117,0025,142,13820, , ,35007      ,3,6,12,Alabaster,305,305,45505257,0,0,0,0,0,0,0,0,0,305,305,45505257,0,0,0,0,0,0,0,0,0
2005,01,006000,095,0030,999,99999, , ,35950      ,3,6,11,Albertville,148,148,19073298,3,6,300000,2,6,240000,0,0,0,139,139,17726000,3,6,300000,2,6,240000,0,0,0
2005,01,007000,123,0035,999,99999, , ,35010      ,3,6,12,Alexander City,51,51,5961838,0,0,0,0,0,0,0,0,0,51,51,5961838,0,0,0,0,0,0,0,0,0
2005,01,008000,107,0040,999,99999, , ,35442      ,3,6,0,Aliceville,5,5,321666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,012000,039,0055,999,99999, , ,36420      ,3,6,12,Andalusia,11,11,1614246,0,0,0,0,0,0,0,0,0,11,11,1614246,0,0,0,0,0,0,0,0,0
2005,01,014000,015,0060,999,11500, ,1,36202      ,3,6,12,Anniston,15,15,3291845,0,0,0,0,0,0,0,0,0,15,15,3291845,0,0,0,0,0,0,0,0,0
2005,01,016000,095,0065,999,99999,2, ,35016      ,3,6,12,Arab,31,31,3626638,0,0,0,0,0,0,0,0,0,31,31,3626638,0,0,0,0,0,0,0,0,0
2005,01,017000,083,0070,290,26620, , ,38449      ,3,6,12,Ardmore town,3,3,369900,0,0,0,0,0,0,0,0,0,3,3,369900,0,0,0,0,0,0,0,0,0
2005,01,022000,069,0080,222,20020,2, ,36312      ,3,6,12,Ashford town,9,9,1150600,0,0,0,0,0,0,0,0,0,9,9,1150600,0,0,0,0,0,0,0,0,0
2005,01,023000,027,0085,999,99999,2, ,36251      ,3,6,12,Ashland town,2,2,185000,0,0,0,0,0,0,0,0,0,2,2,185000,0,0,0,0,0,0,0,0,0
2005,01,024000,115,0090,142,13820,2, ,35953      ,3,6,12,Ashville,6,6,867794,0,0,0,0,0,0,0,0,0,6,6,867794,0,0,0,0,0,0,0,0,0
2005,01,025000,083,0095,290,26620, , ,35612      ,3,6,12,Athens,281,281,35459867,0,0,0,0,0,0,0,0,0,281,281,35459867,0,0,0,0,0,0,0,0,0
2005,01,026000,053,0100,999,99999, , ,36504      ,3,6,5,Atmore,10,10,1085346,0,0,0,0,0,0,0,0,0,3,3,397450,0,0,0,0,0,0,0,0,0
2005,01,027000,055,0105,999,23460, , ,35954      ,3,6,12,Attalla,17,17,1473000,0,0,0,0,0,0,0,0,0,17,17,1473000,0,0,0,0,0,0,0,0,0
2005,01,028000,081,0110,194,12220, ,1,36830      ,3,6,12,Auburn,747,747,124252342,25,50,3430967,2,8,747481,26,295,20259121,747,747,124252342,25,50,3430967,2,8,747481,26,295,20259121
2005,01,031000,069,0120,222,20020, , ,36312      ,3,6,12,Avon town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
