Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8199,02,000500,020,,,,,12,12,ANCHORAGE CENSUS DIV. *. . . . . .,2160,2160,195979421,147,294,19599239,58,225,12994746,44,436,18797769,2160,2160,195979421,147,294,19599239,58,225,12994746,44,436,18797769
8199,02,001000,080,,,,,12,12,CORDOVA-MCCARTHY CENSUS DIV. * . .,4,4,320000,0,0,0,0,0,0,0,0,0,4,4,320000,0,0,0,0,0,0,0,0,0
8199,02,002000,090,,,,,0,0,FAIRBANKS. . . . . . . . . . . . .,59,59,4583698,0,0,0,0,0,0,13,120,9040606,0,0,0,0,0,0,0,0,0,0,0,0
8199,02,002100,090,,,,,0,0,FAIRBANKS NORTH STAR BORO UNINC. .,232,232,11719812,14,28,1224951,0,0,0,7,44,1569058,0,0,0,0,0,0,0,0,0,0,0,0
8199,02,002300,110,,,,,12,12,JUNEAU CENSUS DIV. * . . . . . . .,264,264,23454600,56,112,5988110,6,20,460400,7,76,5198000,264,264,23454600,56,112,5988110,6,20,460400,7,76,5198000
8199,02,002400,100,,,,,12,12,HAINES . . . . . . . . . . . . . .,7,7,350000,0,0,0,0,0,0,0,0,0,7,7,350000,0,0,0,0,0,0,0,0,0
8199,02,002800,150,,,,,12,12,KODIAK . . . . . . . . . . . . . .,20,20,1206077,4,8,332618,0,0,0,0,0,0,20,20,1206077,4,8,332618,0,0,0,0,0,0
8199,02,003200,120,,,,,12,12,KENAI. . . . . . . . . . . . . . .,43,43,3539000,0,0,0,0,0,0,0,0,0,43,43,3539000,0,0,0,0,0,0,0,0,0
8199,02,003500,130,,,,,11,11,KETCHIKAN. . . . . . . . . . . . .,22,22,1409868,7,14,603826,0,0,0,0,0,50000,21,21,1378560,7,14,603826,0,0,0,0,0,50000
8199,02,004000,150,,,,,12,12,KODIAK ISLAND BOROUGH UNINC. AREA.,28,28,1725458,0,0,0,0,0,0,0,0,0,28,28,1725458,0,0,0,0,0,0,0,0,0
8199,02,004500,170,,,,,12,12,PALMER . . . . . . . . . . . . . .,4,4,250014,0,0,0,0,0,0,0,0,0,4,4,250014,0,0,0,0,0,0,0,0,0
8199,02,004700,280,,,,,12,12,PETERSBURG . . . . . . . . . . . .,16,16,924110,2,4,83000,0,0,0,1,24,2200000,16,16,924110,2,4,83000,0,0,0,1,24,2200000
8199,02,005000,120,,,,,12,12,SELDOVIA . . . . . . . . . . . . .,1,1,38000,0,0,0,0,0,0,0,0,0,1,1,38000,0,0,0,0,0,0,0,0,0
8199,02,005500,210,,,,,12,12,SEWARD . . . . . . . . . . . . . .,4,4,280000,0,0,0,0,0,0,0,0,0,4,4,280000,0,0,0,0,0,0,0,0,0
8199,02,006000,220,,,,,12,12,SITKA CENSUS DIV. *. . . . . . . .,61,61,4898960,19,38,1831610,1,3,168000,1,5,432000,61,61,4898960,19,38,1831610,1,3,168000,1,5,432000
8199,02,006100,230,,,,,12,12,SKAGWAY. . . . . . . . . . . . . .,3,3,250000,0,0,0,0,0,0,0,0,0,3,3,250000,0,0,0,0,0,0,0,0,0
8199,02,006200,120,,,,,12,12,SOLDOTNA . . . . . . . . . . . . .,56,56,3641859,0,0,0,0,0,0,0,0,0,56,56,3641859,0,0,0,0,0,0,0,0,0
8199,02,006500,260,,,,,11,11,VALDEZ . . . . . . . . . . . . . .,31,31,2873954,3,6,425931,0,0,0,4,32,1150000,29,29,2772920,3,6,425931,0,0,0,4,32,1150000
8199,02,007000,280,,,,,12,12,WRANGELL . . . . . . . . . . . . .,10,10,357000,0,0,0,0,0,0,0,0,0,10,10,357000,0,0,0,0,0,0,0,0,0
8199,04,000200,001,,,,,12,12,APACHE CO. UNINC. AREA # . . . . .,56,56,1445847,0,0,0,1,4,40000,0,0,0,56,56,1445847,0,0,0,1,4,40000,0,0,0
8199,04,000300,021,,,,,12,12,APACHE JUNCTION (N). . . . . . . .,181,181,7160315,1,2,94315,12,47,1185477,0,0,0,181,181,7160315,1,2,94315,12,47,1185477,0,0,0
8199,04,000500,013,,,,,12,12,AVONDALE . . . . . . . . . . . . .,4,4,99895,0,0,0,16,64,1350000,1,6,143520,4,4,99895,0,0,0,16,64,1350000,1,6,143520
8199,04,000700,003,,,,,12,12,BENSON TOWN. . . . . . . . . . . .,8,8,249600,0,0,0,0,0,0,0,0,0,8,8,249600,0,0,0,0,0,0,0,0,0
8199,04,001100,003,,,,,12,12,BISBEE . . . . . . . . . . . . . .,2,2,75000,0,0,0,0,0,0,0,0,0,2,2,75000,0,0,0,0,0,0,0,0,0
8199,04,001500,013,,,,,12,12,BUCKEYE TOWN . . . . . . . . . . .,11,11,236148,0,0,0,0,0,0,0,0,0,11,11,236148,0,0,0,0,0,0,0,0,0
8199,04,002000,021,,,,,12,12,CASA GRANDE. . . . . . . . . . . .,94,94,4262254,0,0,0,4,16,372928,4,48,806092,94,94,4262254,0,0,0,4,16,372928,4,48,806092
8199,04,002500,013,,,,,12,12,CHANDLER . . . . . . . . . . . . .,944,944,28682232,5,10,189240,33,132,2216400,0,0,0,944,944,28682232,5,10,189240,33,132,2216400,0,0,0
8199,04,002600,025,,,,,12,12,CHINO VALLEY TOWN. . . . . . . . .,36,36,1309868,0,0,0,0,0,0,0,0,0,36,36,1309868,0,0,0,0,0,0,0,0,0
8199,04,002700,025,,,,,12,12,CLARKDALE TOWN . . . . . . . . . .,10,10,330460,0,0,0,0,0,0,0,0,0,10,10,330460,0,0,0,0,0,0,0,0,0
8199,04,003300,003,,,,,12,12,COCHISE CO. UNINC. AREA. . . . . .,185,185,7637693,0,0,0,0,0,0,0,0,0,185,185,7637693,0,0,0,0,0,0,0,0,0
8199,04,003400,005,,,,,12,12,COCONINO CO. UNINC. AREA # . . . .,391,391,16828280,0,0,0,0,0,0,2,26,1043528,391,391,16828280,0,0,0,0,0,0,2,26,1043528
8199,04,003500,021,,,,,12,12,COOLIDGE . . . . . . . . . . . . .,11,11,317742,0,0,0,0,0,0,1,50,1260000,11,11,317742,0,0,0,0,0,0,1,50,1260000
8199,04,003700,025,,,,,12,12,COTTONWOOD TOWN. . . . . . . . . .,33,33,1223061,11,22,451660,0,0,0,1,8,157800,33,33,1223061,11,22,451660,0,0,0,1,8,157800
8199,04,004000,003,,,,,12,12,DOUGLAS. . . . . . . . . . . . . .,21,21,1323965,0,0,0,0,0,0,2,24,700200,21,21,1323965,0,0,0,0,0,0,2,24,700200
8199,04,004400,013,,,,,12,12,EL MIRAGE TOWN . . . . . . . . . .,2,2,52000,0,0,0,0,0,0,5,35,515400,2,2,52000,0,0,0,0,0,0,5,35,515400
8199,04,004500,021,,,,,12,12,ELOY . . . . . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8199,04,005000,005,,,,,12,12,FLAGSTAFF. . . . . . . . . . . . .,248,248,15481319,8,16,528277,3,12,381598,17,200,5259168,248,248,15481319,8,16,528277,3,12,381598,17,200,5259168
8199,04,005500,021,,,,,12,12,FLORENCE TOWN. . . . . . . . . . .,5,5,92500,0,0,0,0,0,0,0,0,0,5,5,92500,0,0,0,0,0,0,0,0,0
8199,04,005600,005,,,,,12,12,FREDONIA TOWN. . . . . . . . . . .,1,1,54000,0,0,0,0,0,0,0,0,0,1,1,54000,0,0,0,0,0,0,0,0,0
8199,04,005800,007,,,,,12,12,GILA CO. UNINC. AREA # . . . . . .,230,230,7083395,0,0,0,0,0,0,0,0,0,230,230,7083395,0,0,0,0,0,0,0,0,0
8199,04,005900,013,,,,,12,12,GILA BEND TOWN . . . . . . . . . .,6,6,210500,0,0,0,0,0,0,0,0,0,6,6,210500,0,0,0,0,0,0,0,0,0
8199,04,006000,013,,,,,12,12,GILBERT TOWN . . . . . . . . . . .,110,110,6429438,1,2,40000,4,16,341880,0,0,0,110,110,6429438,1,2,40000,4,16,341880,0,0,0
8199,04,006500,013,,,,,12,12,GLENDALE . . . . . . . . . . . . .,783,783,25762926,1,2,19000,2,7,107600,28,346,4421000,783,783,25762926,1,2,19000,2,7,107600,28,346,4421000
8199,04,007000,007,,,,,12,12,GLOBE. . . . . . . . . . . . . . .,13,13,309035,0,0,0,0,0,0,0,0,0,13,13,309035,0,0,0,0,0,0,0,0,0
8199,04,007500,013,,,,,12,12,GOODYEAR TOWN. . . . . . . . . . .,7,7,277000,0,0,0,0,0,0,1,60,1200000,7,7,277000,0,0,0,0,0,0,1,60,1200000
8199,04,007600,009,,,,,12,12,GRAHAM CO. UNINC. AREA # . . . . .,44,44,1389510,0,0,0,0,0,0,0,0,0,44,44,1389510,0,0,0,0,0,0,0,0,0
8199,04,007650,011,,,,,12,12,GREENLEE COUNTY *. . . . . . . . .,11,11,319855,0,0,0,0,0,0,0,0,0,11,11,319855,0,0,0,0,0,0,0,0,0
8199,04,007675,013,,,,,12,12,GUADALUPE TOWN . . . . . . . . . .,7,7,193004,0,0,0,0,0,0,0,0,0,7,7,193004,0,0,0,0,0,0,0,0,0
8199,04,007700,007,,,,,12,12,HAYDEN TOWN. . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8199,04,007900,017,,,,,12,12,HOLBROOK . . . . . . . . . . . . .,6,6,207900,0,0,0,0,0,0,0,0,0,6,6,207900,0,0,0,0,0,0,0,0,0
8199,04,008000,003,,,,,12,12,HUACHUCA TOWN. . . . . . . . . . .,1,1,35000,0,0,0,14,44,1040890,0,0,0,1,1,35000,0,0,0,14,44,1040890,0,0,0
8199,04,008500,025,,,,,12,12,JEROME TOWN. . . . . . . . . . . .,1,1,25000,0,0,0,0,0,0,0,0,0,1,1,25000,0,0,0,0,0,0,0,0,0
8199,04,008700,021,,,,,12,12,KEARNY TOWN. . . . . . . . . . . .,3,3,131000,0,0,0,0,0,0,0,0,0,3,3,131000,0,0,0,0,0,0,0,0,0
8199,04,009000,015,,,,,12,12,KINGMAN. . . . . . . . . . . . . .,109,109,6884902,3,6,299474,1,4,99800,0,0,0,109,109,6884902,3,6,299474,1,4,99800,0,0,0
8199,04,009100,015,,,,,12,12,LAKE HAVASU CITY . . . . . . . . .,300,300,12209222,6,12,352419,1,4,122784,8,79,2295787,300,300,12209222,6,12,352419,1,4,122784,8,79,2295787
8199,04,009350,019,,,,,12,12,MARANA TOWN. . . . . . . . . . . .,2,2,75739,1,2,24251,0,0,0,0,0,0,2,2,75739,1,2,24251,0,0,0,0,0,0
8199,04,009500,013,,,,,12,12,MARICOPA CO. UNINC. AREA . . . . .,2460,2460,122819711,6,12,410000,9,34,683320,13,101,1956248,2460,2460,122819711,6,12,410000,9,34,683320,13,101,1956248
8199,04,010000,013,,,,,12,12,MESA . . . . . . . . . . . . . . .,1568,1568,60644771,143,286,7252328,49,186,5214550,43,2546,67062538,1568,1568,60644771,143,286,7252328,49,186,5214550,43,2546,67062538
8199,04,010500,007,,,,,12,12,MIAMI TOWN . . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,1,32,800000,0,0,0,0,0,0,0,0,0,1,32,800000
8199,04,010800,015,,,,,12,12,MOHAVE CO. UNINC. AREA . . . . . .,323,323,9638728,3,6,106212,13,40,957257,3,29,565938,323,323,9638728,3,6,106212,13,40,957257,3,29,565938
8199,04,010900,017,,,,,12,12,NAVAJO CO. UNINC. AREA . . . . . .,378,378,12975009,2,4,212971,2,8,295688,1,6,225216,378,378,12975009,2,4,212971,2,8,295688,1,6,225216
8199,04,011000,023,,,,,12,12,NOGALES. . . . . . . . . . . . . .,98,98,2338251,0,0,0,0,0,0,0,0,0,98,98,2338251,0,0,0,0,0,0,0,0,0
8199,04,011050,019,,,,,12,12,ORO VALLEY TOWN. . . . . . . . . .,13,13,1740000,0,0,0,0,0,0,0,0,0,13,13,1740000,0,0,0,0,0,0,0,0,0
8199,04,011100,013,,,,,12,12,PARADISE VALLEY TOWN . . . . . . .,78,78,10548235,0,0,0,0,0,0,0,0,0,78,78,10548235,0,0,0,0,0,0,0,0,0
8199,04,011200,027,,,,,12,12,PARKER TOWN. . . . . . . . . . . .,4,4,127960,0,0,0,0,0,0,0,0,0,4,4,127960,0,0,0,0,0,0,0,0,0
8199,04,011300,023,,,,,12,12,PATAGONIA. . . . . . . . . . . . .,3,3,61000,3,6,51000,1,4,29400,0,0,0,3,3,61000,3,6,51000,1,4,29400,0,0,0
8199,04,011400,007,,,,,12,12,PAYSON TOWN. . . . . . . . . . . .,133,133,2869594,5,10,94090,1,4,62400,0,0,0,133,133,2869594,5,10,94090,1,4,62400,0,0,0
8199,04,011500,013,,,,,12,12,PEORIA . . . . . . . . . . . . . .,276,276,6693335,12,24,458016,6,24,394400,0,0,0,276,276,6693335,12,24,458016,6,24,394400,0,0,0
8199,04,012000,013,,,,,12,12,PHOENIX. . . . . . . . . . . . . .,4347,4347,200367454,32,64,1465293,85,305,5272483,274,5162,92872826,4347,4347,200367454,32,64,1465293,85,305,5272483,274,5162,92872826
8199,04,012200,009,,,,,12,12,PIMA . . . . . . . . . . . . . . .,2,2,72000,0,0,0,0,0,0,0,0,0,2,2,72000,0,0,0,0,0,0,0,0,0
8199,04,012500,019,,,,,12,12,PIMA CO. UNINC. AREA . . . . . . .,1765,1765,106620432,5,10,269100,0,0,0,5,442,11067600,1765,1765,106620432,5,10,269100,0,0,0,5,442,11067600
8199,04,012700,021,,,,,12,12,PINAL CO. UNINC. AREA #. . . . . .,252,252,9259703,0,0,0,12,48,825000,1,10,250000,252,252,9259703,0,0,0,12,48,825000,1,10,250000
8199,04,013000,025,,,,,12,12,PRESCOTT . . . . . . . . . . . . .,185,185,8819194,4,8,292927,12,48,1004028,4,38,992750,185,185,8819194,4,8,292927,12,48,1004028,4,38,992750
8199,04,013300,025,,,,,12,12,PRESCOTT VALLEY TOWN (N) . . . . .,147,147,3326168,9,18,305037,2,6,101935,0,0,0,147,147,3326168,9,18,305037,2,6,101935,0,0,0
