Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep,
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8499,2,500,20,380,,4,9,12,12,ANCHORAGE BOROUGH. . . . . . . . .,2615,2615,238347770,149,298,19950996,168,644,39284591,104,1028,59563521,2615,2615,238347770,149,298,19950996,168,644,39284591,104,1028,59563521
8499,2,1000,261,9999,,4,9,12,12,CORDOVA #. . . . . . . . . . . . .,2,2,127028,0,0,0,0,0,0,0,0,0,2,2,127028,0,0,0,0,0,0,0,0,0
8499,2,2000,90,9999,,4,9,6,6,FAIRBANKS. . . . . . . . . . . . .,192,192,12047599,23,46,3079059,38,149,6204995,2,29,1507021,72,72,5596465,23,46,3079059,3,12,628205,2,29,1507021
8499,2,2100,90,9999,,4,9,11,11,FAIRBANKS NORTH STAR BORO UNINC. .,150,150,14488841,15,30,1805957,9,36,620000,2,16,780000,141,141,13438500,14,28,1747500,9,36,620000,2,16,780000
8499,2,2300,110,9999,,4,9,11,11,JUNEAU BOROUGH . . . . . . . . . .,278,278,29233303,19,38,2943330,17,67,4187269,7,144,5493396,260,260,27114930,8,16,1319058,17,67,4187269,6,126,4832331
8499,2,2400,100,9999,,4,9,12,12,HAINES . . . . . . . . . . . . . .,15,15,692454,1,2,82000,0,0,0,0,0,0,15,15,692454,1,2,82000,0,0,0,0,0,0
8499,2,2600,122,9999,,4,9,12,12,HOMER (N). . . . . . . . . . . . .,61,61,4465526,11,22,1237500,17,63,3171000,2,24,800000,61,61,4465526,11,22,1237500,17,63,3171000,2,24,800000
8499,2,2800,150,9999,,4,9,12,12,KODIAK . . . . . . . . . . . . . .,31,31,2846329,4,8,511710,4,16,911226,2,19,764232,31,31,2846329,4,8,511710,4,16,911226,2,19,764232
8499,2,3200,122,9999,,4,9,12,12,KENAI. . . . . . . . . . . . . . .,104,104,7596600,12,24,1330000,9,32,1514000,2,24,750000,104,104,7596600,12,24,1330000,9,32,1514000,2,24,750000
8499,2,3500,130,9999,,4,9,12,12,KETCHIKAN. . . . . . . . . . . . .,30,30,2033834,7,14,884000,0,0,0,1,12,570000,30,30,2033834,7,14,884000,0,0,0,1,12,570000
8499,2,3700,130,9999,,4,9,12,12,KETCHIKAN GATEWAY BORO. UNINC. . .,58,58,2779070,10,20,465060,0,0,0,1,12,251028,58,58,2779070,10,20,465060,0,0,0,1,12,251028
8499,2,4000,150,9999,,4,9,12,12,KODIAK ISLAND BOROUGH UNINC. AREA.,58,58,6634724,0,0,0,0,0,0,0,0,0,58,58,6634724,0,0,0,0,0,0,0,0,0
8499,2,4300,90,9999,,4,9,12,12,NORTH POLE (N) . . . . . . . . . .,11,11,498500,5,10,285400,6,24,138000,0,0,0,11,11,498500,5,10,285400,6,24,138000,0,0,0
8499,2,4500,170,9999,,4,9,12,12,PALMER . . . . . . . . . . . . . .,67,67,3785882,0,0,0,2,8,348625,0,0,0,67,67,3785882,0,0,0,2,8,348625,0,0,0
8499,2,4700,280,9999,,4,9,12,12,PETERSBURG . . . . . . . . . . . .,18,18,1421166,3,6,319920,0,0,0,1,9,820000,18,18,1421166,3,6,319920,0,0,0,1,9,820000
8499,2,5000,122,9999,,4,9,12,12,SELDOVIA . . . . . . . . . . . . .,6,6,320800,0,0,0,0,0,0,0,0,0,6,6,320800,0,0,0,0,0,0,0,0,0
8499,2,5500,122,9999,,4,9,12,12,SEWARD . . . . . . . . . . . . . .,6,6,644500,2,4,220000,1,4,230000,5,45,920000,6,6,644500,2,4,220000,1,4,230000,5,45,920000
8499,2,6000,220,9999,,4,9,8,8,SITKA BOROUGH. . . . . . . . . . .,31,31,2664383,5,10,540035,3,12,249829,0,0,0,21,21,1687464,2,4,243564,3,12,249829,0,0,0
8499,2,6100,231,9999,,4,9,12,12,SKAGWAY. . . . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,2,6200,122,9999,,4,9,12,12,SOLDOTNA . . . . . . . . . . . . .,35,35,1992000,2,4,126000,8,32,1115000,2,23,870000,35,35,1992000,2,4,126000,8,32,1115000,2,23,870000
8499,2,6500,261,9999,,4,9,12,12,VALDEZ # . . . . . . . . . . . . .,6,6,448720,0,0,0,1,4,160000,0,0,0,6,6,448720,0,0,0,1,4,160000,0,0,0
8499,2,7000,280,9999,,4,9,12,12,WRANGELL . . . . . . . . . . . . .,5,5,264560,0,0,0,0,0,0,0,0,0,5,5,264560,0,0,0,0,0,0,0,0,0
8499,4,200,1,9999,,4,8,12,12,APACHE CO. UNINC. AREA . . . . . .,60,60,1760506,0,0,0,1,4,53000,0,0,0,60,60,1760506,0,0,0,1,4,53000,0,0,0
8499,4,300,21,9999,,4,8,12,12,APACHE JUNCTION. . . . . . . . . .,81,81,3568855,0,0,0,11,44,1092650,1,5,91728,81,81,3568855,0,0,0,11,44,1092650,1,5,91728
8499,4,500,13,6200,,4,8,12,12,AVONDALE . . . . . . . . . . . . .,52,52,1880090,0,0,0,5,18,220400,0,0,0,52,52,1880090,0,0,0,5,18,220400,0,0,0
8499,4,700,3,9999,,4,8,12,12,BENSON TOWN. . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,4,1100,3,9999,,4,8,12,12,BISBEE . . . . . . . . . . . . . .,6,6,204000,0,0,0,0,0,0,0,0,0,6,6,204000,0,0,0,0,0,0,0,0,0
8499,4,1500,13,6200,,4,8,12,12,BUCKEYE TOWN . . . . . . . . . . .,4,4,62000,0,0,0,1,4,50000,0,0,0,4,4,62000,0,0,0,1,4,50000,0,0,0
8499,4,2000,21,9999,,4,8,12,12,CASA GRANDE. . . . . . . . . . . .,35,35,2128666,2,4,162996,0,0,0,0,0,0,35,35,2128666,2,4,162996,0,0,0,0,0,0
8499,4,2500,13,6200,,4,8,9,9,CHANDLER . . . . . . . . . . . . .,2479,2479,142370568,11,22,812898,22,86,2820506,107,1770,38533700,2022,2022,117623027,7,14,493280,17,68,2226288,68,1457,29189128
8499,4,2600,25,9999,,4,8,12,12,CHINO VALLEY TOWN. . . . . . . . .,38,38,1112279,0,0,0,0,0,0,0,0,0,38,38,1112279,0,0,0,0,0,0,0,0,0
8499,4,2700,25,9999,,4,8,12,12,CLARKDALE TOWN . . . . . . . . . .,18,18,1029329,0,0,0,0,0,0,0,0,0,18,18,1029329,0,0,0,0,0,0,0,0,0
8499,4,3300,3,9999,,4,8,12,12,COCHISE CO. UNINC. AREA. . . . . .,200,200,10471407,0,0,0,0,0,0,3,23,865000,200,200,10471407,0,0,0,0,0,0,3,23,865000
8499,4,3400,5,9999,,4,8,11,11,COCONINO CO. UNINC. AREA . . . . .,371,371,18052624,0,0,0,0,0,0,8,173,5508873,342,342,16518479,0,0,0,0,0,0,7,168,5490037
8499,4,3500,21,9999,,4,8,12,12,COOLIDGE . . . . . . . . . . . . .,1,1,50000,0,0,0,0,0,0,2,12,280000,1,1,50000,0,0,0,0,0,0,2,12,280000
8499,4,3700,25,9999,,4,8,12,12,COTTONWOOD TOWN. . . . . . . . . .,41,41,2003309,2,4,91872,2,8,164729,0,0,0,41,41,2003309,2,4,91872,2,8,164729,0,0,0
8499,4,4000,3,9999,,4,8,12,12,DOUGLAS. . . . . . . . . . . . . .,11,11,816800,0,0,0,0,0,0,0,0,0,11,11,816800,0,0,0,0,0,0,0,0,0
8499,4,4100,11,9999,,4,8,1,1,DUNCAN TOWN. . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,4,4200,1,9999,,4,8,10,10,EAGAR TOWN . . . . . . . . . . . .,37,37,1336480,0,0,0,0,0,0,0,0,0,37,37,1336480,0,0,0,0,0,0,0,0,0
8499,4,4400,13,6200,,4,8,12,12,EL MIRAGE TOWN . . . . . . . . . .,3,3,195625,10,20,1572648,0,0,0,0,0,0,3,3,195625,10,20,1572648,0,0,0,0,0,0
8499,4,4500,21,9999,,4,8,12,12,ELOY . . . . . . . . . . . . . . .,2,2,38500,1,2,25000,0,0,0,0,0,0,2,2,38500,1,2,25000,0,0,0,0,0,0
8499,4,5000,5,9999,,4,8,12,12,FLAGSTAFF. . . . . . . . . . . . .,391,391,25014628,28,56,2308362,10,34,976516,1,10,269000,391,391,25014628,28,56,2308362,10,34,976516,1,10,269000
8499,4,5500,21,9999,,4,8,12,12,FLORENCE TOWN. . . . . . . . . . .,6,6,125000,2,4,100760,6,24,2100000,0,0,0,6,6,125000,2,4,100760,6,24,2100000,0,0,0
8499,4,5600,5,9999,,4,8,12,12,FREDONIA TOWN. . . . . . . . . . .,1,1,36000,0,0,0,0,0,0,0,0,0,1,1,36000,0,0,0,0,0,0,0,0,0
8499,4,5800,7,9999,,4,8,12,12,GILA BAL. OF CO. # . . . . . . . .,245,245,9185955,0,0,0,0,0,0,0,0,0,245,245,9185955,0,0,0,0,0,0,0,0,0
8499,4,5900,13,6200,,4,8,12,12,GILA BEND TOWN . . . . . . . . . .,4,4,97200,0,0,0,0,0,0,0,0,0,4,4,97200,0,0,0,0,0,0,0,0,0
8499,4,6000,13,6200,,4,8,12,12,GILBERT TOWN . . . . . . . . . . .,358,358,20535987,12,24,616566,6,24,583368,24,276,7308903,358,358,20535987,12,24,616566,6,24,583368,24,276,7308903
8499,4,6500,13,6200,,4,8,12,12,GLENDALE . . . . . . . . . . . . .,1420,1420,87283402,11,22,906368,0,0,0,358,4483,105184419,1420,1420,87283402,11,22,906368,0,0,0,358,4483,105184419
8499,4,7000,7,9999,,4,8,12,12,GLOBE. . . . . . . . . . . . . . .,3,3,60000,0,0,500,0,0,0,0,0,0,3,3,60000,0,0,500,0,0,0,0,0,0
8499,4,7500,13,6200,,4,8,8,8,GOODYEAR TOWN. . . . . . . . . . .,10,10,428461,0,0,0,0,0,0,0,0,0,7,7,316012,0,0,0,0,0,0,0,0,0
8499,4,7600,9,9999,,4,8,12,12,GRAHAM CO. UNINC. AREA . . . . . .,20,20,678500,0,0,0,0,0,0,0,0,0,20,20,678500,0,0,0,0,0,0,0,0,0
8499,4,7650,11,9999,,4,8,12,12,GREENLEE BAL. OF CO. # . . . . . .,1,1,30000,0,0,0,0,0,0,0,0,0,1,1,30000,0,0,0,0,0,0,0,0,0
8499,4,7675,13,6200,,4,8,0,0,GUADALUPE TOWN . . . . . . . . . .,11,11,317793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,4,7700,7,9999,,4,8,12,12,HAYDEN TOWN. . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,4,7900,17,9999,,4,8,0,0,HOLBROOK . . . . . . . . . . . . .,5,5,167075,0,0,0,0,0,0,2,10,67815,0,0,0,0,0,0,0,0,0,0,0,0
8499,4,8000,3,9999,,4,8,12,12,HUACHUCA CITY TOWN . . . . . . . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,4,8500,25,9999,,4,8,12,12,JEROME TOWN. . . . . . . . . . . .,2,2,36000,0,0,0,0,0,0,0,0,0,2,2,36000,0,0,0,0,0,0,0,0,0
8499,4,8700,21,9999,,4,8,12,12,KEARNY TOWN. . . . . . . . . . . .,1,1,50000,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,0,0,0,0
8499,4,9000,15,9999,,4,8,12,12,KINGMAN. . . . . . . . . . . . . .,85,85,2652784,5,10,287392,3,10,196024,0,0,0,85,85,2652784,5,10,287392,3,10,196024,0,0,0
8499,4,9100,15,9999,,4,8,12,12,LAKE HAVASU CITY . . . . . . . . .,478,478,20392936,19,38,1791744,8,32,617030,16,185,4883992,478,478,20392936,19,38,1791744,8,32,617030,16,185,4883992
8499,4,9200,12,9999,,4,8,12,12,LA PAZ CO. UNINC. AREA # . . . . .,12,12,648757,0,0,0,0,0,0,0,0,0,12,12,648757,0,0,0,0,0,0,0,0,0
8499,4,9350,19,8520,,4,8,12,12,MARANA TOWN. . . . . . . . . . . .,3,3,143669,0,0,0,0,0,0,0,0,0,3,3,143669,0,0,0,0,0,0,0,0,0
8499,4,9500,13,6200,,4,8,12,12,MARICOPA CO. UNINC. AREA . . . . .,3633,3633,194777913,0,0,0,74,289,9410867,78,1188,28770573,3633,3633,194777913,0,0,0,74,289,9410867,78,1188,28770573
8499,4,10000,13,6200,,4,8,12,12,MESA . . . . . . . . . . . . . . .,2803,2803,173886975,41,82,2852370,117,465,14464329,641,9260,311912291,2803,2803,173886975,41,82,2852370,117,465,14464329,641,9260,311912291
8499,4,10500,7,9999,,4,8,12,12,MIAMI TOWN . . . . . . . . . . . .,0,0,0,0,0,0,0,0,0,1,7,47344,0,0,0,0,0,0,0,0,0,1,7,47344
8499,4,10800,15,9999,,4,8,12,12,MOHAVE CO. UNINC. AREA . . . . . .,509,509,23671139,7,14,505582,25,99,2265592,28,256,7063241,509,509,23671139,7,14,505582,25,99,2265592,28,256,7063241
8499,4,10900,17,9999,,4,8,12,12,NAVAJO CO. UNINC. AREA . . . . . .,496,496,17787153,1,2,29808,1,4,77184,0,0,0,496,496,17787153,1,2,29808,1,4,77184,0,0,0
8499,4,11000,23,9999,,4,8,12,12,NOGALES. . . . . . . . . . . . . .,24,24,1332267,0,0,0,2,7,145540,2,62,1857200,24,24,1332267,0,0,0,2,7,145540,2,62,1857200
8499,4,11050,19,8520,,4,8,12,12,ORO VALLEY TOWN. . . . . . . . . .,49,49,3772600,0,0,0,0,0,0,0,0,0,49,49,3772600,0,0,0,0,0,0,0,0,0
8499,4,11075,5,9999,,4,8,10,10,PAGE TOWN. . . . . . . . . . . . .,45,45,3160138,0,0,0,1,4,162230,0,0,0,45,45,3160138,0,0,0,1,4,162230,0,0,0
8499,4,11100,13,6200,,4,8,12,12,PARADISE VALLEY TOWN . . . . . . .,82,82,13409585,0,0,0,0,0,0,0,0,0,82,82,13409585,0,0,0,0,0,0,0,0,0
