Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8899,02,000500,020,0380,9999,4,9,12,12,Anchorage Borough,230,230,32803365,0,0,0,0,0,0,0,0,0,230,230,32803365,0,0,0,0,0,0,0,0,0
8899,02,001000,261,9999,9999,4,9,11,11,Cordova,4,4,436295,0,0,0,0,0,0,0,0,0,4,4,436295,0,0,0,0,0,0,0,0,0
8899,02,002000,090,9999,9999,4,9,0,0,FairbanKS,55,55,3791490,13,26,2736126,29,102,7434099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,02,002100,090,9999,9999,4,9,12,12,Fairbanks North Star Borough Unincorporated Area,37,37,1699498,26,52,4853316,23,92,8586686,0,0,0,37,37,1699498,26,52,4853316,23,92,8586686,0,0,0
8899,02,002300,110,9999,9999,4,9,12,12,Juneau Borough,9,9,1015980,0,0,0,0,0,0,0,0,0,9,9,1015980,0,0,0,0,0,0,0,0,0
8899,02,002400,100,9999,9999,4,9,12,12,Haines,7,7,305000,0,0,0,0,0,0,0,0,0,7,7,305000,0,0,0,0,0,0,0,0,0
8899,02,002600,122,9999,9999,4,9,12,12,Homer,6,6,241300,0,0,0,0,0,0,0,0,0,6,6,241300,0,0,0,0,0,0,0,0,0
8899,02,002800,150,9999,9999,4,9,12,12,Kodiak City - Kodiak Island Borough,37,37,3983729,8,16,942553,3,11,661271,0,0,0,37,37,3983729,8,16,942553,3,11,661271,0,0,0
8899,02,003200,122,9999,9999,4,9,12,12,Kenai,6,6,568000,0,0,0,0,0,0,0,0,0,6,6,568000,0,0,0,0,0,0,0,0,0
8899,02,003500,130,9999,9999,4,9,12,12,Ketchikan,20,20,1389684,0,0,0,0,0,0,0,0,0,20,20,1389684,0,0,0,0,0,0,0,0,0
8899,02,003700,130,9999,9999,4,9,0,0,Ketchikan Gateway Borough Unincorporated Area,35,35,2274615,2,4,187204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,02,004000,150,9999,9999,4,9,3,3,Kodiak Island Borough Unincorporated Area,6,6,542067,1,2,68878,0,0,0,0,0,0,3,3,152624,0,0,0,0,0,0,0,0,0
8899,02,004300,090,9999,9999,4,9,12,12,North Pole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,02,004500,170,9999,9999,4,9,12,12,Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,02,004700,280,9999,9999,4,9,12,12,Petersburg,3,3,222075,1,2,93260,0,0,0,0,0,0,3,3,222075,1,2,93260,0,0,0,0,0,0
8899,02,005000,122,9999,9999,4,9,12,12,Seldovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,02,005500,122,9999,9999,4,9,12,12,Seward,28,28,1939496,0,0,0,0,0,0,0,0,0,28,28,1939496,0,0,0,0,0,0,0,0,0
8899,02,006000,220,9999,9999,4,9,0,0,Sitka Borough,26,26,2440954,4,8,454348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,02,006100,231,9999,9999,4,9,12,12,Skagway,2,2,125000,1,2,50000,0,0,0,0,0,0,2,2,125000,1,2,50000,0,0,0,0,0,0
8899,02,006200,122,9999,9999,4,9,12,12,Soldotna,1,1,80000,1,2,30000,0,0,0,0,0,0,1,1,80000,1,2,30000,0,0,0,0,0,0
8899,02,006500,261,9999,9999,4,9,0,0,Valdez,4,4,658612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,02,007000,280,9999,9999,4,9,12,12,Wrangell,10,10,481000,1,2,85000,0,0,0,0,0,0,10,10,481000,1,2,85000,0,0,0,0,0,0
8899,04,000200,001,9999,9999,4,8,12,12,Apache County Unincorporated Area,44,44,2110636,0,0,0,0,0,0,0,0,0,44,44,2110636,0,0,0,0,0,0,0,0,0
8899,04,000300,021,9999,9999,4,8,12,12,Apache Junction,31,31,1750827,0,0,0,0,0,0,6,112,2953622,31,31,1750827,0,0,0,0,0,0,6,112,2953622
8899,04,000500,013,6200,9999,4,8,12,12,Avondale,242,242,14934035,0,0,0,0,0,0,1,5,55250,242,242,14934035,0,0,0,0,0,0,1,5,55250
8899,04,000700,003,9999,9999,4,8,12,12,Benson,1,1,20000,0,0,0,0,0,0,0,0,0,1,1,20000,0,0,0,0,0,0,0,0,0
8899,04,001100,003,9999,9999,4,8,12,12,Bisbee,1,1,35000,0,0,0,0,0,0,0,0,0,1,1,35000,0,0,0,0,0,0,0,0,0
8899,04,001500,013,6200,9999,4,8,12,12,Buckeye town,1,1,43000,0,0,0,0,0,0,0,0,0,1,1,43000,0,0,0,0,0,0,0,0,0
8899,04,001600,025,9999,9999,4,8,12,12,Camp Verde town,35,35,1897650,0,0,0,0,0,0,0,0,0,35,35,1897650,0,0,0,0,0,0,0,0,0
8899,04,001700,015,9999,9999,4,8,12,12,Bullhead,281,281,19790787,8,16,541010,4,14,480942,6,88,2843101,281,281,19790787,8,16,541010,4,14,480942,6,88,2843101
8899,04,001800,013,6200,9999,4,8,12,12,Carefree town,31,31,8766482,0,0,0,0,0,0,0,0,0,31,31,8766482,0,0,0,0,0,0,0,0,0
8899,04,002000,021,9999,9999,4,8,12,12,Casa Grande,114,114,7899200,0,0,0,2,6,294252,0,0,0,114,114,7899200,0,0,0,2,6,294252,0,0,0
8899,04,002200,013,6200,9999,4,8,12,12,Cave Creek town,20,20,2684700,0,0,0,0,0,0,0,0,0,20,20,2684700,0,0,0,0,0,0,0,0,0
8899,04,002500,013,6200,9999,4,8,12,12,Chandler,1101,1101,95716098,0,0,0,0,0,0,30,440,17935082,1101,1101,95716098,0,0,0,0,0,0,30,440,17935082
8899,04,002600,025,9999,9999,4,8,12,12,Chino Valley town,22,22,799740,0,0,0,0,0,0,0,0,0,22,22,799740,0,0,0,0,0,0,0,0,0
8899,04,002700,025,9999,9999,4,8,12,12,Clarkdale town,28,28,3772636,0,0,0,0,0,0,0,0,0,28,28,3772636,0,0,0,0,0,0,0,0,0
8899,04,003300,003,9999,9999,4,8,12,12,Cochise County Unincorporated Area,243,243,12370417,0,0,0,0,0,0,0,0,0,243,243,12370417,0,0,0,0,0,0,0,0,0
8899,04,003400,005,9999,9999,4,8,12,12,Coconino County Unincorporated Area,302,302,30135965,3,6,102006,0,0,0,0,0,0,302,302,30135965,3,6,102006,0,0,0,0,0,0
8899,04,003450,015,9999,9999,4,8,12,12,Colorado City town,4,4,276576,0,0,0,0,0,0,0,0,0,4,4,276576,0,0,0,0,0,0,0,0,0
8899,04,003500,021,9999,9999,4,8,12,12,Coolidge,2,2,104000,0,0,0,0,0,0,0,0,0,2,2,104000,0,0,0,0,0,0,0,0,0
8899,04,003700,025,9999,9999,4,8,12,12,Cottonwood,25,25,1462974,2,4,180103,0,0,0,0,0,0,25,25,1462974,2,4,180103,0,0,0,0,0,0
8899,04,004000,003,9999,9999,4,8,12,12,Douglas,22,22,1154480,0,0,0,1,4,74000,0,0,0,22,22,1154480,0,0,0,1,4,74000,0,0,0
8899,04,004100,011,9999,9999,4,8,12,12,Duncan town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,04,004200,001,9999,9999,4,8,12,12,Eagar town,14,14,812264,0,0,0,0,0,0,0,0,0,14,14,812264,0,0,0,0,0,0,0,0,0
8899,04,004400,013,6200,9999,4,8,12,12,El Mirage town,3,3,202000,0,0,0,0,0,0,0,0,0,3,3,202000,0,0,0,0,0,0,0,0,0
8899,04,004500,021,9999,9999,4,8,12,12,Eloy,7,7,288703,1,2,5000,0,0,0,0,0,0,7,7,288703,1,2,5000,0,0,0,0,0,0
8899,04,005000,005,9999,9999,4,8,12,12,Flagstaff,295,295,20940636,12,24,977622,7,28,761000,6,100,2565769,295,295,20940636,12,24,977622,7,28,761000,6,100,2565769
8899,04,005500,021,9999,9999,4,8,12,12,Florence town,2,2,88000,0,0,0,0,0,0,0,0,0,2,2,88000,0,0,0,0,0,0,0,0,0
8899,04,005600,005,9999,9999,4,8,12,12,Fredonia town,3,3,79000,0,0,0,0,0,0,0,0,0,3,3,79000,0,0,0,0,0,0,0,0,0
8899,04,005800,007,9999,9999,4,8,12,12,Gila Balance of County,126,126,7340073,0,0,0,0,0,0,0,0,0,126,126,7340073,0,0,0,0,0,0,0,0,0
8899,04,005900,013,6200,9999,4,8,12,12,Gila Bend town,2,2,69000,0,0,0,0,0,0,0,0,0,2,2,69000,0,0,0,0,0,0,0,0,0
8899,04,006000,013,6200,9999,4,8,12,12,Gilbert town,1249,1249,104869214,0,0,0,0,0,0,36,628,21224009,1249,1249,104869214,0,0,0,0,0,0,36,628,21224009
8899,04,006500,013,6200,9999,4,8,12,12,Glendale,758,758,74211215,1,2,105612,3,12,316836,23,380,11207742,758,758,74211215,1,2,105612,3,12,316836,23,380,11207742
8899,04,007000,007,9999,9999,4,8,12,12,Globe,4,4,255596,1,2,60394,1,4,120789,5,40,1207878,4,4,255596,1,2,60394,1,4,120789,5,40,1207878
8899,04,007500,013,6200,9999,4,8,12,12,Goodyear,70,70,5488770,0,0,0,0,0,0,0,0,0,70,70,5488770,0,0,0,0,0,0,0,0,0
8899,04,007600,009,9999,9999,4,8,12,12,Graham County Unincorporated Area,31,31,1386900,0,0,0,0,0,0,0,0,0,31,31,1386900,0,0,0,0,0,0,0,0,0
8899,04,007650,011,9999,9999,4,8,12,12,Greenlee Balance of County,1,1,40000,0,0,0,0,0,0,0,0,0,1,1,40000,0,0,0,0,0,0,0,0,0
8899,04,007675,013,6200,9999,4,8,12,12,Guadalupe town,13,13,159533,0,0,0,0,0,0,0,0,0,13,13,159533,0,0,0,0,0,0,0,0,0
8899,04,007700,007,9999,9999,4,8,12,12,Hayden town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,04,007900,017,9999,9999,4,8,12,12,Holbrook,3,3,184000,0,0,0,0,0,0,0,0,0,3,3,184000,0,0,0,0,0,0,0,0,0
8899,04,008000,003,9999,9999,4,8,12,12,Huachuca City town,1,1,46000,0,0,0,0,0,0,1,24,972000,1,1,46000,0,0,0,0,0,0,1,24,972000
8899,04,008500,025,9999,9999,4,8,12,12,Jerome town,2,2,30000,0,0,0,0,0,0,0,0,0,2,2,30000,0,0,0,0,0,0,0,0,0
8899,04,008700,021,9999,9999,4,8,12,12,Kearny town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,04,009000,015,9999,9999,4,8,12,12,Kingman,137,137,6814052,0,0,0,0,0,0,0,0,0,137,137,6814052,0,0,0,0,0,0,0,0,0
8899,04,009100,015,9999,9999,4,8,12,12,Lake Havasu City,763,763,51689904,10,20,945270,2,8,231218,9,126,3170183,763,763,51689904,10,20,945270,2,8,231218,9,126,3170183
8899,04,009200,012,9999,9999,4,8,12,12,La Paz County Unincorporated Area,17,17,1190600,1,2,173176,0,0,0,0,0,0,17,17,1190600,1,2,173176,0,0,0,0,0,0
8899,04,009350,019,8520,9999,4,8,12,12,Marana town,11,11,520788,0,0,0,0,0,0,0,0,0,11,11,520788,0,0,0,0,0,0,0,0,0
8899,04,009500,013,6200,9999,4,8,12,12,Maricopa Balance of County,2155,2155,140438528,0,0,0,19,75,2259200,7,55,2152924,2155,2155,140438528,0,0,0,19,75,2259200,7,55,2152924
8899,04,010000,013,6200,9999,4,8,12,12,Mesa,1788,1788,158240258,0,0,0,2,8,581520,27,227,14239146,1788,1788,158240258,0,0,0,2,8,581520,27,227,14239146
8899,04,010500,007,9999,9999,4,8,12,12,Miami town,1,1,46000,0,0,0,0,0,0,0,0,0,1,1,46000,0,0,0,0,0,0,0,0,0
8899,04,010800,015,9999,9999,4,8,12,12,Mohave County Unincorporated Area,292,292,15570321,0,0,0,0,0,0,0,0,0,292,292,15570321,0,0,0,0,0,0,0,0,0
8899,04,010900,017,9999,9999,4,8,12,12,Navajo County Unincorporated Area,226,226,13084256,0,0,0,0,0,0,0,0,0,226,226,13084256,0,0,0,0,0,0,0,0,0
8899,04,011000,023,9999,9999,4,8,12,12,Nogales,39,39,2696187,2,4,72000,1,3,63000,0,0,0,39,39,2696187,2,4,72000,1,3,63000,0,0,0
8899,04,011050,019,8520,9999,4,8,12,12,Oro Valley town,362,362,25399648,0,0,0,0,0,0,20,240,9006000,362,362,25399648,0,0,0,0,0,0,20,240,9006000
8899,04,011075,005,9999,9999,4,8,12,12,Page,11,11,904466,1,2,116543,0,0,0,0,0,0,11,11,904466,1,2,116543,0,0,0,0,0,0
8899,04,011100,013,6200,9999,4,8,12,12,Paradise Valley town,83,83,21989480,0,0,0,0,0,0,0,0,0,83,83,21989480,0,0,0,0,0,0,0,0,0
8899,04,011200,012,9999,9999,4,8,12,12,Parker town,2,2,124000,0,0,0,0,0,0,0,0,0,2,2,124000,0,0,0,0,0,0,0,0,0
8899,04,011300,023,9999,9999,4,8,12,12,Patagonia town,1,1,65000,0,0,0,0,0,0,0,0,0,1,1,65000,0,0,0,0,0,0,0,0,0
8899,04,011400,007,9999,9999,4,8,12,12,Payson town,92,92,6463782,0,0,0,0,0,0,0,0,0,92,92,6463782,0,0,0,0,0,0,0,0,0
8899,04,011500,013,6200,9999,4,8,12,12,Peoria,1302,1302,96073016,2,4,226990,0,0,0,4,605,48444416,1302,1302,96073016,2,4,226990,0,0,0,4,605,48444416
8899,04,012000,013,6200,9999,4,8,12,12,Phoenix,4361,4361,424301699,15,30,1075332,9,33,1988200,166,2466,78706678,4361,4361,424301699,15,30,1075332,9,33,1988200,166,2466,78706678
8899,04,012200,009,9999,9999,4,8,12,12,Pima town,2,2,70000,0,0,0,1,4,60000,0,0,0,2,2,70000,0,0,0,1,4,60000,0,0,0
