Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,02,009000,013,0070,9999,9999, ,99501      ,4,9,12,,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,041000,020,0140,0380,9999,1,995196650  ,4,9,12,,Municipality of Anchorage,1055,1055,208312072,324,648,80437334,22,84,10841298,22,178,14613585,1055,1055,208312072,324,648,80437334,22,84,10841298,22,178,14613585
2001,02,049000,232,0160,9999,9999, ,99820      ,4,9,12,,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,069000,000,    ,9999,9999, ,99519      ,4,9,0,,Balance of State-Part 1 Anchorage,66,66,11499331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,073000,000,    ,9999,9999, ,99707      ,4,9,0,,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,077000,000,    ,9999,9999, ,99801      ,4,9,0,,Balance of State-Part 3 Juneau,63,63,13312484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,085000,050,0310,9999,9999, ,99559      ,4,9,12,,Bethel,22,22,2925000,0,0,0,0,0,0,0,0,0,22,22,2925000,0,0,0,0,0,0,0,0,0
2001,02,097000,060,    ,9999,9999, ,99633      ,4,9,12,,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,133000,261,0820,9999,9999, ,99574      ,4,9,7,,Cordova,3,3,507680,0,0,0,0,0,0,0,0,0,1,1,153700,0,0,0,0,0,0,0,0,0
2001,02,137000,201,0830,9999,9999, ,99921      ,4,9,12,,Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,177000,090,1080,9999,9999, ,99701      ,4,9,0,,Fairbanks,9,9,826416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,181000,090,    ,9999,9999, ,99707      ,4,9,10,,Fairbanks North Star Borough Unincorporated Area,159,159,19676456,1,2,107200,0,0,0,1,6,300000,135,135,17339500,0,0,0,0,0,0,1,6,300000
2001,02,209000,100,1280,9999,9999, ,99827      ,4,9,12,,Haines,15,15,1435000,0,0,0,0,0,0,0,0,0,15,15,1435000,0,0,0,0,0,0,0,0,0
2001,02,221000,122,1370,9999,9999, ,99603      ,4,9,12,,Homer,28,28,3788000,1,2,100000,0,0,0,1,6,850000,28,28,3788000,1,2,100000,0,0,0,1,6,850000
2001,02,253000,110,    ,9999,9999, ,99801      ,4,9,12,,Juneau Borough,61,61,14182033,8,16,2353100,2,8,993672,0,0,0,61,61,14182033,8,16,2353100,2,8,993672,0,0,0
2001,02,277000,122,1630,9999,9999, ,99611      ,4,9,12,,Kenai,29,29,4755000,0,0,0,0,0,0,0,0,0,29,29,4755000,0,0,0,0,0,0,0,0,0
2001,02,289000,130,    ,9999,9999, ,99901      ,4,9,12,,Ketchikan Gateway Borough,30,30,4580832,3,6,567551,1,3,235350,1,24,1679856,30,30,4580832,3,6,567551,1,3,235350,1,24,1679856
2001,02,297000,013,1670,9999,9999, ,99612      ,4,9,12,,King Cove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,317000,150,1750,9999,9999, ,99615      ,4,9,12,,Kodiak City-Kodiak Island Borough,38,38,5632507,2,4,444787,1,4,386780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,413000,180,2370,9999,9999, ,99762      ,4,9,12,,Nome,3,3,414948,0,0,0,0,0,0,0,0,0,3,3,414948,0,0,0,0,0,0,0,0,0
2001,02,425000,090,2410,9999,9999, ,99705      ,4,9,12,,North Pole,1,1,24000,0,0,0,0,0,0,1,6,881500,1,1,24000,0,0,0,0,0,0,1,6,881500
2001,02,429000,185,    ,9999,9999, ,99723      ,4,9,1,,North Slope Borough Unincorporated Area,17,17,2104733,2,4,325232,0,0,0,0,0,0,1,1,138734,0,0,0,0,0,0,0,0,0
2001,02,437000,185,2436,9999,9999, ,99789      ,4,9,0,,Nuiqsut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,457000,170,2510,9999,9999, ,996456952  ,4,9,12,,Palmer,28,28,4248077,18,36,4909861,2,8,511964,6,48,4792037,28,28,4248077,18,36,4909861,2,8,511964,6,48,4792037
2001,02,461000,232,2550,9999,9999, ,99832      ,4,9,12,,Pelican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,465000,280,2585,9999,9999, ,99833      ,4,9,12,,Petersburg,16,16,1789150,0,0,0,0,0,0,0,0,0,16,16,1789150,0,0,0,0,0,0,0,0,0
2001,02,505000,013,2900,9999,9999, ,99661      ,4,9,12,,Sand Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,525000,122,2950,9999,9999, ,99663      ,4,9,12,,Seldovia,2,2,35000,0,0,0,0,0,0,0,0,0,2,2,35000,0,0,0,0,0,0,0,0,0
2001,02,529000,122,2960,9999,9999, ,99664      ,4,9,12,,Seward,2,2,300000,0,0,0,0,0,0,0,0,0,2,2,300000,0,0,0,0,0,0,0,0,0
2001,02,557000,220,    ,9999,9999, ,99835      ,4,9,1,,Sitka Borough,28,28,2552984,8,16,1165016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,561000,232,3050,9999,9999, ,99840      ,4,9,12,,Skagway,11,11,1395109,0,0,0,0,0,0,0,0,0,11,11,1395109,0,0,0,0,0,0,0,0,0
2001,02,565000,122,3070,9999,9999, ,99669      ,4,9,12,,Soldotna,21,21,3858847,0,0,0,0,0,0,0,0,0,21,21,3858847,0,0,0,0,0,0,0,0,0
2001,02,597000,232,3290,9999,9999, ,99841      ,4,9,12,,Tenakee Springs,2,2,277467,0,0,0,0,0,0,0,0,0,2,2,277467,0,0,0,0,0,0,0,0,0
