Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,02,009000,013,0070,999,99999, ,99503      ,4,9,12,,Akutan,4,4,65000,0,0,0,0,0,0,0,0,0,4,4,65000,0,0,0,0,0,0,0,0,0
2003,02,041000,020,0140,999,11260,1,995196650  ,4,9,12,,Municipality of Anchorage,885,885,198212104,401,802,110404737,48,177,25391550,58,523,57591514,885,885,198212104,401,802,110404737,48,177,25391550,58,523,57591514
2003,02,049000,232,0160,999,99999, ,99820      ,4,9,12,,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,069000,000,    ,999,99999, ,99519      ,4,9,0,,Balance of State-Part 1 Anchorage,85,85,14809742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,073000,000,    ,999,99999, ,99707      ,4,9,0,,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,077000,000,    ,999,99999, ,99801      ,4,9,0,,Balance of State-Part 3 Juneau,81,81,17116051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,085000,050,0310,999,99999, ,99559      ,4,9,12,,Bethel,46,46,6900000,2,4,600000,1,3,400000,0,0,0,46,46,6900000,2,4,600000,1,3,400000,0,0,0
2003,02,097000,060,    ,999,99999, ,99633      ,4,9,12,,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,133000,261,0820,999,99999, ,99574      ,4,9,12,,Cordova,6,6,980000,0,0,0,0,0,0,0,0,0,6,6,980000,0,0,0,0,0,0,0,0,0
2003,02,137000,201,0830,999,99999, ,99921      ,4,9,12,,Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,177000,090,1080,999,21820, ,99701      ,4,9,0,,Fairbanks,12,12,1101888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,181000,090,    ,999,21820, ,99707      ,4,9,11,,Fairbanks North Star Borough Unincorporated Area,180,180,30296200,4,8,820000,5,18,1755000,1,30,4500000,168,168,28811184,4,8,820000,5,18,1755000,1,30,4500000
2003,02,209000,100,    ,999,99999, ,99827      ,4,9,12,,Haines borough,6,6,980000,0,0,0,0,0,0,0,0,0,6,6,980000,0,0,0,0,0,0,0,0,0
2003,02,221000,122,1370,999,99999, ,99603      ,4,9,12,,Homer,44,44,7962655,0,0,0,1,4,523600,0,0,0,44,44,7962655,0,0,0,1,4,523600,0,0,0
2003,02,233000,170,1410,999,11260, ,996940027  ,4,9,0,,Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,253000,110,    ,999,99999, ,99801      ,4,9,12,,Juneau Borough,85,85,12436306,16,32,5771566,0,0,0,0,0,0,85,85,12436306,16,32,5771566,0,0,0,0,0,0
2003,02,277000,122,1630,999,99999, ,99611      ,4,9,12,,Kenai,25,25,3292000,0,0,0,0,0,0,0,0,0,25,25,3292000,0,0,0,0,0,0,0,0,0
2003,02,289000,130,    ,999,99999, ,99901      ,4,9,12,,Ketchikan Gateway Borough,29,29,4556234,0,0,0,0,0,0,0,0,0,29,29,4556234,0,0,0,0,0,0,0,0,0
2003,02,297000,013,1670,999,99999, ,99612      ,4,9,12,,King Cove,6,6,946644,0,0,0,0,0,0,0,0,0,6,6,946644,0,0,0,0,0,0,0,0,0
2003,02,317000,150,1750,999,99999, ,99615      ,4,9,12,,Kodiak City-Kodiak Island Borough,48,48,7798467,4,8,893898,0,0,0,2,16,1462602,48,48,7798467,4,8,893898,0,0,0,2,16,1462602
2003,02,329000,188,1800,999,99999, ,99752      ,4,9,0,,Kotzebue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,393000,290,2270,999,99999, ,99760      ,4,9,0,,Nenana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,409000,290,2330,999,99999, ,99691      ,4,9,0,,Nikolai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,413000,180,2370,999,99999, ,99762      ,4,9,12,,Nome,2,2,90150,0,0,0,1,4,363958,0,0,0,2,2,90150,0,0,0,1,4,363958,0,0,0
2003,02,425000,090,2410,999,21820, ,99705      ,4,9,12,,North Pole,5,5,558718,2,4,376000,0,0,0,0,0,0,5,5,558718,2,4,376000,0,0,0,0,0,0
2003,02,429000,185,    ,999,99999, ,997230069  ,4,9,12,,North Slope Borough,7,7,1104419,0,0,0,0,0,0,0,0,0,7,7,1104419,0,0,0,0,0,0,0,0,0
2003,02,437000,185,2436,999,99999, ,99789      ,4,9,0,,Nuiqsut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,457000,170,2510,999,11260, ,996456952  ,4,9,12,,Palmer,35,35,5181797,7,14,2084830,0,0,0,1,6,741673,35,35,5181797,7,14,2084830,0,0,0,1,6,741673
2003,02,461000,232,2550,999,99999, ,99832      ,4,9,12,,Pelican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,465000,280,2585,999,99999, ,99833      ,4,9,12,,Petersburg,10,10,1254310,0,0,0,0,0,0,0,0,0,10,10,1254310,0,0,0,0,0,0,0,0,0
2003,02,505000,013,2900,999,99999, ,99661      ,4,9,11,,Sand Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
