Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202507,02,009000,013,0070,01090 ,00000 ,1052 ,999,99999, , ,99503      ,4,9,0,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,041000,020,0140,03000 ,00000 ,287095 ,999,11260, ,1,995196650  ,4,9,5,Municipality of Anchorage,98,98,57542177,5,10,2095062,2,6,895734,3,22,4056266,71,71,46303851,0,0,0,0,0,0,1,7,1290630
202507,02,085000,050,0310,06520 ,00000 ,6658 ,999,99999, , ,99559      ,4,9,7,Bethel,5,5,1602308,0,0,0,0,0,0,0,0,0,5,5,1602308,0,0,0,0,0,0,0,0,0
202507,02,097000,060,    ,99990 ,00000 ,788 ,999,99999, , ,996330189  ,4,9,0,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,133000,063,0820,17410 ,00000 ,2152 ,999,99999, , ,99574      ,4,9,0,Cordova,7,7,1422333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,137000,198,0830,17740 ,00000 ,1267 ,999,99999, , ,99921      ,4,9,0,Craig,1,1,359539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,149000,070,0880,18950 ,00000 ,2324 ,999,99999, , ,99576      ,4,9,0,Dillingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,177000,090,1080,24230 ,00000 ,30696 ,999,21820, ,1,997014615  ,4,9,0,Fairbanks,1,1,500000,1,2,450000,0,0,0,1,5,1093750,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,209000,100,    ,99990 ,00000 ,2614 ,999,99999, , ,99827      ,4,9,4,Haines Borough,7,7,2315062,0,0,0,0,0,0,0,0,0,5,5,1482594,0,0,0,0,0,0,0,0,0
202507,02,221000,122,1370,33140 ,00000 ,6034 ,999,99999, , ,99603      ,4,9,7,Homer,54,54,20102000,2,4,200000,1,3,500000,0,0,0,54,54,20102000,2,4,200000,1,3,500000,0,0,0
202507,02,225000,105,1380,33360 ,00000 ,797 ,999,99999, , ,99829      ,4,9,7,Hoonah,13,13,3854743,0,0,0,0,0,0,0,0,0,13,13,3854743,0,0,0,0,0,0,0,0,0
202507,02,233000,170,1410,33800 ,00000 ,2462 ,999,11260, , ,996940027  ,4,9,4,Houston,3,3,1128987,0,0,0,0,0,0,0,0,0,1,1,296519,0,0,0,0,0,0,0,0,0
