Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8599,01,3,6,ALABAMA,9932,9932,396581,83,166,4845,184,708,17201,544,6431,118735,9196,9196,367485,82,164,4791,170,656,16363,507,6033,111265
8599,02,4,9,ALASKA,2233,2233,214977,136,272,18485,158,598,32781,90,926,53250,2068,2068,204964,125,250,17234,128,483,28768,86,906,52230
8599,04,4,8,ARIZONA,32672,32672,2093854,577,1154,33784,580,2157,77102,2451,35837,914498,32610,32610,2090700,573,1146,33608,579,2154,76980,2450,35823,914171
8599,05,3,7,ARKANSAS,5224,5224,270404,361,722,19110,214,781,21893,272,3208,76516,5015,5015,258748,358,716,18943,207,759,20818,265,3169,75465
8599,06,4,9,CALIFORNIA,113647,113647,9610204,3195,6390,383055,3741,13765,638281,11255,137594,5556867,112089,112089,9497614,3169,6338,380582,3688,13575,631057,11155,136622,5519830
8599,08,4,8,COLORADO,20071,20071,1196964,303,606,29746,226,856,29349,763,11291,314097,19209,19209,1142513,286,572,28284,217,823,28118,744,11157,308385
8599,09,1,1,CONNECTICUT,16762,16762,1042923,311,622,20313,155,540,20508,517,6621,204873,16308,16308,1013628,307,614,20185,153,532,20028,511,6591,203928
8599,10,3,5,DELAWARE,3345,3345,154691,22,44,2519,7,24,1675,66,1223,43250,3333,3333,154196,22,44,2519,7,24,1675,62,1203,42791
8599,11,3,5,DISTRICT OF COLUMBIA,152,152,8646,12,24,732,8,31,946,4,383,13486,152,152,8646,12,24,732,8,31,946,4,383,13486
8599,12,3,5,FLORIDA,104642,104642,5435771,3371,6742,224956,2390,9068,310730,6284,82163,2492863,103623,103623,5391265,3303,6606,221215,2344,8905,304381,6206,81395,2465948
8599,13,3,5,GEORGIA,45871,45871,2443194,1385,2770,69024,551,2120,53347,1804,22380,564472,44986,44986,2405144,1339,2678,67583,545,2099,52993,1779,22223,560964
8599,15,4,9,HAWAII,4565,4565,346584,95,190,11259,53,207,9575,109,2300,121837,4400,4400,338479,93,186,10915,53,207,9575,107,2279,119977
8599,16,4,8,IDAHO,2963,2963,178059,68,136,5876,85,328,10706,59,880,22513,2683,2683,162072,65,130,5481,83,322,10064,58,875,22286
8599,17,2,3,ILLINOIS,20496,20496,1593308,606,1212,51272,499,1902,69293,974,15109,523810,19660,19660,1542260,583,1166,49881,485,1858,68125,947,14841,517823
8599,18,2,3,INDIANA,12654,12654,818736,378,756,30124,210,797,28539,743,8809,222594,12207,12207,792930,362,724,29122,201,770,27684,716,8436,212958
8599,19,2,4,IOWA,2790,2790,165513,64,128,5086,69,266,9446,113,2006,62124,2585,2585,155064,64,128,5086,64,249,8983,109,1922,59626
8599,20,2,4,KANSAS,6042,6042,424345,478,956,41384,240,901,27997,403,5368,115571,5953,5953,419609,466,932,40488,228,860,26975,400,5336,114953
8599,21,3,6,KENTUCKY,6346,6346,358697,220,440,11561,210,810,21062,591,6174,131306,6033,6033,342880,213,426,11373,194,757,20064,564,6006,127279
8599,22,3,7,LOUISIANA,11133,11133,598812,292,584,17419,337,1247,40667,417,5802,146931,10483,10483,570883,278,556,16438,313,1163,38827,375,5364,137561
8599,23,1,1,MAINE,5672,5672,295875,122,244,8299,150,554,20765,178,1643,57269,4664,4664,256656,121,242,8256,143,532,20383,153,1456,52090
