Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202199,01,3,6,Alabama,17879,17879,4323650,49,98,15617,55,199,16749,159,3924,460158,15471,15471,3807168,48,96,15579,54,195,16624,159,3924,460158
202199,02,4,9,Alaska,1158,1158,353576,17,34,5555,29,103,15405,24,257,38763,284,284,77723,16,32,5249,16,54,6952,2,13,1762
202199,04,4,8,Arizona,46561,46561,12666074,666,1332,160904,96,336,64318,727,17105,2431395,45197,45197,12327048,630,1260,152106,95,332,64105,652,14583,2013140
202199,05,3,7,Arkansas,10563,10563,2510146,308,616,70596,160,567,65517,126,2452,211357,9028,9028,2245391,266,532,64869,109,391,56269,82,2009,178545
202199,06,4,9,California,65890,65890,18779857,1204,2408,531442,469,1631,353962,1763,49507,9059617,62562,62562,17747883,1147,2294,486570,452,1578,342837,1638,47264,8714424
202199,08,4,8,Colorado,30246,30246,9850482,630,1260,228796,207,736,145019,664,24282,3519593,28732,28732,9408478,629,1258,228381,192,688,134773,637,23686,3383461
202199,09,1,1,Connecticut,2941,2941,1042836,74,148,19342,21,79,9901,116,1483,152787,2524,2524,954218,62,124,16924,19,72,9413,49,963,116800
202199,10,3,5,Delaware,7261,7261,1047784,152,304,33291,1,3,72,25,932,94535,7235,7235,1042192,152,304,33291,1,3,72,25,932,94535
202199,11,3,5,District of Columbia,376,376,89466,12,24,3063,2,7,928,50,4333,532384,376,376,89466,12,24,3063,2,7,928,50,4333,532384
202199,12,3,5,Florida,148735,148735,39939407,1669,3338,458269,338,1272,221190,1646,60149,8707069,143075,143075,38590699,1652,3304,454053,338,1272,221190,1501,56708,8389525
202199,13,3,5,Georgia,53419,53419,12603896,182,364,47654,170,624,86479,559,12816,1699204,46408,46408,11266426,171,342,45962,164,604,84880,529,12099,1619851
202199,15,4,9,Hawaii,2445,2445,1071187,51,102,21211,4,13,39457,75,899,264185,2445,2445,1071187,51,102,21211,4,13,39457,75,899,264185
202199,16,4,8,Idaho,16154,16154,4213834,111,222,44105,267,1051,132577,255,4305,558803,15182,15182,3959171,110,220,43595,265,1043,132148,254,4289,556631
202199,17,2,3,Illinois,10937,10937,3208508,245,490,83237,222,736,132574,287,7495,848306,9966,9966,2978576,238,476,81549,219,726,131342,267,7374,829631
202199,18,2,3,Indiana,22225,22225,6692956,359,718,117031,35,134,30324,223,6783,742937,21083,21083,6477317,358,716,116872,35,134,30324,203,6416,722607
202199,19,2,4,Iowa,9158,9158,2552542,223,446,69429,87,298,56906,120,3784,503500,8473,8473,2399809,221,442,68634,86,294,56423,114,3542,473201
202199,20,2,4,Kansas,6569,6569,2208827,501,1002,136185,40,135,16697,52,1832,231197,6357,6357,2161072,498,996,135256,37,123,15789,52,1832,231197
202199,21,3,6,Kentucky,10087,10087,2429560,135,270,36327,52,189,20069,281,4295,426515,8678,8678,2135989,114,228,32297,40,147,14874,243,3331,331806
202199,22,3,7,Louisiana,16937,16937,3783984,240,480,43788,24,78,12335,50,1652,213954,14500,14500,3260034,80,160,9999,1,4,800,24,468,49772
202199,23,1,1,Maine,5238,5238,1405235,120,240,44075,21,72,11699,54,980,132790,3747,3747,1070661,98,196,36855,13,48,9699,42,825,118050
202199,24,3,5,Maryland,12520,12520,3201070,25,50,7295,19,70,12150,185,5856,791012,12314,12314,3170573,19,38,6275,19,70,12150,173,5794,783069
