Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202604,01,3,6,Alabama,6416,6416,1902204,50,100,13580,17,60,9039,45,731,121148,4820,4820,1493710,42,84,8544,13,48,6875,28,511,81808
202604,02,4,9,Alaska,138,138,46450,11,22,5129,5,16,2149,10,73,10444,67,67,16659,0,0,0,2,7,1008,3,18,3794
202604,04,4,8,Arizona,10905,10905,3451833,191,382,65177,8,31,7492,94,2856,423717,9847,9847,3153920,177,354,61454,6,23,6292,77,2355,340691
202604,05,3,7,Arkansas,3538,3538,1019666,141,282,35891,18,58,3641,42,1480,302235,2877,2877,874062,112,224,30039,2,7,875,26,1331,291235
202604,06,4,9,California,19535,19535,6411919,787,1574,276923,102,343,65075,430,15620,2606692,15495,15495,5258282,663,1326,231822,62,221,37836,296,13579,2183804
202604,08,4,8,Colorado,6058,6058,2496272,75,150,30230,21,74,15315,117,5001,982646,5576,5576,2331828,71,142,28448,19,68,14382,99,4875,961008
202604,09,1,1,Connecticut,622,622,308446,33,66,16721,24,81,18321,27,588,89900,369,369,173656,20,40,10912,15,52,14224,15,435,74654
202604,10,3,5,Delaware,1678,1678,255631,12,24,4866,1,4,1143,20,414,57194,1661,1661,252981,12,24,4866,1,4,1143,19,401,54435
202604,11,3,5,District of Columbia,64,64,19330,8,16,2585,0,0,0,3,54,9301,64,64,19330,8,16,2585,0,0,0,3,54,9301
202604,12,3,5,Florida,37027,37027,12301676,315,630,263679,70,259,48077,352,12289,2235077,32340,32340,10575910,271,542,115757,66,246,45810,275,10674,1990261
202604,13,3,5,Georgia,14888,14888,4379090,108,216,33873,47,166,25528,243,5712,750324,10435,10435,3102541,93,186,30269,31,116,19096,172,4627,598821
202604,15,4,9,Hawaii,714,714,290764,31,62,9120,26,104,41590,10,364,111753,377,377,184729,5,10,1305,26,104,41590,1,16,4476
202604,16,4,8,Idaho,4843,4843,1462658,43,86,18607,51,191,33842,38,955,118789,4043,4043,1246354,32,64,14161,38,149,26797,28,836,102515
202604,17,2,3,Illinois,3355,3355,1218522,67,134,28266,79,260,45516,135,3241,674317,2595,2595,958945,45,90,21716,65,217,37624,84,2817,577398
202604,18,2,3,Indiana,6234,6234,2222073,104,208,34655,7,24,4019,109,2891,495525,4767,4767,1780781,80,160,26774,5,18,2933,70,2255,413066
202604,19,2,4,Iowa,2303,2303,805155,58,116,20869,27,100,20955,80,1387,228436,1828,1828,661173,34,68,12018,17,64,13763,40,1153,197596
202604,20,2,4,Kansas,2133,2133,793822,296,592,91786,27,93,14927,80,1941,308394,1691,1691,666125,240,480,74096,19,68,8053,71,1852,293380
202604,21,3,6,Kentucky,2896,2896,790381,70,140,17213,22,77,9074,126,2018,341180,1948,1948,546975,36,72,9328,13,48,5824,75,1043,135243
202604,22,3,7,Louisiana,4024,4024,1053833,69,138,16003,6,19,1629,19,410,52872,2002,2002,545232,18,36,3561,1,4,400,3,22,4041
202604,23,1,1,Maine,1149,1149,384606,41,82,16450,9,30,5338,46,864,144592,466,466,178162,26,52,11813,4,15,3391,25,735,130757
202604,24,3,5,Maryland,2854,2854,899914,25,50,6408,8,30,6587,40,2502,414351,2706,2706,852139,24,48,6193,7,26,5972,35,2213,352240
202604,25,1,1,Massachusetts,1398,1398,720427,56,112,26614,21,65,19066,98,1149,251926,644,644,380958,26,52,12074,17,53,16736,30,641,161137
