"CDuid","CDdguid","CDname","CDtype","CDpop_2021","CDtdwell_2021","CDurdwell_2021","CDpop_2016","CDpop_2016a","CDtdwell_2016a","CDurdwell_2016a","CDarea","CDadj_2016","CDir_2016","CDir_2021","PRuid","CDcode","ERcode"
"1001","2021A00031001","Division No.  1","CDR",271878,135137,117178,270348,270348,131336,112620,"9104.5799","0","0","0","10","01","10"
"1002","2021A00031002","Division No.  2","CDR",19392,11551,8891,20372,20372,11497,8737,"5915.5695","0","0","0","10","02","20"
"1003","2021A00031003","Division No.  3","CDR",13920,8046,6342,15560,15560,8289,6773,"19272.1069","0","0","0","10","03","20"
"1004","2021A00031004","Division No.  4","CDR",19253,10900,9196,20387,20387,11338,9345,"7019.9723","0","0","0","10","04","30"
"1005","2021A00031005","Division No.  5","CDR",40396,20875,17967,42014,42014,20924,17890,"10293.7618","0","0","0","10","05","30"
"1006","2021A00031006","Division No.  6","CDR",37339,19498,16489,38345,38345,19296,16434,"16043.3766","0","0","0","10","06","40"
"1007","2021A00031007","Division No.  7","CDR",33044,20304,14867,34092,34092,20097,14571,"9598.3701","0","0","0","10","07","40"
"1008","2021A00031008","Division No.  8","CDR",33940,21721,15385,35794,35794,21913,15587,"9234.9414","0","0","0","10","08","40"
"1009","2021A00031009","Division No.  9","CDR",14733,9366,6640,15607,15607,9346,6689,"13209.4758","0","0","0","10","09","30"
"1010","2021A00031010","Division No. 10","CDR",24332,10941,9518,24639,24639,10758,9193,"191691.0863","0","0","0","10","10","30"
"1011","2021A00031011","Division No. 11","CDR",2323,845,780,2558,2558,945,834,"66787.1326","0","0","0","10","11","30"
"1101","2021A00031101","Kings","CTY",18327,9948,7678,17160,17154,10032,7223,"1687.583","1","0","0","11","01","10"
"1102","2021A00031102","Queens","CTY",89770,42210,37232,82017,81843,39171,33894,"1987.3246","1","0","0","11","02","10"
"1103","2021A00031103","Prince","CTY",46234,22776,19660,43730,43910,21916,18355,"2006.2714","1","0","0","11","03","10"
"1201","2021A00031201","Shelburne","CTY",13704,7904,6473,13966,13966,7765,6378,"2462.5818","0","0","0","12","01","40"
"1202","2021A00031202","Yarmouth","CTY",24947,12529,11213,24419,24419,12342,10798,"2121.6393","0","0","0","12","02","40"
"1203","2021A00031203","Digby","CTY",17062,9681,8117,17323,17323,9927,8043,"2512.2797","0","0","0","12","03","40"
"1204","2021A00031204","Queens","CTY",10501,6705,5005,10351,10351,6608,4764,"2393.4428","0","0","0","12","04","40"
"1205","2021A00031205","Annapolis","CTY",21252,11612,9855,20591,20591,11391,9377,"3183.2312","0","0","0","12","05","30"
"1206","2021A00031206","Lunenburg","CTY",48599,27092,22443,47126,47126,26648,21439,"2906.4723","0","0","0","12","06","40"
"1207","2021A00031207","Kings","CTY",62914,30366,27538,60600,60600,29187,25951,"2120.3124","0","0","0","12","07","30"
"1208","2021A00031208","Hants","CTY",45140,20306,18862,42558,42558,19202,17439,"3049.1776","0","0","0","12","08","30"
"1209","2021A00031209","Halifax","CTY",440072,200619,190650,403390,403390,187478,173459,"5477.5348","0","0","0","12","09","50"
"1210","2021A00031210","Colchester","CTY",51476,25638,23056,50585,50585,25378,22229,"3627.4988","0","0","0","12","10","20"
"1211","2021A00031211","Cumberland","CTY",30538,18363,14139,30005,30005,18445,13614,"4275.7721","0","0","0","12","11","20"
"1212","2021A00031212","Pictou","CTY",43657,22410,19735,43748,43748,22525,19305,"2844.1033","0","0","0","12","12","20"
"1213","2021A00031213","Guysborough","CTY",7373,4897,3559,7625,7625,5190,3549,"4037.1611","0","0","0","12","13","20"
"1214","2021A00031214","Antigonish","CTY",20129,10145,8711,19301,19301,9842,8129,"1456.4153","0","0","0","12","14","20"
"1215","2021A00031215","Inverness","CTY",17346,9737,7693,17235,17235,9876,7351,"3817.6101","0","0","0","12","15","10"
"1216","2021A00031216","Richmond","CTY",8914,5230,4100,8964,8964,5123,3983,"1246.0753","0","0","0","12","16","10"
"1217","2021A00031217","Cape Breton","CTY",98318,48020,43799,98722,98722,47204,43081,"2457.2067","0","0","0","12","17","10"
"1218","2021A00031218","Victoria","CTY",7441,4753,3280,7089,7089,4437,3101,"2836.1939","0","0","0","12","18","10"
"1301","2021A00031301","Saint John","CT",76558,36964,34634,74020,74020,36825,32852,"1461.0542","0","0","0","13","01","30"
"1302","2021A00031302","Charlotte","CT",26015,13449,11560,25428,25428,13513,11132,"3418.2366","0","0","0","13","02","30"
"1303","2021A00031303","Sunbury","CT",27864,11903,11310,27644,27644,11853,10898,"2692.9674","0","0","0","13","03","40"
"1304","2021A00031304","Queens","CT",10998,6854,5133,10472,10472,7289,4877,"3681.0533","0","0","0","13","04","40"
"1305","2021A00031305","Kings","CT",71184,30283,28464,68941,68941,29570,27027,"3482.3488","0","0","0","13","05","30"
"1306","2021A00031306","Albert","CT",30749,13476,12913,29158,29158,13111,12219,"1806.2276","0","0","0","13","06","20"
"1307","2021A00031307","Westmorland","CT",163576,75506,70090,149623,149623,71839,64038,"3659.742","0","0","0","13","07","20"
"1308","2021A00031308","Kent","CT",32169,16274,14074,30475,30475,16251,13236,"4550.3804","0","0","0","13","08","20"
