"CMAPuid","CMAdguid","CMAname","CMApart","CMApop_2021","CMAtdwell_2021","CMAurdwell_2021","CMApop_2016","CMApop_2016a","CMAtdwell_2016a","CMAurdwell_2016a","CMAarea","CMAadj_2016","CMAir_2016","CMAir_2021","PRuid","CMAcode","CMAtype","XPRuid"
"10001","2021S0503001","St. John's","0",212579,97429,89999,205955,208418,93459,85990,"931.5637","1","0","0","10","001","B",
"10010","2021S0504010","Grand Falls-Windsor","0",13853,6628,6122,14171,14171,6406,6091,"54.8429","0","0","0","10","010","D",
"10011","2021S0504011","Gander","0",13414,6293,5745,13234,13234,6406,5542,"2412.67","0","0","0","10","011","D",
"10015","2021S0504015","Corner Brook","0",29762,14431,13245,31917,30969,14501,13239,"1122.5751","1","0","0","10","015","D",
"11105","2021S0504105","Charlottetown","0",78858,36359,32943,69325,71821,33566,29947,"1112.4274","1","0","0","11","105","D",
"11110","2021S0504110","Summerside","0",18157,8342,7953,16587,16831,7843,7324,"125.1185","1","0","0","11","110","D",
"12205","2021S0503205","Halifax","0",465703,211789,201138,403390,426932,197790,182886,"7276.2157","1","0","0","12","205","B",
"12210","2021S0504210","Kentville","0",26929,12746,11936,26222,26222,12275,11370,"607.0513","0","0","0","12","210","D",
"12215","2021S0504215","Truro","0",46157,22637,20698,45753,45753,22478,20095,"2732.5279","0","0","0","12","215","D",
"12220","2021S0504220","New Glasgow","0",34397,17071,15483,34487,34487,17035,15132,"2066.4671","0","0","0","12","220","D",
"12225","2021S0504225","Cape Breton","0",98318,48020,43799,98722,98722,47204,43081,"2457.2065","0","0","0","12","225","D",
"13305","2021S0503305","Moncton","0",157717,70460,67179,144810,144810,66699,61769,"2562.4663","0","0","0","13","305","B",
"13310","2021S0503310","Saint John","0",130613,59272,55865,126202,126202,58398,52872,"3505.6642","0","0","0","13","310","B",
"13320","2021S0503320","Fredericton","0",108610,48761,46357,101760,102690,47131,43184,"6014.6624","1","0","0","13","320","B",
