"CSDuid","CSDdguid","CSDname","CSDtype","SACtype","CSDpop_2021","CSDtdwell_2021","CSDurdwell_2021","CSDpop_2016c","CSDtdwell_2016c","CSDurdwell_2016c","CSDpop_2016","CSDpop_2016a","CSDtdwell_2016a","CSDurdwell_2016a","CSDarea","CSDadj_2016","a_flag","CSDir_2016","CSDir_2021","CSDrplamx","CSDrplamy","CSDrplat","CSDrplong","PRuid","CDcode","CSDcode","ERcode","CCScode","CMAuid"
"1001101","2021A00051001101","Division No.  1, Subd. V","SNO","7",55,72,29,,,,36,36,140,19,"870.8928","0","0","0","0","9003909.63428572","2048086.42857143","46.677463","-53.239674","10","01","101","10","214","999"
"1001105","2021A00051001105","Portugal Cove South","T","5",86,85,47,,,,150,150,91,69,"1.077","0","0","0","0","9000745.20571428","2050297.68857143","46.709732","-53.256992","10","01","105","10","214","997"
"1001113","2021A00051001113","Trepassey","T","5",405,299,224,,,,481,481,356,245,"54.213","0","0","0","0","8995231.48857143","2047845.08571429","46.719775","-53.333799","10","01","113","10","214","997"
"1001120","2021A00051001120","St. Shott's","T","7",55,50,34,,,,66,66,52,38,"1.0729","0","0","0","0","8984692.80285714","2028800.66571429","46.633413","-53.586069","10","01","120","10","214","999"
"1001124","2021A00051001124","Division No.  1, Subd. U","SNO","4",1373,1320,628,,,,1625,1625,1630,697,"742.3781","0","0","0","0","8993891.55142857","2101927.09428571","47.122281","-52.94547","10","01","124","10","214","996"
"1001126","2021A00051001126","Cape Broyle","T","4",499,314,228,,,,489,489,291,211,"10.0893","0","0","0","0","8994650.74","2099818.23142857","47.10298","-52.953182","10","01","126","10","214","996"
"1001131","2021A00051001131","Renews-Cappahayden","T","5",280,259,143,,,,301,301,346,148,"125.9269","0","0","0","0","9005176.86857143","2078720.25428571","46.894944","-52.998719","10","01","131","10","214","997"
"1001136","2021A00051001136","Fermeuse","T","5",266,171,126,,,,325,325,178,134,"38.3341","0","0","0","0","9002196.79142857","2086538.66","46.967304","-52.972071","10","01","136","10","214","997"
"1001140","2021A00051001140","Port Kirwan","T","7",49,53,30,,,,52,52,64,27,"8.8374","0","0","0","0","9004647.24857143","2089460.20285714","46.976082","-52.924059","10","01","140","10","214","999"
"1001144","2021A00051001144","Aquaforte","T","7",74,63,43,,,,80,80,71,41,"6.8849","0","0","0","0","9001436.04","2091840.13142857","47.009921","-52.940497","10","01","144","10","214","999"
