cbsacode,metropolitandivisioncode,csacode,cbsatitle,metropolitanmicropolitanstatis,metropolitandivisiontitle,csatitle,countycountyequivalent,statename,state_abbreviation,fipsstatecode,fipscountycode,centraloutlyingcounty,county_fips,county_in_cbsa
"33860","","388","Montgomery, AL","Metropolitan Statistical Area","","Montgomery-Selma, AL","Autauga County","Alabama","AL","01","001","Central","01001",1
"19300","","380","Daphne-Fairhope-Foley, AL","Metropolitan Statistical Area","","Mobile-Daphne-Fairhope, AL","Baldwin County","Alabama","AL","01","003","Central","01003",1
"21640","","","Eufaula, AL-GA","Micropolitan Statistical Area","","","Barbour County","Alabama","AL","01","005","Central","01005",1
"13820","","142","Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Bibb County","Alabama","AL","01","007","Outlying","01007",1
"13820","","142","Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Blount County","Alabama","AL","01","009","Outlying","01009",1
"","","","","","","","Bullock County","","AL","","","","01011",0
"","","","","","","","Butler County","","AL","","","","01013",0
"11500","","","Anniston-Oxford, AL","Metropolitan Statistical Area","","","Calhoun County","Alabama","AL","01","015","Central","01015",1
"29300","","122","LaGrange, GA-AL","Micropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Chambers County","Alabama","AL","01","017","Outlying","01017",1
"","","","","","","","Cherokee County","","AL","","","","01019",0
"13820","","142","Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Chilton County","Alabama","AL","01","021","Outlying","01021",1
"","","","","","","","Choctaw County","","AL","","","","01023",0
"","","","","","","","Clarke County","","AL","","","","01025",0
"","","","","","","","Clay County","","AL","","","","01027",0
"","","","","","","","Cleburne County","","AL","","","","01029",0
"21460","","222","Enterprise, AL","Micropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Coffee County","Alabama","AL","01","031","Central","01031",1
"22520","","250","Florence-Muscle Shoals, AL","Metropolitan Statistical Area","","Florence-Muscle Shoals-Russellville, AL","Colbert County","Alabama","AL","01","033","Central","01033",1
"","","","","","","","Conecuh County","","AL","","","","01035",0
"45180","","142","Talladega-Sylacauga, AL","Micropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Coosa County","Alabama","AL","01","037","Outlying","01037",1
"","","","","","","","Covington County","","AL","","","","01039",0
"","","","","","","","Crenshaw County","","AL","","","","01041",0
"18980","","142","Cullman, AL","Micropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Cullman County","Alabama","AL","01","043","Central","01043",1
"37120","","222","Ozark, AL","Micropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Dale County","Alabama","AL","01","045","Central","01045",1
"42820","","388","Selma, AL","Micropolitan Statistical Area","","Montgomery-Selma, AL","Dallas County","Alabama","AL","01","047","Central","01047",1
"22840","","290","Fort Payne, AL","Micropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","DeKalb County","Alabama","AL","01","049","Central","01049",1
"33860","","388","Montgomery, AL","Metropolitan Statistical Area","","Montgomery-Selma, AL","Elmore County","Alabama","AL","01","051","Central","01051",1
"","","","","","","","Escambia County","","AL","","","","01053",0
"23460","","","Gadsden, AL","Metropolitan Statistical Area","","","Etowah County","Alabama","AL","01","055","Central","01055",1
"","","","","","","","Fayette County","","AL","","","","01057",0
"40770","","250","Russellville, AL","Micropolitan Statistical Area","","Florence-Muscle Shoals-Russellville, AL","Franklin County","Alabama","AL","01","059","Central","01059",1
"20020","","222","Dothan, AL","Metropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Geneva County","Alabama","AL","01","061","Outlying","01061",1
"46220","","","Tuscaloosa, AL","Metropolitan Statistical Area","","","Greene County","Alabama","AL","01","063","Outlying","01063",1
"46220","","","Tuscaloosa, AL","Metropolitan Statistical Area","","","Hale County","Alabama","AL","01","065","Outlying","01065",1
"20020","","222","Dothan, AL","Metropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Henry County","Alabama","AL","01","067","Outlying","01067",1
"20020","","222","Dothan, AL","Metropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Houston County","Alabama","AL","01","069","Central","01069",1
"42460","","174","Scottsboro, AL","Micropolitan Statistical Area","","Chattanooga-Cleveland-Dalton, TN-GA-AL","Jackson County","Alabama","AL","01","071","Central","01071",1
"13820","","142","Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Jefferson County","Alabama","AL","01","073","Central","01073",1
"","","","","","","","Lamar County","","AL","","","","01075",0
"22520","","250","Florence-Muscle Shoals, AL","Metropolitan Statistical Area","","Florence-Muscle Shoals-Russellville, AL","Lauderdale County","Alabama","AL","01","077","Central","01077",1
"19460","","290","Decatur, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Lawrence County","Alabama","AL","01","079","Outlying","01079",1
"12220","","194","Auburn-Opelika, AL","Metropolitan Statistical Area","","Columbus-Auburn-Opelika, GA-AL","Lee County","Alabama","AL","01","081","Central","01081",1
"26620","","290","Huntsville, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Limestone County","Alabama","AL","01","083","Central","01083",1
"33860","","388","Montgomery, AL","Metropolitan Statistical Area","","Montgomery-Selma, AL","Lowndes County","Alabama","AL","01","085","Outlying","01085",1
"12220","","194","Auburn-Opelika, AL","Metropolitan Statistical Area","","Columbus-Auburn-Opelika, GA-AL","Macon County","Alabama","AL","01","087","Outlying","01087",1
"26620","","290","Huntsville, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Madison County","Alabama","AL","01","089","Central","01089",1
"","","","","","","","Marengo County","","AL","","","","01091",0
"","","","","","","","Marion County","","AL","","","","01093",0
"10700","","290","Albertville, AL","Micropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Marshall County","Alabama","AL","01","095","Central","01095",1
"33660","","380","Mobile, AL","Metropolitan Statistical Area","","Mobile-Daphne-Fairhope, AL","Mobile County","Alabama","AL","01","097","Central","01097",1
"","","","","","","","Monroe County","","AL","","","","01099",0
